,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2013-12-31,,,,,,,,,,,318.89,801.04,669.68,1852.55,3699.05,5566.85,500.0,201.73,3853.95,29.63,3883.58,1156.0,1683.27,,,,,,0.0,2.31,1.19,0.0,0.0,,,,,,26.86,26.67,225.09,0.48,0.31,12,2013,,1156.7899159663866,1376.58
2014-03-31,1103.98,231.03,0.18999999999999997,0.15,248.68,234.63,366.66,8.2,869.35,217.13,529.97,752.7,570.81,1874.12,3661.45,5551.71,0.0,191.63,552.37,31.02,583.39,1545.0,4968.32,519.78,-118.34,-191.3,132.03,10.79,2.55,0.12,0.19,0.15,0.79,16.64,0.0,18.6,0.0,18.76,21.26,20.93,80.08,3.39,2.36,3,2014,182.3921052631579,1215.9473684210527,231.03
2014-06-30,1029.75,206.54999999999998,0.14632867132867133,0.020785793154214194,234.95,207.43,345.43,10.4,822.32,187.19,609.23,737.42,596.12,1954.01,3579.61,5548.92,0.0,338.56,341.77,28.65,370.42,1545.0,5178.5,395.27,-58.77000000000001,-257.62,137.99999999999997,17.769074074074073,3.1,0.07,0.31,0.15,0.48,14.897202797202796,0.0,15.954545454545453,0.0,16.030069930069928,20.88,20.51,150.87,5.72,3.97,6,2014,29.340152801358215,1411.5483870967741,437.58
2014-09-30,1060.1799999999998,191.22999999999996,0.130769071738681,0.2252108411638779,217.60000000000002,191.63000000000005,336.0400000000001,9.4,868.5499999999997,169.32999999999998,496.59,678.34,645.19,1931.43,3482.33,5431.97,0.0,241.76,371.7,30.44,402.14,1545.0,5029.83,372.74,-145.82999999999998,-339.90000000000003,144.41000000000003,17.970227736233856,2.89,0.08,0.43,0.37,0.86,14.086566053338846,0.0,15.205706016125696,0.0,15.230035145751497,20.06,19.69,216.28,5.2,3.46,9,2014,329.33681170292573,1462.3488372093022,628.81
2014-12-31,900.8600000000001,88.40000000000009,0.06039514228747513,0.00034000615433904806,106.29999999999995,81.38,229.83999999999992,8.6,819.4700000000003,60.610000000000014,797.56,566.82,590.87,2063.83,3372.76,5464.57,0.0,310.14,314.13,32.21,346.34,1545.0,5118.22,336.8700000000001,-36.69,0.0,148.45999999999998,35.596819852941145,2.6,0.07,0.49,0.37,0.76,6.46844299438101,6.389559543230022,6.907232191408381,10.397824904839597,6.843139387348203,17.87,17.52,244.05,6.57,4.69,12,2014,0.497664926435732,1463.6938775510205,717.21
2015-03-31,1116.97,203.61,0.13,0.0,231.11,205.44,350.73,8.35,911.53,190.77,896.15,782.82,550.68,2234.28,3271.71,5532.04,0.0,343.27,350.37,34.37,384.74,1545.0,5147.3,211.07,59.88,-174.53,145.29,16.0575,2.51,0.07,0.13,0.0,0.0,14.720000000000002,14.84,15.84,16.12,15.84,18.47,18.23,0.0,6.38,4.81,3,2015,0.0,1566.2307692307693,203.61
2015-06-30,1001.3799999999999,126.34999999999997,0.08424354467208145,0.19999999999999998,160.07,129.88,276.9,7.8,871.5,115.97999999999999,743.26,765.2,617.13,2163.66,3232.48,5426.82,0.0,290.83,422.13,36.52,458.65,1545.0,4968.17,240.51999999999998,-88.02000000000001,-305.49,147.02,23.144206569054223,2.43,0.09,0.22,0.2,0.91,9.31274093829555,9.358691962662139,10.170493393138559,9.956055279427806,10.26239544187174,15.79,15.58,0.0,5.13,3.66,6,2015,299.96363636363634,1499.8181818181818,329.96
2015-09-30,1088.4500000000003,146.31,0.09523190627165264,0.2047562784287751,177.57999999999998,147.48000000000002,298.39,6.15,940.9800000000002,129.82,577.21,822.35,652.95,2123.75,3141.99,5296.5,0.0,447.91,448.34,38.68,487.02,1545.0,4809.48,265.50000000000006,-129.61,-305.0,150.91000000000003,16.14584922424988,1.98,0.1,0.31,0.4,1.29,11.046901127511706,11.059189115417727,12.165108026959498,11.894772293027064,12.238835954395618,15.07,14.85,0.0,4.74,3.28,9,2015,314.5782991202346,1536.3548387096773,476.27
2015-12-31,939.0699999999997,65.46000000000004,0.04229228582504201,0.0029577881613446107,97.56000000000006,65.64000000000004,215.48000000000002,5.45,873.4299999999998,58.31,749.52,715.21,626.91,2174.15,3167.68,5371.17,0.0,453.61,455.41,40.83,496.24,1545.0,4874.94,342.68999999999994,-170.32,0.0,149.83999999999992,32.21332149404215,1.73,0.1,0.35,0.4,1.14,4.876904731139131,4.891404943422002,5.369911948756763,5.239410038210919,5.394078969228216,13.24,13.07,0.0,4.77,3.4,12,2015,4.578064516129189,1547.8000000000002,541.73
2016-03-31,1064.91,129.59,0.08,0.0,161.04,129.55,266.6,5.4,935.36,121.88,772.03,845.13,598.38,2296.58,3092.9,5430.96,0.0,380.31,383.26,43.17,426.44,1545.0,5004.52,181.31,-161.79,0.0,137.05,16.875,1.67,0.09,0.08,0.0,0.0,9.56,9.44,10.36,10.2,10.280000000000001,12.28,12.17,0.0,5.99,4.43,3,2016,0.0,1619.875,129.59
2016-06-30,897.22,49.129999999999995,0.032987914055505815,0.11999999999999998,80.25,51.109999999999985,186.64,5.25,846.11,40.31,775.69,741.26,658.78,2215.75,2988.05,5247.44,0.0,327.2,331.03,45.75,376.79,1545.0,4870.66,156.27999999999997,30.42999999999998,-183.0,135.52999999999997,39.787299002646044,1.67,0.08,0.12,0.12,1.0,3.749626230975828,3.716638316920322,4.035521486123545,3.991537600716204,4.035521486123545,9.21,9.11,0.0,6.69,4.7,6,2016,178.72,1489.3333333333335,178.72
2016-09-30,871.1599999999999,60.43000000000001,0.0404298557390759,0.12042985573907587,100.70000000000002,61.69,199.37,4.88,809.47,57.640000000000015,813.38,671.42,610.58,2137.43,2907.71,5084.94,0.0,287.14,336.86,0.0,336.86,1545.0,4748.08,262.96,-41.22999999999999,-183.0,137.68,30.175719841138502,1.59,0.07,0.16,0.24,1.5,4.750508049341418,4.720185657537111,5.094161823123563,5.053731967384487,5.154806606732176,8.52,8.44,0.0,6.35,4.53,9,2016,180.00499999999997,1494.6875,239.15
2016-12-31,908.7600000000002,142.92999999999998,0.09352099036850921,0.005281485552763817,174.36,143.92999999999998,280.05999999999995,5.0,764.8299999999999,131.62999999999997,1061.98,689.38,558.34,2350.41,2795.55,5193.22,0.0,245.2,249.13,59.96,309.09,1545.0,4884.13,277.43000000000006,-30.919999999999987,0.0,136.13,13.36598334849227,1.58,0.06,0.25,0.24,0.96,11.013031825795645,10.938215033500835,11.701346314907873,11.716309673366833,11.68638295644891,10.31,10.21,0.0,9.43,7.19,12,2016,8.071799999999996,1528.32,382.08
2017-03-31,995.75,150.65,0.1,0.0,187.4,152.15,281.71,6.05,843.6,144.45,1249.99,888.91,502.58,2642.83,2675.06,5364.04,0.0,265.02,267.63,61.63,329.27,1545.0,5034.78,188.0,-2.87,0.0,129.56,15.125,1.86,0.07,0.1,0.0,0.0,11.24,11.28,11.96,12.0,11.96,15.27,15.13,0.0,9.87,8.0,3,2017,0.0,1506.5,150.65
2017-06-30,953.9200000000001,160.71,0.10323098663926003,0.11999999999999998,186.32000000000002,161.9,276.75000000000006,7.4,792.0199999999999,143.74,1333.15,929.8,494.32,2759.08,2571.66,5371.54,0.0,292.47,294.38,64.66,359.05,1545.0,5012.49,279.91,-13.7,-183.0,114.85,17.920975670462322,2.28,0.07,0.2,0.12,0.6,11.974794450154164,12.201902620760535,12.821288540596095,13.007104316546762,12.779996145940391,16.19,15.97,0.0,9.37,7.69,6,2017,186.81599999999997,1556.8,311.36
