,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,1340.69,-566.94,-7.089999999999999,0.0,264.3,-563.68,-492.06,0.4,0.0,1904.37,-437.08,529.62,669.03,628.45,2468.46,1994.03,4863.71,5052.6,646.24,3655.88,14076.99,5702.86,19779.85,800.0,-15103.46,344.1,-59.3,-351.12,71.62,-0.015000000000000001,-0.02,-1.31,-7.09,-46.64,0.0,15.0,0.0,24.48,-45.02,-42.29,0.0,0.18,0.13,3,2000,0.0,79.9633286318759,-566.94
2000-06-30,1440.75,-465.67999999999984,-5.822014681102438,0.0,307.95,-459.6600000000001,-393.11999999999995,0.4,0.0,1900.4,-689.9100000000001,364.17,589.16,661.56,2204.87,2023.12,4613.36,4484.72,588.61,3627.57,14265.14,5728.37,19993.51,800.0,-15569.14,-294.87,-123.82000000000001,254.9,66.53999999999999,-0.01663084092080399,-0.02,-1.28,-12.91,-40.37077879568476,0.0,11.95970792740795,0.0,19.12110166372915,-39.4,-37.13,0.0,0.15,0.11,6,2000,0.0,79.98605731990703,-1032.62
2000-09-30,1447.7400000000002,-662.3900000000001,-8.280803122105477,0.0,308.44000000000005,539.1,567.7099999999999,0.4,0.0,908.6500000000001,1090.94,388.42,675.72,698.97,2317.32,2081.7,4759.2,4617.23,688.4,3642.34,14863.25,5939.45,20802.7,800.0,-16231.53,35.51,-31.419999999999987,28.870000000000005,28.610000000000014,-0.012794652697051583,-0.02,-1.28,-21.19,-55.679510563359514,0.0,16.31931752615029,0.0,7.487502964584281,-42.32,-40.08,0.0,0.16,0.11,9,2000,0.0,79.99103350637093,-1695.01
2000-12-31,1871.6899999999996,-51.700000000000045,-0.6461353058034824,0.0,242.3699999999999,276.53,400.98,0.4,0.0,1595.1599999999999,-787.8000000000001,391.12,602.62,545.94,1992.87,1867.6,4225.95,4037.26,622.19,3550.0,14341.31,5924.75,20266.06,800.0,-16188.08,223.26,-38.23000000000002,-132.81,124.45000000000002,-0.1689274661508703,-0.02,-1.25,-21.83,-4.893224404738054,0.0,1.2774713604433487,0.0,0.2427077190833054,-33.14,-28.63,0.0,0.14,0.1,12,2000,0.0,80.01420064131929,-1746.71
2001-03-31,1210.41,-463.99,-5.8,0.0,231.6,-186.46,-115.05,0.4,0.0,1396.86,-81.15,373.68,495.97,559.12,1909.18,1837.48,4081.89,4069.67,557.88,3558.16,14599.66,6000.15,20599.81,800.0,-16662.02,62.0,-40.73,-35.47,71.41,-0.0175,-0.02,-1.24,-5.8,-45.48,-16.68,11.12,11.68,7.08,-40.33,-38.33,0.0,0.13,0.09,3,2001,0.0,79.99827586206897,-463.99
2001-06-30,1236.09,-430.6,-5.381356822678545,0.0,258.08000000000004,-104.62999999999997,-40.94000000000001,0.4,0.0,1340.72,-246.57000000000002,435.07,459.29,547.46,1895.74,1805.81,4025.43,4033.67,558.41,3602.51,14883.83,6090.4,20974.23,800.0,-17089.01,77.75999999999999,-15.230000000000004,-0.6200000000000045,63.69,-0.020775429633070133,-0.02,-1.23,-11.18,-42.78130540247488,-12.976867615332164,10.069587185190983,10.55092500475078,5.159941425681039,-38.27,-36.57,0.0,0.13,0.09,6,2001,0.0,80.01699463327371,-894.59
2001-09-30,1348.0700000000002,-367.66999999999996,-4.5963847384849394,0.0,231.46999999999997,-35.80000000000001,42.18000000000001,0.4,0.0,1383.88,198.60000000000002,406.09,569.89,542.66,1949.06,1857.6,4103.23,4018.96,640.24,3631.32,15250.74,6182.43,21433.17,800.0,-17469.34,45.48000000000002,-112.50999999999999,38.190000000000005,77.98000000000002,-0.02574849729376887,-0.02,-1.23,-15.78,-35.83898467827547,-8.5985600430973,8.423792562546543,8.726722862167858,3.413791453424809,-34.71,-33.26,0.0,0.13,0.09,9,2001,0.0,79.99112801013942,-1262.26
2001-12-31,1462.5499999999997,-443.70000000000005,-5.545079603273232,0.0,258.75,-66.71000000000004,-6.289999999999992,0.4,0.0,1529.2600000000002,-467.26,457.12,599.78,452.45,1848.33,1895.67,4058.56,3988.98,646.44,3653.68,15593.1,6240.69,21833.79,800.0,-17909.41,184.48000000000002,-87.84,-41.96,60.41999999999999,-0.019224250619788143,-0.02,-1.22,-21.32,-43.72602171211518,-9.88335013716617,9.914560716546696,10.413929986635091,3.5476025229196466,-33.95,-32.45,0.0,0.12,0.09,12,2001,0.0,80.01688555347091,-1705.96
2002-03-31,1361.67,-347.73,-4.35,0.0,245.25,-17.76,59.22,0.4,0.0,1379.43,-10.92,422.79,546.72,434.3,1624.82,1931.61,4092.94,3994.3,601.67,3692.3,15902.77,6311.23,22214.0,800.0,-18251.53,77.31,-124.59,20.73,76.98,-0.0225,-0.02,-1.22,-4.35,-34.0,-1.72,7.64,7.959999999999999,0.6,-27.29,-25.54,0.0,0.1,0.07,3,2002,0.0,79.93793103448277,-347.73
2002-06-30,1415.3199999999997,-352.30999999999995,-4.403623364379178,0.0,238.26,-23.8,60.730000000000004,0.4,0.0,1439.1200000000001,-223.01000000000002,338.14,580.42,492.21,1626.4,2013.13,4178.77,3951.69,667.2,3737.88,16273.11,6373.66,22646.77,800.0,-18595.89,-41.78,-146.74999999999997,103.86999999999999,84.52999999999999,-0.024837501064403515,-0.02,-1.22,-8.75,-33.71917319010342,-2.0332158162390717,7.569199474315752,7.891293068967487,0.6844488886349351,-27.09,-25.21,0.0,0.1,0.07,6,2002,0.0,80.00457142857142,-700.04
