,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,357.24,7.15,0.67,0.0,62.25,29.83,39.75,1.0,0.0,327.41,27.65,16.0,201.56,175.65,684.55,316.91,1137.93,387.27,283.14,2.52,957.49,126.36,1083.85,106.0,48.28,-5.12,-10.12,-28.12,9.92,0.3725,2.2,22.45,0.67,0.0,0.0,2.52,0.0,59.239999999999995,0.0,66.12,2.02,2.0,0.0,0.71,0.53,3,2000,0.0,10.671641791044776,7.15
2000-06-30,330.04999999999995,7.25,0.6847222222222222,0.0,64.96,28.590000000000003,38.239999999999995,0.97,0.0,301.46,25.980000000000004,14.08,224.0,171.56,676.63,309.96,1122.94,392.88,234.32,2.28,811.64,250.38,1062.02,106.0,55.52,-10.600000000000001,-3.1900000000000013,7.84,9.65,0.35255172413793107,1.85,19.13,1.36,0.0,0.0,2.577777777777778,0.0,52.24027777777778,0.0,37.800694444444446,2.11,2.1,0.0,0.83,0.62,6,2000,0.0,10.588235294117647,14.4
2000-09-30,403.1400000000001,7.389999999999999,0.6986415787058282,0.0,51.92999999999999,21.379999999999995,29.960000000000008,0.85,0.0,381.77,-2.950000000000003,21.69,252.37,165.06,707.63,256.34,1007.46,143.05,264.32,2.4,567.47,383.17,950.64,106.0,51.24,38.05,110.56,-132.28,8.579999999999998,0.3022293640054127,1.76,18.55,2.06,0.0,0.0,2.9302248737953187,0.0,57.69558513079394,0.0,24.608462597521797,2.06,2.0,0.0,1.25,0.96,9,2000,0.0,10.577669902912621,21.79
2000-12-31,421.55999999999995,34.44,3.246167526231549,0.0,70.30000000000001,26.040000000000006,39.83,0.85,0.0,395.5100000000001,46.86000000000001,43.41,265.12,182.95,766.01,269.75,1076.93,82.11,367.62,3.13,603.84,381.86,985.7,106.0,85.69,92.94,-29.090000000000003,-62.30000000000001,13.79,0.06530778164924507,1.05,11.5,5.3,0.0,0.0,12.788675084474479,0.0,160.7649155255202,0.0,54.80510759381114,3.78,3.72,0.0,1.27,0.97,12,2000,0.0,10.60943396226415,56.23
2001-03-31,391.28,23.7,2.24,0.0,86.58,41.02,52.19,1.18,0.0,350.25,36.52,45.79,300.6,186.78,826.77,275.9,1143.84,101.92,303.01,20.44,610.78,417.73,1028.51,106.0,109.39,7.67,-19.53,14.24,11.17,0.13,1.14,9.4,2.24,0.0,0.0,8.28,14.4,86.68,120.23999999999998,30.8,6.14,6.06,0.0,1.35,1.05,3,2001,0.0,10.580357142857142,23.7
2001-06-30,628.48,36.150000000000006,3.4126566416040105,0.0,82.82000000000001,39.38999999999999,45.379999999999995,1.3,0.0,589.1,21.11,58.73,311.06,213.93,958.49,253.46,1247.92,154.9,364.26,38.33,730.48,365.98,1096.46,106.0,145.54,-25.54,-6.27,44.739999999999995,5.99,0.09519709543568464,0.95,7.53,5.65,0.0,0.0,11.596992481203008,16.38075187969925,99.34756892230578,143.82686716791983,37.54526315789474,6.01,5.87,0.0,1.31,1.02,6,2001,0.0,10.5929203539823,59.85
2001-09-30,493.8700000000001,11.57,1.0918762251470178,0.0,68.43,23.02000000000001,37.5,1.63,0.0,470.85,22.15,88.48,318.27,186.54,943.9,244.07,1225.38,195.82,320.7,48.61,719.06,342.51,1061.57,106.0,157.11,6.360000000000001,-4.689999999999998,28.089999999999996,14.48,0.37037165082108897,1.1,6.76,6.74,0.0,0.0,3.7778269392327077,6.000459255110613,29.45797815737889,44.42672640716886,13.238594231307756,4.8,4.72,0.0,1.31,1.05,9,2001,0.0,10.596439169139465,71.42
2001-12-31,400.28,7.560000000000002,0.7131172448721198,0.0,52.99999999999997,18.36999999999999,21.04000000000002,1.8,0.0,381.89999999999986,12.319999999999993,54.39,286.34,193.48,803.49,383.47,1232.35,162.19,278.16,48.01,591.35,329.61,920.96,106.0,304.67,37.89,-4.940000000000001,-44.93999999999999,2.6700000000000017,0.6268253968253967,0.63,3.02,7.45,0.0,0.0,2.4542719675867315,4.039402380349457,9.924294758166628,15.495224107368958,7.274753102051154,4.2,4.13,0.0,1.36,1.03,12,2001,0.0,10.601342281879194,78.98
2002-03-31,419.53,25.39,2.4,0.0,73.24,41.15,50.01,3.6,0.0,378.38,37.65,55.59,280.81,189.31,843.15,376.09,1273.7,158.19,306.11,48.24,615.62,320.65,936.27,106.0,330.06,38.97,-11.68,-26.08,8.86,0.375,1.16,2.84,2.4,0.0,0.0,7.960000000000001,13.6,30.760000000000005,46.24,25.0,6.1,6.05,0.0,1.37,1.06,3,2002,0.0,10.579166666666667,25.39
2002-06-30,444.6,33.15,3.1258626580116156,0.0,60.64999999999999,40.53000000000001,47.87,4.05,0.0,404.08000000000004,39.23,68.0,349.12,191.17,855.07,379.69,1298.91,158.62,306.28,48.66,619.12,309.73,928.84,106.0,363.21,43.66,-21.939999999999998,-9.32,7.34,0.32227903469079944,1.18,2.56,5.52,0.0,0.0,10.215681585240858,14.519405534677144,36.51370003416467,52.12036214554151,27.226716774854797,6.81,6.77,0.0,1.38,1.07,6,2002,0.0,10.605072463768117,58.54
