,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-09-30,,,,,,,,,2.06,,,60.67,225.06,51.19,564.17,313.6,954.18,114.96,190.95,39.84,491.18,20.33,511.51,153.0,442.67,,,,,,0.0,1.16,0.4,0.0,0.0,,,,,,3.87,3.86,1.15,1.04,9,2005,,151.1,60.44
2005-12-31,551.6099999999999,21.25,0.13266617701065003,0.0,57.44999999999999,31.87999999999998,45.30000000000001,2.3,2.46,519.7199999999998,35.57000000000001,48.83,164.89,36.13,528.26,337.49,953.87,57.71,120.07,25.68,339.28,5.82,345.1,200.0,608.77,-35.839999999999996,-33.15,57.15,13.420000000000002,4.334375294117647,0.76,0.57,0.51,0.0,0.0,8.906842942832661,0.0,13.963765454768025,0.0,22.631289019463825,3.86,3.86,1.56,1.45,12,2005,0.0,160.17647058823528,81.69
2006-03-31,459.56,17.28,0.09,0.0,61.44,29.41,42.18,2.96,4.91,430.16,33.96,44.3,211.31,47.5,571.27,334.44,996.56,50.66,157.74,23.09,351.96,18.54,370.5,200.0,626.05,-1.35,-5.94,2.76,12.77,8.2225,0.95,0.59,0.09,0.0,0.0,6.92,0.0,11.04,0.0,18.24,3.77,3.76,1.62,1.49,3,2006,0.0,192.00000000000003,17.28
2006-06-30,403.41,15.39,0.07537190082644628,0.20000000000000004,48.09,24.45,34.13999999999999,2.04,4.91,378.95,23.990000000000002,22.36,177.1,50.82,583.9,327.24,976.22,98.81,142.9,17.78,356.82,17.95,374.78,200.0,601.44,-21.88,-2.3099999999999996,2.26,9.690000000000001,6.766447368421053,0.68,0.62,0.16,0.2,1.25,6.312396694214876,0.0,10.231735537190083,0.0,16.393388429752065,3.79,3.79,1.64,1.49,6,2006,40.837500000000006,204.1875,32.67
2006-09-30,445.27,-1.0700000000000003,-0.005417721518987343,-0.006772151898734206,26.409999999999997,3.3500000000000014,12.150000000000006,2.2,5.09,441.92999999999995,3.029999999999994,28.49,184.53,50.16,646.51,322.84,1044.76,133.42,184.69,12.48,427.03,17.36,444.39,200.0,600.37,-19.830000000000002,-2.7699999999999996,28.720000000000002,8.8,-101.51869158878502,0.73,0.74,0.16,0.2,1.25,-0.4090379746835444,-0.77473417721519,-0.7124303797468357,-0.8207848101265823,-1.25420253164557,2.42,2.42,1.51,1.4,9,2006,-1.3375000000000057,197.5,31.6
2006-12-31,391.53,-70.92,-0.3607324516785351,-0.0009155645981688694,-31.700000000000003,-71.87,-61.709999999999994,1.86,15.1,463.3900000000001,-50.0,34.6,206.64,43.91,680.38,314.8,1075.59,218.02,186.91,7.18,529.37,16.77,546.14,200.0,529.45,-70.57,-2.0199999999999996,78.69999999999999,10.16,-1.2890439932318105,0.7,1.03,-0.2,0.2,-1.0,-26.40561546286877,-10.38909460834181,-53.60484231943031,-49.85322482197355,-19.33525940996948,-2.32,-2.31,1.29,1.2,12,2006,-0.17999999999999972,196.6,-39.32
2007-03-31,331.46,-38.16,-0.19,0.0,-6.83,-30.93,-22.07,1.67,0.14,362.39,-30.95,15.37,133.88,43.64,606.32,310.04,988.07,194.28,165.92,2.36,480.61,16.18,496.79,200.0,491.29,12.27,-2.35,-29.15,8.86,-2.1975,0.68,1.01,-0.19,0.0,0.0,-15.44,-12.48,-31.08,-27.32,-24.4,-11.53,-11.51,1.26,1.17,3,2007,0.0,200.84210526315786,-38.16
2007-06-30,359.62000000000006,2.8499999999999943,0.014528462192013564,0.0,30.619999999999997,7.699999999999999,16.47,1.69,0.25,351.91999999999996,7.579999999999998,45.25,147.09,52.7,623.55,306.38,1010.96,159.03,207.58,2.37,501.23,15.58,516.82,200.0,494.15,69.07000000000001,-3.36,-35.830000000000005,8.77,29.084289473684272,0.68,1.05,-0.18,0.0,0.0,1.1267629566694963,0.7554800339847053,2.3084112149532663,2.0824129141886107,1.4722175021240411,-5.12,-5.11,1.24,1.14,6,2007,0.0,196.16666666666669,-35.31
2007-09-30,445.1,7.030000000000001,0.034801980198019805,0.0,33.300000000000004,10.25,19.11,1.47,0.52,434.85000000000014,7.760000000000002,35.75,205.71,50.51,586.11,303.06,977.48,106.73,239.48,2.38,461.32,14.99,476.31,200.0,501.17,44.78,-1.38,-52.89999999999999,8.86,10.559743954480794,0.59,0.95,-0.14,0.0,0.0,2.873649222065064,1.272758132956153,5.608090523338048,5.100975954738331,2.495799151343706,-2.5,-2.49,1.27,1.16,9,2007,0.0,202.0,-28.28
2007-12-31,437.14999999999986,3.4299999999999997,0.01656338028169014,0.0,34.53999999999999,6.25,15.17,1.16,0.0,430.89999999999986,10.57,24.92,126.5,51.1,544.3,301.25,943.66,87.84,210.7,2.38,424.67,14.39,439.06,200.0,504.6,14.0,-5.359999999999999,-19.47,8.919999999999998,17.514540816326534,0.46,0.87,-0.12,0.0,0.0,1.4520563380281688,0.36991549295774645,2.716394366197183,2.6556619718309853,0.7177464788732393,-1.59,-1.58,1.28,1.16,12,2007,0.0,207.08333333333334,-24.85
