,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2006-06-30,,,,,,,,,0.0,,,49.23,318.98,513.5,920.77,170.02,1290.26,553.26,151.25,3.85,774.27,2.54,776.81,400.0,513.45,,,,,,0.0,1.51,0.18,0.0,0.0,,,,,,3.15,3.13,0.0,1.19,0.53,6,2006,,398.61111111111114,71.75
2006-09-30,825.2400000000002,5.049999999999997,0.012493489583333326,0.0,41.16,16.290000000000006,22.040000000000006,0.14,0.0,808.94,25.14,21.42,505.15,360.19,955.65,171.75,1376.82,481.87,69.64,3.32,638.09,1.98,640.06,500.0,736.75,-126.14,-47.2,145.53000000000003,5.75,2.775445544554457,0.95,0.87,0.19,0.0,0.0,1.4676562499999992,0.0,2.740677083333332,0.0,4.652838541666664,2.47,2.46,0.0,1.5,0.93,9,2006,0.0,404.2105263157895,76.8
2006-12-31,1225.48,4.820000000000007,0.011220289144817463,0.0,39.84,16.539999999999992,22.409999999999997,0.11,0.0,1208.9399999999996,18.12000000000002,28.52,619.32,472.5,1279.99,177.21,1707.08,728.19,182.36,2.78,964.1,1.41,965.51,500.0,741.57,-226.32,-11.579999999999998,245.0,5.870000000000001,2.54004149377593,0.77,1.3,0.19,0.0,0.0,1.1291154128889995,0.0,2.6007449154619002,0.0,4.67945111492282,1.88,1.88,0.0,1.33,0.84,12,2006,0.0,429.5789473684211,81.62
2007-03-31,1291.12,-175.36,-0.35,0.0,35.86,-159.14,-153.7,0.12,180.07,1450.26,13.85,115.86,585.03,378.89,1135.93,194.16,1592.75,853.03,83.99,9.93,988.37,38.16,1026.53,500.0,566.22,-51.32,-29.85,168.51,5.44,-0.0875,1.09,1.81,-0.35,0.0,0.0,-44.04,0.0,-123.88,0.0,-105.31999999999998,-13.66,-13.58,0.0,1.15,0.77,3,2007,0.0,501.0285714285715,-175.36
2007-06-30,1096.62,33.360000000000014,0.06578028169014087,0.1,48.82000000000001,53.53999999999999,58.969999999999985,0.42,180.07,1043.0800000000002,28.879999999999995,27.14,860.33,374.57,1345.37,195.9,1848.48,1035.76,165.59,10.58,1261.71,34.71,1296.42,500.0,552.06,-177.96,-40.62,129.86,5.429999999999999,1.5855815347721818,3.77,2.35,-0.28,0.1,-0.36,7.2170366197183125,6.324304225352116,24.169554929577476,25.04349295774649,16.914929577464797,-6.03,-5.95,0.0,1.07,0.77,6,2007,50.714285714285715,507.1428571428571,-142.0
2007-09-30,1244.5,20.230000000000004,0.0398718896279872,4.575370429029606e-05,42.69999999999999,53.209999999999994,60.120000000000005,0.67,180.07,1191.2999999999997,16.690000000000005,64.71,1057.82,184.38,1364.62,211.84,1880.6,1089.37,101.56,10.98,1276.81,31.5,1308.31,500.0,572.29,31.25,-44.42,50.74000000000001,6.910000000000002,4.228543005437468,5.9,2.29,-0.24,0.1,-0.42,4.306164079822618,2.139791410035313,14.141230188059462,12.360285784676032,5.7681333661821474,-3.42,-3.35,0.0,1.07,0.92,9,2007,0.023214285714288962,507.375,-121.77
2007-12-31,1004.1400000000003,29.629999999999995,0.0578836553071413,0.0008818102886911298,57.33000000000001,38.83,44.28,0.65,180.07,965.2900000000004,22.89999999999999,32.37,881.56,441.11,1504.44,277.7,2075.14,1187.13,180.4,10.41,1443.97,29.25,1473.22,500.0,601.92,-96.28,-55.7,119.64999999999998,5.449999999999999,2.7909433007087414,5.37,2.45,-0.18,0.1,-0.56,5.711187323637942,0.9261384849142607,19.69330583894074,17.648083351421747,2.765552420230084,-2.02,-1.99,0.0,1.04,0.74,12,2007,0.45138888888889284,511.8888888888889,-92.14
2008-03-31,1654.1,64.22,0.12000000000000001,0.0,117.53,110.53,118.61,0.97,0.0,1543.57,89.37,400.74,995.28,313.23,2291.53,328.84,3057.27,1166.27,73.27,10.12,1364.64,27.0,1391.64,1000.0,1665.63,-442.05,-202.83,1013.25,8.08,2.02,5.82,0.84,0.12,0.0,0.0,8.4,19.0,15.44,23.0,26.12,3.98,3.88,0.0,1.68,1.45,3,2008,0.0,535.1666666666666,64.22
2008-06-30,1190.48,85.96000000000001,0.011447596217871888,0.0,167.1,126.78999999999999,137.0,0.22,0.0,1063.7,136.46,223.4,532.08,617.2,2434.85,321.86,3175.39,1122.96,82.41,9.0,1399.04,24.75,1423.79,1000.0,1751.6,-29.620000000000005,16.850000000000023,-164.57000000000005,10.209999999999999,4.804502093997208,1.26,0.81,0.02,0.0,0.0,10.829426022106809,21.635956851777863,19.621179917432418,29.85533093620988,30.587977094153683,5.38,5.28,0.0,1.74,1.3,6,2008,0.0,7509.0,150.18
2008-09-30,1123.3200000000002,-111.79,-0.0,,48.80000000000001,-73.93,-64.28,0.14,0.0,1197.2400000000002,15.719999999999999,29.3,556.7,1418.55,2990.29,313.09,3733.63,1760.52,232.93,9.0,2071.32,22.5,2093.82,1000.0,1639.81,-830.96,-12.780000000000001,649.67,9.650000000000002,-0.0,0.85,1.28,0.0,0.0,0.0,-11.99725970304767,-67.79034123469654,-27.255910393331593,-40.41795259182079,-114.49811930190154,0.99,0.97,0.0,1.44,0.76,9,2008,,inf,38.39
