,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-03-31,86.64,5.66,0.05,0.0,23.4,8.95,17.09,,77.69,7.34,18.5,72.71,28.78,127.29,286.07,428.94,46.29,25.65,37.64,185.21,67.01,252.22,115.0,176.72,19.81,-60.3,48.55,8.14,0.0,0.0,1.43,0.05,0.0,0.0,5.28,0.0,12.8,0.0,14.68,6.7,6.53,0.0,0.69,0.53,3,2005,0.0,113.2,5.66
2005-06-30,92.88000000000001,11.61,0.09411696583671106,0.0,32.04,17.34,25.540000000000003,2.38,75.53,15.920000000000002,14.32,74.03,29.48,127.65,403.57,547.81,0.27,29.7,15.58,117.71,159.18,276.89,145.0,270.92,18.710000000000004,-126.88000000000001,104.00000000000001,8.2,6.321920757967269,1.27,1.02,0.14,0.0,0.0,8.470526925303995,0.0,17.129287782281413,0.0,16.430133178922986,9.81,9.62,0.0,1.08,0.83,6,2005,0.0,123.35714285714285,17.27
2005-09-30,104.84,14.970000000000002,0.11143920595533499,0.1,35.980000000000004,21.450000000000003,29.65,2.4,83.4,19.039999999999996,6.74,76.89,33.88,133.22,467.42,618.52,26.86,37.06,60.42,158.84,188.28,347.12,145.0,271.4,12.329999999999998,-72.63,52.72,8.2,5.378717434869739,1.28,1.28,0.24,0.1,0.42,9.676637717121588,0.0,22.06496277915633,0.0,19.29755583126551,11.58,11.34,0.0,0.84,0.63,9,2005,13.433333333333335,134.33333333333334,32.24
2005-12-31,104.91999999999996,-3.120000000000001,-0.022500000000000003,0.0031250000000000015,29.560000000000002,-1.8999999999999986,8.939999999999998,2.22,106.81,-3.9599999999999937,28.73,81.22,42.96,168.26,524.97,707.56,82.75,36.82,60.43,255.41,173.18,428.59,145.0,268.27,6.859999999999999,-70.67000000000002,85.79999999999998,10.840000000000003,-24.61666666666666,1.2,1.6,0.21,0.1,0.48,-1.7657142857142862,-0.0,-4.650000000000001,-0.0,-4.345714285714287,7.66,7.48,0.0,0.66,0.49,12,2005,0.43333333333333357,138.66666666666669,29.12
2006-03-31,130.78,12.82,0.09,0.0,44.7,21.54,36.47,2.18,109.24,19.71,12.98,84.88,31.72,146.03,525.43,687.35,68.57,31.42,61.17,237.79,159.28,397.07,145.0,281.09,17.64,-16.06,-17.33,14.93,6.065,1.13,1.41,0.09,0.0,0.0,7.48,15.44,18.24,22.4,19.16,9.96,9.8,0.0,0.61,0.48,3,2006,0.0,142.44444444444446,12.82
2006-06-30,115.4,6.899999999999999,0.048985801217038535,0.060000000000000005,34.16,15.149999999999999,30.989999999999995,2.23,100.25000000000001,12.61,12.58,102.57,39.14,164.89,511.9,692.25,69.73,49.75,60.69,266.37,144.92,411.29,145.0,279.29,7.099999999999998,-0.620000000000001,-6.890000000000001,15.84,11.396159420289857,1.16,1.47,0.14,0.06,0.43,3.9888438133874233,8.285598377281945,9.881135902636913,10.035091277890464,12.064503042596344,8.18,8.01,0.0,0.62,0.47,6,2006,8.45142857142857,140.85714285714283,19.72
2006-09-30,200.76999999999998,15.219999999999999,0.10454493417286775,0.0019478289312290502,36.510000000000005,23.190000000000005,44.370000000000005,2.3,177.57999999999998,9.439999999999998,63.92,160.34,50.54,300.28,676.58,1006.29,71.24,78.78,108.26,447.73,183.94,631.67,145.0,346.13,12.2,-73.5,112.64,21.180000000000003,5.49811432325887,0.96,1.82,0.24,0.06,0.25,6.046182026330853,12.841602747567258,17.580973096737264,19.724144247281053,18.678694905552376,8.17,7.82,0.0,0.67,0.56,9,2006,0.28357142857142925,145.58333333333334,34.94
2006-12-31,214.40000000000003,1.990000000000002,0.012393717844570822,0.005598429461142705,33.51999999999998,9.18,36.05,2.3,205.22999999999996,-2.9199999999999946,33.02,165.01,49.93,277.42,721.45,1030.82,128.3,88.86,116.62,470.94,178.06,649.0,202.82,354.32,14.840000000000003,-56.829999999999984,11.11,26.86999999999999,46.394472361809,1.32,1.83,0.23,0.06,0.26,0.7716436501489312,1.7135662063363135,2.245957216355269,2.5563390197671296,2.657644191714056,5.85,5.58,0.0,0.59,0.48,12,2006,0.8989130434782613,160.56521739130434,36.93
2007-03-31,206.12,9.66,0.05,0.0,40.6,24.2,51.82,3.2,181.93,18.04,10.8,166.74,61.2,271.91,702.23,1028.35,130.22,91.05,114.5,498.32,152.4,650.72,202.82,349.58,13.5,-35.71,-0.01,27.62,16.0,1.86,1.86,0.05,0.0,0.0,3.76,11.28,11.04,12.24,18.28,4.83,4.69,0.0,0.55,0.42,3,2007,0.0,193.2,9.66
2007-06-30,192.96999999999997,13.27,0.05787178368948975,0.06,37.62,20.49,44.36000000000001,3.64,172.46999999999997,11.380000000000003,64.81,164.51,64.91,326.02,728.23,1091.49,194.71,61.72,122.98,458.86,154.9,613.75,239.82,454.49,23.060000000000002,-40.35999999999999,71.32000000000001,23.87,15.724415975885455,1.92,1.35,0.1,0.06,0.6,4.861229829917139,11.597505451373745,11.690100305276928,14.467945922372436,16.342991713911903,5.97,5.75,0.0,0.71,0.57,6,2007,13.758,229.29999999999998,22.93
