,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,1010.45,37.16,1.38,0.0,336.07,37.49,54.3,2.9,972.96,-103.61,103.1,2657.86,859.11,4087.17,700.92,4867.99,209.81,169.35,870.05,1467.3,1384.25,2851.55,270.0,2016.45,-86.22,-7.09,460.96,16.81,0.525,0.39,1.41,1.38,0.0,0.0,3.04,0.0,7.36,0.0,4.4,4.27,3.68,0.0,2.79,2.2,3,2000,0.0,26.92753623188406,37.16
2000-06-30,1007.97,35.22,1.3040840011052777,0.0,325.17,36.279999999999994,50.99000000000001,2.08,971.69,-106.10000000000001,53.18,2662.75,763.23,3505.09,700.03,4282.31,181.38,123.37,493.22,1031.74,1198.9,2230.64,270.0,2051.67,111.27,-9.830000000000002,-591.3,14.71,0.3956033503691085,0.27,1.09,2.68,0.0,0.0,3.2894059132357003,0.0,6.870770931196462,0.0,4.418314451505942,4.17,3.59,0.0,3.4,2.66,6,2000,0.0,27.007462686567163,72.38
2000-09-30,888.1399999999999,28.42,1.0516527777777778,1.0,299.58000000000004,28.900000000000006,44.019999999999996,2.1,859.2399999999998,-109.67999999999998,72.74,2549.87,753.24,3515.84,696.81,4288.36,39.61,123.7,583.64,1010.14,1225.14,2235.27,270.0,2053.08,186.26,-9.489999999999998,-47.22,15.120000000000001,0.496551724137931,0.28,1.09,3.73,1.0,0.27,2.650277777777778,0.0,5.53738888888889,0.0,3.5299444444444448,4.06,3.47,0.0,3.48,2.73,9,2000,27.024128686327078,27.024128686327078,100.8
2000-12-31,926.7600000000002,32.61999999999999,1.2077859391395591,-0.000593582000118316,295.09000000000003,200.82999999999998,216.62,2.13,725.94,56.68000000000001,124.39,2482.52,716.12,3423.22,689.35,4186.66,149.91,115.84,589.26,1136.79,965.04,2101.84,270.0,2084.82,176.71999999999997,-5.419999999999998,-149.64,15.79,0.43968884120171686,0.28,1.01,4.94,1.0,0.2,3.1197061909758648,0.0,6.258971668415529,0.0,9.730745015739767,4.08,3.48,0.0,3.01,2.38,12,2000,-0.016031520335179295,27.0080971659919,133.42
2001-03-31,987.6,61.8,2.29,1.9,481.66,91.52,107.82,2.35,896.08,91.12,38.9,2444.16,777.0,3360.23,684.03,4115.19,26.42,197.43,594.99,1119.9,849.14,1969.04,270.0,2146.14,157.52,-47.96,-235.15,16.3,0.2575,0.3,0.92,2.29,1.9,0.83,6.0,8.16,11.52,11.88,12.24,6.26,6.26,0.0,3.0,2.31,3,2001,51.27510917030567,26.986899563318776,61.8
2001-06-30,1060.69,50.150000000000006,1.8590665475658779,-0.0007744801855161148,463.8999999999999,43.530000000000015,58.34,3.95,1017.16,80.69999999999999,52.22,2490.77,698.67,3298.52,678.22,4044.58,128.76,130.66,695.18,1233.2,666.38,1899.59,270.0,2145.0,5.639999999999986,34.08,-26.400000000000006,14.809999999999999,0.5301719840478564,0.5,0.89,4.15,1.9,0.46,4.9634836980795,5.805663242518983,9.353568557391693,9.568593121929434,8.600982581509603,5.5,5.47,0.0,2.67,2.11,6,2001,-0.020892302835790133,26.97590361445783,111.95
2001-09-30,884.4099999999999,21.999999999999986,0.8146323254945871,1.2021208237204137,32.49000000000001,98.94,113.34,3.2,785.47,-348.99,149.45,2363.94,698.66,3264.25,675.95,4005.35,129.4,115.89,589.65,1089.38,781.38,1870.76,270.0,2134.59,127.91,-8.76,-21.909999999999968,14.399999999999999,0.9894034090909096,0.4,0.88,4.96,3.1,0.63,2.194251586412839,3.705263157894734,4.125718551698393,4.204553938036579,5.268831653602088,5.31,4.57,0.0,3.0,2.36,9,2001,32.46453313253012,27.006048387096772,133.95
2001-12-31,927.8800000000001,33.79000000000002,1.2509592226064155,0.0005995141290094463,290.60000000000014,67.78999999999996,81.88,4.15,860.0799999999999,-71.60000000000002,57.53,2348.33,711.64,3229.7,703.04,3995.89,38.44,270.87,513.92,1082.43,717.84,1800.27,270.0,2195.62,216.35000000000002,-12.11,-236.18,14.090000000000003,0.8315019236460488,0.51,0.82,6.21,3.1,0.5,3.384237510432815,5.946588768331946,6.156089185644452,6.31724335280792,8.347785859067608,5.07,4.34,0.0,2.98,2.33,12,2001,0.01619363929147255,27.011272141706925,167.74
2002-03-31,1034.55,44.28,1.64,0.0,449.5,84.46,100.02,4.6,950.09,78.3,51.74,2392.0,757.46,3262.08,704.84,4026.29,52.62,341.56,520.04,1188.05,598.33,1786.38,270.0,2239.9,62.22,-13.28,-104.73,15.56,0.7,0.55,0.8,1.64,0.0,0.0,4.4,8.28,7.92,8.08,11.92,4.31,4.28,0.0,2.75,2.11,3,2002,0.0,27.000000000000004,44.28
2002-06-30,1046.57,50.45,1.869307505542067,2.35,466.40999999999997,86.89,99.77,5.45,959.67,84.16000000000001,52.32,2448.58,799.99,3356.0,717.5,4130.15,226.64,298.97,491.38,1290.45,612.8,1903.25,270.0,2226.9,-76.85,-22.53,89.96000000000001,12.88,0.7276090188305253,0.66,0.85,3.51,2.35,0.67,4.8783067665998106,8.925810197403147,9.053626095217988,9.224047292304444,12.84549773039164,4.57,4.55,0.0,2.6,1.98,6,2002,63.42321937321938,26.98860398860399,94.73
