,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-03-31,179.14,19.36,0.11,0.0,69.66,33.42,41.69,2.38,5.3,145.72,37.11,114.5,257.2,114.39,504.84,112.66,747.34,8.8,51.71,24.52,160.69,59.56,220.25,240.0,527.09,-25.66,-4.47,143.84,8.27,5.41,1.08,0.42,0.11,0.0,0.0,10.359999999999998,0.0,14.68,0.0,22.799999999999997,10.95,10.81,0.0,3.14,2.43,3,2005,0.0,176.0,19.36
2005-06-30,171.47000000000003,19.200000000000003,0.08962655601659751,0.15,61.890000000000015,28.019999999999996,37.3,2.14,5.83,143.44000000000003,25.660000000000004,26.48,325.59,101.31,470.05,113.19,711.69,6.57,59.01,25.33,150.14,53.58,203.72,240.0,507.97,-35.16,-8.830000000000002,-44.040000000000006,9.280000000000001,5.969770833333333,1.01,0.4,0.18,0.15,0.83,10.795020746887968,0.0,15.117012448132781,0.0,21.789211618257266,11.17,11.0,0.0,3.13,2.46,6,2005,32.13333333333334,214.22222222222226,38.56
2005-09-30,154.7,7.079999999999998,0.03257668711656441,0.002147239263803657,55.869999999999976,14.540000000000006,23.74000000000001,1.98,7.4,140.16999999999996,12.119999999999997,4.47,369.41,125.86,521.17,116.22,759.38,33.79,62.01,26.98,200.84,48.95,249.79,240.0,509.59,-34.9,-8.309999999999999,21.210000000000008,9.2,15.197217514124297,0.93,0.49,0.21,0.15,0.71,3.7292550394390878,0.0,5.5597546012269925,0.0,8.438913234005256,9.2,9.03,0.0,2.59,1.97,9,2005,0.46666666666666146,217.33333333333334,45.64
2005-12-31,162.07,-2.3699999999999974,-0.010406748324474219,0.006852322625375549,62.890000000000015,0.14999999999999147,7.599999999999994,1.79,13.86,161.92000000000002,175.42000000000002,1.28,392.88,134.58,569.61,117.71,798.91,50.15,66.84,27.27,236.67,50.25,286.92,240.0,511.99,-32.150000000000006,-2.41,31.36999999999999,7.450000000000003,-42.99613924050638,0.84,0.56,0.19,0.15,0.79,-1.187464756182111,-0.0,-1.851305754564361,-0.0,-2.9664709960711773,6.59,6.48,0.0,2.41,1.84,12,2005,1.560526315789474,227.73684210526318,43.27
2006-03-31,135.19,3.47,0.01,0.0,45.54,8.62,14.12,1.71,1.64,126.56,5.7,2.55,380.45,155.23,573.89,154.2,812.03,62.78,66.78,27.22,252.65,45.83,298.48,240.0,513.55,2.77,-6.48,4.98,5.5,42.75,0.8,0.58,0.01,0.0,0.0,1.72,4.44,2.72,2.68,6.16,2.66,2.57,0.0,2.27,1.66,3,2006,0.0,347.0,3.47
2006-06-30,149.31,3.39,0.014825072886297376,0.04,49.470000000000006,8.06,19.340000000000003,1.02,3.54,141.25,2.3,2.02,377.84,175.84,598.5,146.22,817.65,57.13,91.96,27.14,266.78,39.54,306.32,240.0,511.33,8.01,7.66,-16.200000000000003,11.280000000000001,17.200589970501476,0.48,0.6,0.03,0.04,1.33,1.660408163265306,4.309154518950438,2.6487463556851316,2.668513119533528,5.98932944606414,2.54,2.41,0.0,2.24,1.58,6,2006,9.146666666666668,228.66666666666669,6.86
2006-09-30,153.01999999999998,-23.88,-0.09821386603995301,0.0023815119467293254,46.89999999999999,-19.55,-4.830000000000002,1.02,25.09,172.57999999999998,3.5199999999999996,1.34,379.12,174.36,577.55,144.38,793.24,63.89,89.81,31.54,259.1,43.33,302.43,240.0,490.8,-2.9299999999999997,-7.58,9.83,14.719999999999999,-2.5961201842546067,0.5,0.62,-0.07,0.04,-0.57,-12.066274970622795,-2.0765217391304347,-19.47440658049354,-19.081551116333724,-3.0305992949471214,-4.05,-3.89,0.0,2.23,1.56,9,2006,0.5790476190476159,243.1428571428571,-17.02
2006-12-31,118.63999999999999,-18.06,-0.07722348916761687,-0.0015865776185046358,18.409999999999997,-20.56,-8.099999999999998,0.86,28.57,139.20000000000005,-49.629999999999995,1.37,347.25,175.65,546.44,141.78,745.19,66.0,76.14,32.12,241.05,38.43,279.48,240.0,465.72,0.4900000000000002,3.6200000000000006,-4.07,12.46,-2.782508305647841,0.44,0.6,-0.15,0.04,-0.27,-9.699270239452678,-6.239657924743443,-15.506476624857468,-14.785724059293045,-9.575712656784493,-6.85,-6.31,0.0,2.27,1.54,12,2006,-0.3710476190476175,233.86666666666667,-35.08
2007-03-31,150.87,-5.88,-0.02,0.0,43.4,-0.04,12.12,0.82,2.53,150.91,0.3,1.82,348.38,179.81,555.22,141.5,746.81,62.96,69.06,41.17,243.28,43.9,287.18,240.0,459.63,-7.2,-5.01,12.66,12.16,-10.25,0.43,0.62,-0.02,0.0,0.0,-3.16,-0.04,-5.12,-4.84,-0.04,-4.16,-3.9,0.0,2.28,1.54,3,2007,0.0,294.0,-5.88
2007-06-30,153.87,2.05,0.010704960835509137,0.0,55.580000000000005,7.47,13.020000000000001,0.81,7.0,146.4,10.37,0.73,356.18,181.92,558.7,138.71,745.86,69.41,60.4,41.14,243.25,40.6,283.85,240.0,462.0,-9.95,-0.79,9.649999999999999,5.550000000000001,18.916463414634148,0.42,0.61,-0.02,0.0,0.0,1.091906005221932,-2.033942558746736,1.7770234986945166,1.6913838120104439,-3.1686684073107045,-1.33,-1.26,0.0,2.3,1.55,6,2007,0.0,191.5,-3.83
