,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,2160.62,26.07,0.95,1.5,420.59,61.89,77.33,4.65,2098.73,48.3,3.94,1167.26,360.28,1669.01,1454.65,4315.36,277.9,1175.43,0.0,2338.26,617.55,2955.81,275.88,1359.56,-247.61,-12.36,170.99,15.44,1.2225,0.94,2.17,0.95,1.5,1.58,2.4,0.0,7.68,0.0,12.52,1.21,1.21,0.71,0.56,3,2000,41.16315789473684,27.442105263157895,26.07
2000-06-30,2359.76,71.21000000000001,2.583997738486842,0.00631221866343512,453.36000000000007,117.88000000000001,128.20999999999998,4.4,2241.8799999999997,76.65,41.89,1298.92,342.81,1784.42,1452.74,4438.1,211.88,1287.06,0.0,2419.16,625.8,3044.96,275.88,1393.14,167.11,2.379999999999999,-131.53,10.33,0.42690633338014317,0.87,2.19,3.53,1.5,0.42,6.41241365131579,0.0,20.437738486842107,0.0,26.059580592105267,2.18,2.15,0.74,0.6,6,2000,0.17395258684956616,27.558073654390938,97.28
2000-09-30,2439.2799999999997,42.75,1.5508819538670284,0.00037476793216487234,469.28999999999996,86.89000000000001,98.6,4.4,2352.3900000000003,76.57000000000001,2.99,1352.4,356.24,1840.6,1444.76,4500.71,144.85,1333.19,0.0,2421.41,636.69,3058.1,275.88,1442.61,43.58,-11.669999999999998,-70.81,11.709999999999997,0.7124333333333334,0.84,2.12,5.08,1.5,0.3,3.7978290366350063,0.0,11.857530529172323,0.0,15.655359565807325,2.03,2.01,0.76,0.61,9,2000,0.010330463295481707,27.56496062992126,140.03
2000-12-31,2597.2800000000007,19.50999999999999,0.706830888805315,0.0020169947259787374,462.6199999999999,72.91999999999996,83.81,5.8,2524.3600000000006,109.58000000000001,94.25,1441.4,386.46,2037.89,1485.74,4780.32,0.33,1521.47,0.0,2522.6,642.3,3164.91,275.88,1615.41,193.49,15.369999999999997,-117.59,10.89,2.0443362378267564,0.99,1.96,5.78,1.5,0.26,1.6337821236053647,0.0,4.83286448539551,0.0,7.356911119468468,1.69,1.67,0.81,0.65,12,2000,0.05567324196931622,27.60207612456747,159.54
2001-03-31,2362.42,35.12,1.27,0.0,451.78,73.28,84.97,5.7,2289.14,64.42,37.04,1358.41,374.35,1921.88,1493.33,4717.38,35.27,1368.21,0.0,2400.32,663.34,3063.66,275.88,1653.72,-64.69,-43.63,51.12,11.69,1.1225,0.95,1.85,1.27,0.0,0.0,2.96,6.48,8.48,9.32,12.64,1.49,1.49,0.8,0.64,3,2001,0.0,27.65354330708661,35.12
2001-06-30,2671.1099999999997,61.38,2.226217616580311,2.0,506.96000000000004,131.32,142.59,6.0,2539.78,91.35000000000001,1.5,1540.41,350.18,1990.93,1485.37,4920.66,83.76,1444.14,0.0,2458.5,666.36,3124.86,275.88,1795.8,67.24,-54.919999999999995,-47.86,11.270000000000001,0.6721041055718474,0.92,1.74,3.5,2.0,0.57,4.986727461139896,11.11836683937824,13.662615544041453,15.392704663212434,21.1427067357513,1.95,1.92,0.81,0.67,6,2001,55.142857142857146,27.571428571428573,96.5
2001-09-30,2497.1800000000003,30.0,1.0885375494071146,-0.0008356860530775264,482.06999999999994,64.72999999999999,75.79000000000002,6.1,2432.46,54.42999999999998,4.96,1463.96,297.63,1885.11,1478.97,4918.69,14.51,1372.95,0.0,2364.5,671.27,3035.77,275.88,1882.92,100.55,-56.000000000000014,-41.11,11.060000000000002,1.4020416666666666,0.89,1.61,4.59,2.0,0.44,2.4379446640316207,5.426086956521739,6.374703557312253,7.21897233201581,9.998418972332015,1.7,1.68,0.8,0.67,9,2001,-0.023031434796145334,27.5599128540305,126.5
2001-12-31,2632.5899999999992,67.19,2.4351995456657543,0.002265597239980405,447.34000000000015,94.09000000000003,105.02999999999997,6.75,2538.499999999999,32.59,95.84,1490.24,307.94,1997.08,774.93,5221.93,0.28,1539.39,500.0,2987.88,171.82,3159.7,275.88,2062.23,125.78999999999999,-43.22999999999999,8.330000000000002,10.939999999999998,0.6918529543086769,0.9,1.53,7.02,2.0,0.28,5.147914709071196,10.087692704837627,13.029358252878312,14.611197273994527,22.575895503123547,1.94,1.91,0.67,0.57,12,2001,0.06251047427518586,27.591168091168093,193.69
2002-03-31,2246.58,17.77,0.64,2.0,412.02,42.84,53.35,6.0,2203.75,30.58,27.78,1417.83,332.21,1875.65,776.69,5175.94,680.0,1343.34,0.0,2936.86,188.39,3125.25,275.88,2050.69,-138.83,-107.84,178.61,10.51,2.345,0.81,1.52,0.64,2.0,3.13,1.36,3.48,3.48,3.84,7.64,0.8,0.79,0.64,0.53,3,2002,55.53125,27.765625,17.77
2002-06-30,2447.1499999999996,71.03,2.575637387387388,-0.0136331644144147,446.11,89.22999999999999,100.24000000000001,5.7,2357.91,17.800000000000004,24.39,1468.55,351.96,1959.21,787.81,5351.34,633.35,1396.3,0.0,3029.62,186.49,3216.12,275.88,2135.22,80.32000000000002,-44.81999999999999,-38.890000000000015,11.01,0.5532028720259045,0.74,1.51,3.22,2.0,0.62,5.3112522522522525,8.222842342342343,13.310126126126127,14.461963963963962,18.20543693693694,1.93,1.89,0.65,0.53,6,2002,-0.37597049689441775,27.57763975155279,88.8
2002-09-30,2443.26,26.180000000000007,0.9494746912506525,-0.00032627872630258014,440.0400000000001,42.420000000000016,53.72999999999999,5.75,2400.84,15.669999999999995,72.27,1422.06,361.52,2014.48,790.8,5547.3,630.04,1408.64,0.0,3095.9,173.53,3269.42,275.88,2277.88,128.19,-59.31999999999999,-21.0,11.309999999999999,1.5152062643239108,0.7,1.44,4.17,2.0,0.48,1.8852878761523748,3.032854409462516,4.5993738041398515,5.03654200730562,6.484661680292226,1.64,1.61,0.65,0.53,9,2002,-0.008996529484477378,27.573141486810552,114.98
2002-12-31,2673.4699999999993,24.049999999999997,0.8718406099403005,0.0008827865421104435,443.3499999999999,37.53999999999999,49.110000000000014,6.3,2635.9400000000005,21.200000000000003,27.18,1600.59,354.08,2119.92,787.66,5706.54,636.26,1569.78,0.0,3196.41,172.7,3369.1,275.88,2337.44,-70.28,24.689999999999998,0.5100000000000051,11.57,1.8065228690228692,0.74,1.44,5.04,2.0,0.4,1.688326260519312,2.6847155290225126,4.117025102495864,4.3730417895418245,5.8468675825361425,1.44,1.42,0.66,0.55,12,2002,0.02435194701381249,27.58531746031746,139.03
2003-03-31,2175.58,18.47,0.67,2.0,407.43,33.6,45.5,5.95,2141.98,12.39,38.17,1192.44,342.59,1757.3,796.99,5419.26,655.07,1261.46,0.0,2817.52,191.07,3008.59,275.88,2410.67,14.0,-64.74,61.73,11.9,2.22,0.68,1.25,0.67,2.0,2.99,1.36,2.52,3.08,3.32,5.16,0.86,0.85,0.62,0.5,3,2003,55.13432835820895,27.567164179104473,18.47
2003-06-30,2498.3999999999996,92.28,0.3332911963882619,1.8008692429500353,454.54,108.92000000000002,121.5,6.95,2389.48,27.08,89.74,1284.68,336.26,1872.33,796.8,5762.48,605.0,1381.65,0.0,2902.5,189.3,3091.8,275.88,2670.68,144.48,-4.230000000000004,-88.67,12.58,5.214659189423493,0.72,1.16,0.4,2.0,5.0,6.399190970654628,8.532254627539503,13.831584650112868,15.364724153498873,16.597901580135442,2.42,2.37,0.65,0.53,6,2003,498.61567164179104,276.875,110.75
2003-09-30,2401.790000000001,6.719999999999999,0.024598620924491353,-0.027006895377543094,454.5799999999999,17.5,30.5,10.4,2384.29,6.329999999999998,46.9,1300.7,383.94,1912.36,791.68,6102.34,580.0,1385.69,0.0,2890.55,204.4,3094.95,275.88,3007.39,60.59,-26.320000000000007,-77.11,12.999999999999996,105.71425967261908,0.95,1.03,0.43,2.0,4.65,0.43934281093045024,0.6292670469055928,0.8947033285094065,1.0182684940835958,1.1395454158508553,1.69,1.66,0.66,0.53,9,2003,-7.377906976744157,273.1860465116279,117.47
2003-12-31,2463.949999999999,19.05000000000001,0.06837459712862587,0.03895161455174822,459.03999999999996,33.359999999999985,46.75999999999999,12.5,2430.59,5.600000000000001,89.9,1309.38,394.48,2032.0,793.98,6386.41,640.0,1423.36,529.41,3005.31,162.69,3168.0,275.88,3218.41,47.170000000000016,-29.179999999999993,25.019999999999996,13.400000000000006,45.70374278215221,1.07,0.98,0.49,2.0,4.08,1.194462349838852,1.786111924992676,2.366598300615296,2.7405654849106376,3.192675065924408,1.45,1.43,0.68,0.54,12,2003,10.852396772662587,278.6122448979592,136.52
