,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2002-03-31,93.97,18.45,0.31,0.0,56.62,39.43,54.18,,54.54,39.42,2.09,23.14,0.0,33.61,9.15,1652.41,28.01,41.72,116.61,219.48,767.78,987.27,300.0,665.14,52.01,-38.55,-11.96,14.75,0.0,0.0,1.48,0.31,0.0,0.0,4.48,0.0,11.08,0.0,11.0,19.64,19.63,0.15,0.15,3,2002,0.0,59.516129032258064,18.45
2002-06-30,82.15,24.94,0.40235077206729664,0.0,58.42000000000001,43.79,58.080000000000005,3.24,38.37,41.59,7.62,16.76,0.0,154.24,8.67,2034.38,15.86,237.28,92.77,363.81,674.28,1038.09,375.0,996.29,228.07999999999998,-395.47999999999996,172.93,14.29,2.013790096230954,1.22,1.04,0.7,0.0,0.0,4.897183682876238,0.0,10.024282092648077,0.0,11.449753399400786,24.95,24.64,0.42,0.42,6,2002,0.0,61.98571428571429,43.39
2002-09-30,96.99000000000001,30.689999999999998,0.45985286177105833,0.0,72.07000000000001,56.46000000000001,72.02,2.34,40.52000000000001,55.05,130.58,20.52,0.0,182.56,455.52,2105.91,189.33,103.49,74.37,388.29,690.4,1078.69,375.0,1027.23,-81.50999999999996,40.599999999999966,163.86999999999998,15.560000000000002,1.273287715868361,0.85,1.05,1.11,0.0,0.0,5.8330885529157666,0.0,11.947888768898487,0.0,13.472446004319655,27.49,27.12,0.47,0.47,9,2002,0.0,66.73873873873873,74.08
2002-12-31,116.39999999999998,37.739999999999995,0.5501359327490609,0.0,76.90999999999997,64.78,80.51000000000002,2.9,51.620000000000005,59.91999999999999,44.67,18.58,0.0,132.64,9.02,2180.83,267.77,52.7,132.05,487.42,621.89,1109.3,375.0,1071.52,17.67999999999998,-174.76000000000005,71.16000000000003,15.729999999999997,1.318492315845257,1.01,1.04,1.63,0.0,0.0,6.925637631908423,0.0,14.094280093006615,0.0,16.29482382400286,29.35,28.71,0.27,0.27,12,2002,0.0,68.60122699386503,111.82
2003-03-31,144.14,52.99,0.7,1.0,94.37,78.58,95.28,2.58,65.56,77.83,28.06,46.72,0.0,229.04,9.04,2332.25,254.19,65.87,117.8,491.43,715.94,1207.37,380.59,1124.88,65.14,-143.56,61.82,16.7,0.9224999999999999,0.87,1.07,0.7,1.0,1.43,9.08,15.759999999999998,18.84,23.68,17.08,36.95,36.76,0.47,0.47,3,2003,75.7,75.7,52.99
2003-06-30,119.79000000000002,45.809999999999995,0.6027631578947368,0.003947368421052594,87.41,69.41000000000001,87.16,3.76,50.379999999999995,68.01,49.39,45.78,0.0,328.16,9.97,2613.56,461.84,127.59,144.62,766.35,730.3,1496.66,380.62,1116.9,102.97000000000001,-267.98,186.33,17.750000000000004,1.55824055882995,1.28,1.34,1.3,1.0,0.77,7.0105991902834,11.814157894736843,16.413704453441294,17.341032388663965,14.855793522267204,37.74,37.43,0.43,0.43,6,2003,0.29999999999999716,76.0,98.8
2003-09-30,215.61,67.61999999999999,0.8735909145535391,1.0181468573488763,118.61999999999998,99.94,118.85000000000002,7.35,115.67000000000002,98.13999999999999,62.83,70.64,0.0,366.42,10.32,3097.78,504.16,407.96,176.57,1118.74,845.13,1963.86,401.6,1133.91,-4.180000000000007,-119.01999999999992,136.64000000000001,18.909999999999997,2.10424578527063,2.6,1.73,2.15,2.0,0.93,8.727782718423265,15.488970075712052,23.859190001201778,25.029395505347914,20.36482634298762,34.99,34.7,0.33,0.33,9,2003,78.8093023255814,77.4046511627907,166.42
2003-12-31,145.53000000000003,41.160000000000025,0.10310819924848258,1.6121936737195186,92.57000000000005,69.15999999999997,88.41999999999996,9.9,76.37,65.35,35.53,31.17,0.0,156.8,12.41,3059.08,455.66,161.82,250.81,918.09,939.34,1857.43,431.78,1201.64,153.25,-316.22,135.67000000000002,19.260000000000005,24.005850340136043,3.56,1.55,0.52,2.0,3.85,5.385420560747666,9.59699393005107,13.6975277001638,14.482736294440706,11.746403314384821,33.63,33.21,0.17,0.17,12,2003,643.575313059034,399.1923076923077,207.58
2004-03-31,227.05,71.94,0.15,0.2,135.27,104.96,126.88,8.35,122.09,105.34,85.86,64.02,0.0,179.17,12.16,3523.64,34.92,367.67,232.12,729.81,1055.56,1785.38,510.92,1738.26,328.74,-408.39,129.98,21.92,13.9175,2.45,1.03,0.15,0.2,1.33,8.16,14.32,16.56,20.120000000000005,15.04,31.68,31.68,0.25,0.25,3,2004,95.92000000000002,479.6,71.94
2004-06-30,251.26999999999998,91.44,0.184693352919574,0.006257803892765296,143.29999999999998,124.83,143.99,7.45,126.44,120.24000000000001,101.81,33.51,0.0,172.08,12.17,3790.35,241.81,433.97,279.73,1029.59,1032.46,2062.04,512.37,1728.31,185.34000000000003,-292.5,123.11000000000001,19.159999999999997,10.086177821522309,2.21,1.19,0.33,0.2,0.61,9.648828497980169,16.073918472273228,21.155784061696657,25.70035989717224,18.626044803525524,34.5,34.16,0.17,0.17,6,2004,3.0981818181818,495.09090909090907,163.38
