,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2009-12-31,,,,,,,,10.3,,,27.22,0.0,1562.26,19.38,,,0.0,12,2009,,,,,,,,,,,,
2010-03-31,41.12,,,,,,,10.5,8.19,-1.79,40.68,0.0,1595.15,19.35,13.46,0.0,0.0,3,2010,,,,,,,,,,,,
2010-06-30,41.04,,,,,,,10.8,5.42,-2.2199999999999998,51.87,0.0,1593.85,22.28,51.050000000000004,-39.86,0.26,6,2010,,,,,,,,,,,,
2010-09-30,41.74000000000001,,,,,,,10.9,7.699999999999999,-2.37,57.48,0.0,1624.33,23.58,37.8,-32.19,0.47,9,2010,,,,,,,,,,,,
2010-12-31,42.400000000000006,,,,,,,11.4,8.370000000000001,-2.670000000000001,24.07,0.14,1628.54,26.18,-1.210000000000008,-32.19,0.68,12,2010,,,,,,,,,,,,
2011-03-31,42.5,,,,,,,11.7,5.84,-0.9,69.78,12.08,1630.04,22.86,77.52,-31.81,0.21,3,2011,,,,,,,,,,,,
2011-06-30,43.36,,,,,,,11.8,9.870000000000001,-0.7799999999999999,75.38,12.18,1635.64,27.17,37.8,-32.19,0.42,6,2011,,,,,,,,,,,,
2011-09-30,42.14999999999999,,,,,,,11.5,9.189999999999998,-3.41,65.52,35.81,2617.86,76.64,-912.71,902.85,0.8,9,2011,,,,,,,,,,,,
2011-12-31,42.110000000000014,,,,,,,11.0,8.800000000000004,-3.1799999999999997,60.24,0.0,2620.58,54.86,20.769999999999982,-26.06000000000006,0.8,12,2011,,,,,,,,,,,,
2012-03-31,70.22,,,,,,,11.1,7.88,-7.44,63.11,0.0,2645.69,60.74,40.88,-38.01,0.16,3,2012,,,,,,,,,,,,
2012-06-30,58.68000000000001,,,,,,,11.4,10.670000000000002,-4.7700000000000005,106.56,0.0,2641.0,57.71,94.52000000000001,-51.07,0.38,6,2012,,,,,,,,,,,,
2012-09-30,55.91999999999999,,,,,,,11.8,10.95,-8.629999999999999,23.96,0.0,2639.06,62.7,-35.09,-47.500000000000014,0.58,9,2012,,,,,,,,,,,,
2012-12-31,75.35000000000002,,,,,,,11.8,11.82,-5.289999999999999,112.49,0.0,4682.13,105.65,-1854.53,1943.05,0.82,12,2012,,,,,,,,,,,,
2013-03-31,141.97,,,,,,,12.7,24.71,-7.32,44.44,0.0,4764.16,110.98,-27.5,-40.56,0.1,3,2013,,,,,,,,,,,,
2013-06-30,112.6,,,,,,,12.1,23.79,-3.469999999999999,110.94,0.0,4777.7,115.22,153.41,-86.89999999999999,0.31,6,2013,,,,,,,,,,,,
2013-09-30,107.94999999999999,,,,,,,11.8,21.97,-13.71,31.6,0.0,4791.74,117.58,1.3599999999999994,-80.7,0.5,9,2013,,,,,,,,,,,,
2013-12-31,107.0,,,,,,,11.0,17.049999999999997,-6.620000000000001,33.91,0.0,4805.36,120.62,85.08,-82.77000000000001,0.7,12,2013,,,,,,,,,,,,
2014-03-31,108.58,,,,,,,11.9,21.52,-11.94,4.49,0.0,4801.59,123.32,64.11,-93.53,0.23,3,2014,,,,,,,,,,,,
