,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-10-31,,,,,,,,,,,8.26,26.48,15.34,51.53,477.36,534.52,16.16,40.05,11.5,159.54,194.17,353.7,150.0,180.82,,,,,,0.0,1.96,0.08,0.0,0.0,,,,,,7.01,6.88,0.32,0.23,10,2005,,145.875,11.67
2006-01-31,179.29,7.729999999999999,0.047814432989690715,0.0,45.400000000000006,15.110000000000003,31.57,1.88,164.18,14.579999999999998,7.71,29.24,20.31,58.34,482.96,545.65,13.69,48.82,0.0,159.3,147.27,306.57,180.0,239.08,23.86,-16.900000000000006,-7.520000000000003,16.46,9.831759379042692,1.42,1.28,0.12,0.0,0.0,5.673979381443298,0.0,12.92583505154639,0.0,14.83841237113402,5.62,5.56,0.37,0.24,1,2006,0.0,161.66666666666666,19.4
2006-04-30,173.47000000000003,10.650000000000002,0.06379367720465891,0.0,48.24000000000001,19.449999999999996,35.83,3.06,154.01999999999998,16.93,11.78,25.7,17.9,57.01,476.28,536.13,18.73,39.02,0.0,145.66,140.74,286.4,180.0,249.74,20.869999999999997,-17.340000000000003,0.5400000000000027,16.380000000000003,11.991784037558684,2.21,1.15,0.18,0.0,0.0,7.938768718801997,0.0,17.05417637271215,0.0,20.116272878535774,5.82,5.75,0.39,0.27,4,2006,0.0,166.94444444444446,30.05
2006-07-31,205.27999999999997,23.69,0.14106438407145516,0.0,63.809999999999974,34.830000000000005,51.16999999999999,3.26,170.44,32.87,15.46,33.52,15.29,66.48,466.24,536.29,11.25,49.32,0.0,158.17,104.7,262.87,180.0,273.42,57.69,-12.700000000000003,-41.3,16.339999999999996,5.778921485859012,2.15,0.96,0.32,0.0,0.0,17.668314104949758,0.0,34.64893933755117,0.0,42.0724525493115,7.47,7.39,0.42,0.32,7,2006,0.0,167.9375,53.74
2006-10-31,-503.90999999999997,-19.86,-0.1113754427390791,0.0,-126.35999999999999,-45.43000000000001,-93.82,6.4,-458.46999999999997,-39.699999999999996,22.43,33.48,17.74,75.63,456.95,536.36,16.14,52.37,0.0,168.38,60.68,229.05,180.0,307.3,-73.38,107.59,-28.439999999999998,-48.39,-14.364028197381673,3.75,0.75,0.19,0.0,0.0,-14.818795749704838,-19.6255253837072,-25.862550177095628,-32.545076741440376,-28.535560802833526,15.3,15.14,0.45,0.34,10,2006,0.0,178.31578947368422,33.88
2007-01-31,218.01000000000002,19.58,0.10987654320987653,0.18,65.02000000000001,27.60000000000001,44.800000000000004,8.2,190.42000000000002,29.509999999999998,9.99,45.27,24.86,81.43,445.26,539.76,13.83,54.45,0.0,184.58,60.68,245.27,180.0,294.49,36.39,-12.55,-36.28,17.200000000000003,18.65502808988764,5.01,0.83,0.3,0.18,0.6,14.503703703703703,19.543374485596708,26.590123456790117,29.359012345679005,29.85711934156378,12.22,12.1,0.44,0.31,1,2007,32.076,178.20000000000002,53.46
2007-04-30,214.88,24.050000000000004,0.1334214940007741,0.0020528964004644834,62.5,32.00999999999999,48.50999999999999,9.1,182.86,29.189999999999998,22.99,35.23,25.53,85.07,444.63,542.36,16.44,54.11,0.0,183.15,40.68,223.83,180.0,318.53,28.22,-13.240000000000002,-1.9899999999999949,16.5,17.04897713097713,5.14,0.7,0.43,0.18,0.42,17.73575022577732,24.028280221906854,30.196697200361243,33.85803122177784,36.079654238162824,11.93,11.8,0.46,0.33,4,2007,0.3700465116279119,180.2558139534884,77.51
2007-07-31,229.99,28.159999999999997,0.1572291094918141,-0.0011599076545894304,71.37999999999997,36.420000000000016,54.16,8.0,193.56999999999994,34.14999999999999,6.87,39.39,18.73,66.6,438.6,519.3,15.81,48.53,0.0,167.04,5.57,172.61,180.0,346.69,46.13000000000001,-16.659999999999997,-45.27000000000001,17.739999999999995,12.720926846590912,4.15,0.5,0.59,0.18,0.31,21.692287309548593,28.439814516892206,32.49046276142708,36.32791899309169,42.617083372764256,12.04,11.92,0.4,0.29,7,2007,-0.20774142688214425,179.10169491525426,105.67
2007-10-31,-647.38,-76.24000000000001,-0.41448861705742446,-0.17526771367853627,-204.45,-103.17000000000002,-152.45999999999998,8.25,-544.21,-100.32999999999998,9.82,39.06,18.35,69.58,438.99,521.13,5.47,55.75,0.0,124.47,20.54,145.01,180.0,376.12,-105.67000000000002,31.22,85.68,-49.28999999999999,-4.975769937040923,3.95,0.39,0.16,0.0,0.0,-58.54651715936121,-73.77897383622155,-81.03252463472649,-89.2186748216106,-98.33742439687396,12.44,12.3,0.56,0.41,10,2007,-32.23830508474577,183.9375,29.43
2008-01-31,244.32000000000002,22.619999999999997,0.12602881844380404,0.35,62.499999999999986,29.010000000000005,47.349999999999994,6.2,215.31,26.22,12.63,45.62,23.29,83.41,436.5,532.91,6.9,60.34,0.0,141.72,55.45,197.17,180.0,335.74,42.61000000000001,-14.049999999999997,-25.75,18.34,12.299171087533157,3.32,0.59,0.29,0.35,1.21,16.983469740634003,21.60742363112392,26.944092219020174,28.717187319884722,29.621118155619595,10.89,10.76,0.59,0.42,1,2008,62.818965517241374,179.48275862068965,52.05
2008-04-30,255.82999999999998,36.36,0.201520190023753,0.001834712097632878,79.53,46.099999999999994,64.08,6.15,209.73000000000002,43.11,17.4,46.43,20.46,86.16,434.52,534.28,13.72,55.38,0.0,126.73,35.44,162.17,180.0,372.1,37.06999999999999,-18.43,-13.870000000000005,17.979999999999997,7.628888201320132,2.98,0.44,0.49,0.35,0.71,27.225788937902955,34.464065151001016,39.08669155072956,42.11360705802511,45.51888700373261,12.09,11.96,0.68,0.52,4,2008,0.3310344827586178,180.42857142857142,88.41
2008-07-31,277.47,40.110000000000014,0.2215849673202615,0.0011321195144724952,90.47,50.510000000000005,69.11000000000001,6.25,226.97000000000003,47.58999999999999,29.59,52.7,18.82,102.58,434.23,549.06,0.0,68.57,0.0,136.4,0.45,136.85,180.0,412.21,78.58000000000001,-17.49000000000001,-48.889999999999986,18.60000000000001,7.0492146596858625,2.73,0.33,0.71,0.35,0.49,29.22424836601308,38.16254901960785,38.92405228758171,42.282156862745104,49.39784313725491,12.78,12.64,0.75,0.61,7,2008,0.2049295774647959,181.01408450704227,128.52
2008-10-31,-716.33,-71.08000000000001,-0.39598885793871874,-0.35295225391345286,-196.88,-91.46000000000001,-146.38,5.85,-624.8800000000001,-83.43999999999998,100.55,57.32,20.22,180.26,430.73,623.69,0.0,63.91,0.0,153.59,0.45,154.04,180.0,469.65,-134.07,52.400000000000006,129.89999999999998,-54.92,-3.693033202025886,2.24,0.33,0.32,0.0,0.0,-45.588217270195,-62.12075208913651,-60.53679665738163,-67.21910863509751,-75.63387186629527,19.32,19.11,1.17,1.04,10,2008,-63.35492957746479,179.5,57.44
2009-01-31,284.93000000000006,38.17,0.21158979186277588,0.41,86.84,47.58000000000001,65.16000000000001,6.2,237.35000000000002,44.11,61.15,52.88,22.65,138.69,423.42,574.89,1.04,65.3,0.0,140.36,0.51,140.87,180.0,434.02,45.32000000000001,-11.96,-72.77000000000001,17.580000000000002,7.326676709457689,2.57,0.32,0.53,0.41,0.77,26.556515008890283,34.42925217027507,35.17979709235436,39.66709758393473,43.88292438029495,16.52,16.33,0.99,0.83,1,2009,73.96245283018867,180.39622641509433,95.61
2009-04-30,269.15,37.86,0.2099078444594291,-7.129013515861045e-05,83.85,47.18000000000001,64.82,7.6,221.96999999999997,44.31999999999999,91.72,48.16,19.94,161.91,417.07,590.91,0.0,57.86,0.0,118.52,0.51,119.03,180.0,471.88,40.19,-8.579999999999998,-1.0499999999999972,17.64,9.051353011093502,2.9,0.25,0.74,0.41,0.55,25.631449763991906,33.59660148347943,32.0875342773657,35.88856821757698,40.007300516970105,15.8,15.62,1.37,1.2,4,2009,-0.012858235594080725,180.36486486486487,133.47
2009-07-31,301.05000000000007,43.03,0.2389201133144476,-0.000598315596049298,99.44999999999999,53.41999999999999,70.91999999999999,8.15,247.63,51.349999999999994,138.88,56.68,27.79,225.48,413.86,672.11,0.0,75.69,0.0,156.36,0.83,157.19,180.0,514.91,79.06,-32.02,0.14000000000000057,17.5,8.531722054380664,2.85,0.31,0.98,0.41,0.42,25.608335410764873,35.135884419263455,33.42931218130312,37.125260056657226,41.6013552407932,15.43,15.27,1.44,1.26,7,2009,-0.1077578599007154,180.10204081632654,176.5
2009-10-31,-872.74,-135.5,-0.7601219512195122,-0.414234693877551,-282.95,-168.73,-222.20999999999998,8.7,-704.01,-154.70999999999998,174.32,54.44,25.25,256.43,411.15,698.71,0.0,58.71,0.0,141.98,0.82,142.79,180.0,555.91,-203.07000000000002,55.510000000000005,73.7,-53.480000000000004,-2.861678966789668,2.82,0.26,0.23,0.0,0.0,-77.59853658536586,-102.45121951219512,-97.56,-105.75609756097562,-121.75170731707318,14.63,14.49,1.81,1.63,10,2009,-73.84183673469387,178.26086956521738,41.0
2010-01-31,287.8999999999999,31.260000000000005,0.17304179352338778,0.43,85.61000000000001,39.13,55.61,7.3,248.77000000000004,40.75,143.06,55.66,25.56,226.45,404.74,661.9,0.0,65.42,0.0,151.87,0.24,152.12,180.0,509.78,59.35,-13.2,-77.4,16.480000000000004,10.546585092770313,2.58,0.3,0.4,0.43,1.08,18.896163852753947,25.29871021311929,24.520022142264047,26.49269858843067,30.663005812344313,12.79,12.66,1.49,1.32,1,2010,77.6795,180.65,72.26
2010-04-30,277.07000000000005,31.22999999999999,0.17200792347086669,0.00215851773118177,83.44,39.28,58.47,7.05,237.79000000000002,42.459999999999994,162.18,54.36,28.12,246.18,396.96,675.53,0.0,69.94,0.0,134.28,0.24,134.53,180.0,541.01,33.7,-14.579999999999998,0.0,19.189999999999998,10.24792907460775,2.35,0.25,0.57,0.43,0.75,18.492360614552126,24.72085805391825,23.091309305246874,24.660504396560047,28.921472606048887,12.33,12.21,1.83,1.62,4,2010,0.39190350877193225,181.56140350877195,103.49
2010-07-31,297.81000000000006,33.81000000000002,0.1871493080844866,-0.0021505219713523305,94.52999999999997,41.95999999999998,60.16,7.15,255.8499999999999,43.91,213.28,59.02,25.99,303.88,396.6,732.62,0.0,69.51,0.0,157.58,0.22,157.8,180.0,574.81,64.44,-13.340000000000003,0.0,18.200000000000003,9.55333481218574,2.24,0.27,0.76,0.43,0.57,18.458831755280414,24.073310997815017,23.53156300072834,24.82190823015296,29.402141296431186,12.11,11.98,1.93,1.76,7,2010,-0.38850877192983546,180.6578947368421,137.3
