,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2006-03-31,314.74,23.73,0.07,0.0,80.13,38.74,64.37,,276.0,33.51,40.82,188.68,775.66,1016.43,481.25,1524.04,249.28,110.08,26.34,459.37,64.52,523.89,332.0,1000.15,43.88,-22.0,-1.11,25.63,0.0,0.0,0.52,0.07,0.0,0.0,6.239999999999999,0.0,9.48,0.0,14.56,7.78,7.54,0.0,2.21,0.52,3,2006,0.0,339.0,23.73
2006-06-30,307.64,25.59,0.07263990267639903,0.0,73.06,38.74999999999999,62.69999999999999,2.58,268.89,31.140000000000008,40.95,172.11,768.55,1025.85,465.93,1517.02,98.82,62.82,24.92,269.17,60.66,329.83,400.0,1187.18,3.75,-7.98,4.37,23.95,8.88010550996483,0.87,0.28,0.14,0.0,0.0,6.745133819951338,0.0,8.613017031630172,0.0,12.88839416058394,8.16,7.92,0.0,3.81,0.96,6,2006,0.0,352.2857142857143,49.32
2006-09-30,306.1,17.630000000000003,0.04739955190440628,0.0,64.18,24.97,48.16,2.38,281.13,18.129999999999995,73.3,167.45,740.76,989.57,489.85,1503.6,77.73,72.99,25.43,242.34,56.44,298.78,400.0,1204.81,101.1,-43.44,-25.310000000000002,23.189999999999998,12.55075155984118,0.79,0.25,0.18,0.0,0.0,4.687289021657954,0.0,5.856477968633309,0.0,8.552985810306199,7.42,7.21,0.0,4.08,1.03,9,2006,0.0,371.94444444444446,66.95
2006-12-31,322.1399999999999,23.53,0.06241379310344827,0.0,64.60000000000002,32.22000000000001,54.120000000000005,2.24,289.9200000000001,20.25,53.23,212.6,716.2,1004.71,492.8,1520.57,60.34,91.32,23.33,240.24,51.98,292.22,400.0,1228.34,30.350000000000023,-26.700000000000003,-23.720000000000002,21.900000000000006,8.969171270718231,0.73,0.24,0.24,0.0,0.0,6.189367816091954,0.0,7.666494252873564,0.0,10.943218390804597,7.48,7.23,0.0,4.18,1.2,12,2006,0.0,377.00000000000006,90.48
2007-03-31,349.05,24.55,0.06,0.11,80.08,37.64,58.18,2.08,311.41,30.4,59.09,271.24,710.95,1072.28,485.62,1581.5,45.61,136.13,20.82,279.1,49.5,328.6,400.0,1252.9,38.96,-12.06,-21.05,20.54,8.6675,0.66,0.26,0.06,0.11,1.83,6.2,9.68,7.839999999999999,8.72,11.56,7.22,7.03,0.0,3.84,1.29,3,2007,45.00833333333333,409.1666666666667,24.55
2007-06-30,378.22999999999996,43.41,0.1085888758092996,-0.0025870610162841002,104.89,62.209999999999994,82.22,2.24,316.0199999999999,53.15,82.37,275.95,731.71,1102.5,484.85,1610.55,55.57,145.05,25.25,306.85,51.39,358.24,400.0,1252.31,73.46000000000001,-15.499999999999998,-34.67,20.009999999999998,5.1584473623589036,0.72,0.29,0.17,0.11,0.65,10.782236609770452,16.32665685697469,13.873825779870511,14.231530311948207,19.571547969393762,9.57,9.34,0.0,3.59,1.21,6,2007,-1.0342156862745142,399.76470588235287,67.96
2007-09-30,321.8700000000001,39.82000000000001,0.09975320096492858,0.04984030650671849,93.91,56.96000000000001,76.66,3.24,264.9100000000001,45.030000000000015,56.24,239.15,724.59,1047.47,484.54,1556.73,40.92,86.08,21.54,232.38,52.23,284.61,400.0,1272.13,29.42,-14.370000000000001,-41.18000000000001,19.700000000000003,8.12004018081366,1.02,0.22,0.27,0.16,0.59,10.226550380404529,15.147708294674338,12.517179439599188,12.85707923547968,17.497450361848212,10.56,10.27,0.0,4.51,1.39,9,2007,19.89551198257081,399.18518518518516,107.78
2007-12-31,305.65999999999985,27.27000000000001,0.06865457238059981,-0.0007972904411260499,68.94,37.03,56.339999999999975,3.88,268.63,21.25999999999999,51.69,253.59,697.76,1056.82,498.36,1580.29,43.2,76.48,14.56,231.91,48.98,280.89,400.0,1299.4,22.319999999999993,-24.380000000000003,-2.5,19.310000000000002,14.126517235056836,1.19,0.22,0.34,0.16,0.47,6.905842280636803,10.096260644205852,8.392011847463904,8.634322102924845,11.614738245094413,10.3,9.97,0.0,4.56,1.55,12,2007,-0.3166884531590384,397.20588235294116,135.05
2008-03-31,319.26,25.56,0.06,0.0,75.97,37.34,56.74,3.72,281.92,25.76,42.02,317.82,690.68,1088.6,531.06,1644.11,47.84,111.52,13.27,275.94,43.21,319.15,400.0,1324.96,39.16,-48.85,0.03,19.4,15.500000000000002,1.12,0.24,0.06,0.0,0.0,6.2,9.28,7.720000000000001,7.920000000000001,10.92,8.31,8.01,0.0,3.95,1.44,3,2008,0.0,426.0,25.56
2008-06-30,387.36,39.41,0.09705402493458519,0.15,94.28999999999999,57.209999999999994,76.63,3.76,330.15000000000003,36.980000000000004,58.38,318.41,667.58,1072.73,527.08,1624.53,47.34,123.26,13.28,280.2,39.95,320.16,400.0,1304.37,105.18,-23.32,-65.51,19.42,9.685327328089318,1.15,0.25,0.16,0.15,0.94,9.70540249345852,14.194151146683083,12.083226104355855,12.32586116669232,17.057244882253347,9.63,9.19,0.0,3.83,1.45,6,2008,60.909375,406.0625,64.97
2008-09-30,406.11,36.370000000000005,0.08972271561081509,0.09974004588513914,109.75,53.36999999999999,73.57,3.66,352.7299999999999,46.52,205.46,366.7,719.76,1361.92,560.55,1948.03,28.21,179.02,16.34,338.43,37.21,375.64,468.75,1572.39,-22.85000000000001,-38.47,208.39999999999998,20.200000000000003,10.198086334891393,1.09,0.24,0.25,0.25,1.0,7.464929938819815,12.116155516084467,9.245028616538388,10.235567396881786,13.192828103414248,9.44,9.11,0.0,4.02,1.9,9,2008,40.430625000000006,405.36,101.34
2008-12-31,406.96000000000004,42.03999999999999,0.09969033337982981,0.009690333379829805,79.07,56.71000000000001,78.47000000000003,2.86,350.26,33.80999999999999,79.69,371.16,717.16,1241.45,593.92,1860.38,24.1,98.43,0.34,212.07,33.91,245.98,468.75,1614.4,-33.05,-74.38000000000001,-18.33999999999999,21.759999999999998,7.1707052806850635,0.83,0.15,0.34,0.25,0.74,9.042499651276328,13.9449183986609,10.414707769563398,11.54062212302971,14.554788673455153,9.83,9.43,0.0,5.85,2.47,12,2008,4.0864705882352865,421.70588235294116,143.38
2009-03-31,368.03,39.41,0.08,0.0,104.2,55.79,76.95,2.86,312.24,54.92,85.41,423.95,724.08,1295.33,622.85,1942.28,3.0,126.4,0.35,255.46,33.02,288.47,468.75,1653.81,68.82,-41.88,-21.22,21.16,8.9375,0.81,0.17,0.08,0.0,0.0,8.12,12.44,9.52,10.6,13.24,10.95,10.71,0.0,5.07,2.24,3,2009,0.0,492.62499999999994,39.41
2009-06-30,347.0,35.09,0.07536107382550336,0.15,77.29,49.12,70.77999999999999,3.2,297.88,36.28999999999999,108.51,369.81,695.04,1194.18,633.62,1852.35,0.46,101.6,0.36,200.17,33.59,233.76,468.75,1618.59,130.32,-34.18999999999999,-73.03,21.66,10.61555998860074,0.93,0.14,0.16,0.15,0.94,7.573787919463087,11.360681879194633,8.666523489932885,9.608536912751678,11.963570469798658,10.84,10.42,807.0,5.97,2.49,6,2009,69.84375,465.625,74.5
2009-09-30,288.96000000000004,23.019999999999996,0.049571369975389655,0.0995981593519278,67.38,31.52000000000001,53.06,3.34,257.43999999999994,26.960000000000008,64.99,354.14,677.53,1143.52,638.61,1805.63,0.58,88.72,1.14,179.45,31.45,210.9,468.75,1594.73,21.330000000000013,-17.980000000000004,-46.860000000000014,21.54,16.839357080799306,0.98,0.13,0.21,0.25,1.19,5.098769483182936,6.864454470877766,5.778605414273995,5.816374077112387,7.921977030352747,10.07,9.71,852.69,6.37,2.6,9,2009,46.25148809523809,464.38095238095235,97.52
2009-12-31,343.8799999999999,33.10000000000001,0.0709539121114684,0.001135609656509994,60.89999999999998,39.50999999999999,60.609999999999985,3.28,304.3700000000001,39.519999999999996,124.6,251.24,687.07,1087.44,676.77,1867.12,5.57,94.57,1.14,207.98,31.31,239.28,468.75,1627.83,162.1,-107.01,4.510000000000019,21.099999999999994,11.552569486404831,0.94,0.15,0.28,0.25,0.89,7.09539121114684,9.568641861889452,8.129291073342522,8.169836165977648,10.744449548308072,10.02,9.69,628.36,5.23,1.93,12,2009,0.5297619047619122,466.5,130.62
