,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
1999-12-31,,,,,,,,8.3,,,313.44,532.64,619.36,1538.84,259.4,5018.23,8.16,46.17,408.62,6.82,415.44,201.6,4602.78,,,,,,0.36,0.09,10.18,0.0,0.0,,,,,,22.91,19.48,3.77,2.25,12,1999,,20.155206286836936,205.18
2000-03-31,1987.48,348.61,17.29,5.0,349.08,426.51,476.13,7.35,1560.97,241.4,182.28,667.95,585.47,1494.89,238.34,4973.79,9.07,47.53,238.28,8.27,246.54,201.6,4727.24,45.34,-104.26,-46.82,49.62,0.1075,0.31,0.05,17.29,5.0,0.29,28.039999999999996,0.0,29.48,0.0,36.04,19.34,17.54,6.27,3.82,3,2000,100.81260844418739,20.16252168883748,348.61
2000-06-30,1014.8200000000002,62.00999999999999,3.0761864984657343,-0.0011028055333326345,179.84999999999997,114.46000000000004,138.95000000000005,7.1,900.3500000000001,59.98999999999998,136.53,678.98,603.91,1665.64,219.57,5065.26,1.61,49.69,258.06,9.49,267.55,201.6,4797.71,92.38,145.11,-108.23000000000002,24.490000000000002,0.5794105789388808,0.3,0.06,20.37,5.0,0.25,4.898944035848229,0.0,5.170772003312065,0.0,6.795699186595878,14.86,13.68,6.45,4.11,6,2000,-0.022230437314533447,20.15807560137457,410.62
2000-09-30,1181.37,208.63,10.349799919257165,-4.9111620724847144e-05,217.25,267.85,283.8399999999999,7.4,913.5299999999997,140.41000000000003,180.55,720.64,650.98,1843.25,214.33,5314.2,1.75,75.68,315.92,14.14,330.05,201.6,4984.15,111.25,-28.57,6.560000000000002,15.989999999999995,0.1780903992714375,0.3,0.07,30.72,5.0,0.16,15.699891804602343,0.0,16.737567056923698,0.0,21.804656600726684,16.23,14.8,5.83,3.77,9,2000,-0.0009899860395137239,20.157877604166668,619.25
2000-12-31,-3052.38,-455.26,-22.570057930361607,6.00324577956354,-574.92,-597.6400000000001,-676.1899999999999,7.5,-2454.73,-331.01,180.64,983.61,701.75,1936.44,210.83,5580.25,28.33,85.42,527.03,9.29,536.32,201.6,5043.92,-381.6,-121.51,170.22,-78.55,-0.08284870184070642,0.3,0.11,8.13,11.0,1.35,-32.64746386974815,-44.30727239465821,-36.0898835294835,-37.75557046161351,-46.41714250868955,15.91,14.5,3.67,2.34,12,2000,121.09130078605472,20.170971709717097,163.99
2001-03-31,2303.16,279.5,13.86,0.0,293.0,359.77,382.25,7.5,1943.39,171.53,273.71,375.61,660.53,1851.7,203.33,5535.9,34.9,45.94,361.7,9.49,371.19,201.6,5164.71,77.36,-111.98,-92.43,22.48,0.135,0.29,0.07,13.86,0.0,0.0,20.200000000000003,27.4,21.64,22.6,27.8,13.22,12.14,5.12,3.29,3,2001,0.0,20.165945165945168,279.5
2001-06-30,1235.8400000000001,139.58999999999997,6.92470853515951,0.0,179.95,188.76,199.35000000000002,11.1,1047.0799999999997,114.98999999999998,323.48,415.69,633.39,1944.63,209.48,5631.13,3.45,39.54,296.92,10.26,307.19,201.6,5323.95,88.23,-92.8,-30.669999999999987,10.59,0.39780374668672547,0.42,0.06,20.79,0.0,0.0,9.912425493330788,13.669554510964229,10.485321052757163,11.03157030709394,13.696200816053828,12.79,11.84,6.55,4.42,6,2001,0.0,20.15824915824916,419.09
2001-09-30,1045.6800000000003,186.79000000000002,9.264275929226912,0.0,141.87000000000006,217.46000000000004,226.0,11.0,828.21,91.90000000000003,783.59,269.74,706.74,2171.64,207.73,5593.3,6.99,32.47,229.14,9.73,238.86,201.6,5354.43,230.07000000000002,-165.38000000000002,3.0,8.54,0.3000369398790085,0.41,0.04,30.05,0.0,0.0,13.355355515943751,17.32619990757246,13.959614445104643,14.452887040338023,17.60983164983165,14.44,13.22,9.48,6.39,9,2001,0.0,20.162396006655573,605.88
2001-12-31,-3499.51,-485.73,-24.094471910112357,0.0,-532.8000000000001,-634.19,-665.9000000000001,10.9,-2865.2999999999997,-353.90000000000003,895.97,680.89,501.21,2222.56,198.32,5673.55,9.96,72.47,366.97,5.96,372.93,201.6,5300.62,-244.78000000000003,642.86,119.30999999999999,-31.71,-0.11316703724291273,0.41,0.07,5.96,0.0,0.0,-34.28206741573034,-37.8396404494382,-36.70768539325842,-37.516224719101125,-40.10355056179775,12.34,11.07,6.06,4.69,12,2001,0.0,20.159395973154364,120.15
2002-03-31,2202.94,284.39,14.11,7.000000000000001,270.8,331.9,351.65,11.8,1871.03,149.11,784.38,832.04,418.21,2176.12,191.52,5679.74,2.66,79.96,191.11,6.43,197.54,201.6,5482.2,178.23,7.56,-148.73,19.75,0.21,0.43,0.04,14.11,7.0,0.5,20.040000000000003,23.68,20.76,21.36,24.2,14.17,12.91,11.39,9.2,3,2002,141.0864635010631,20.15520907158044,284.39
2002-06-30,1143.9,245.14,12.161403131078503,0.0006960962118710191,247.45,295.46000000000004,305.02,12.7,848.45,190.65999999999997,937.97,854.62,513.22,2442.41,183.28,5990.8,37.83,81.56,235.09,4.25,239.34,201.6,5751.46,43.630000000000024,1.96,32.989999999999995,9.559999999999999,0.25921351064697723,0.45,0.04,26.27,7.0,0.27,16.369517118954544,19.998957566143563,17.054666591127983,17.70278095669745,20.18413309916341,17.55,15.82,10.39,8.21,6,2002,0.014031359995129833,20.157213551579748,529.53
2002-09-30,1161.63,295.32000000000005,14.65053573376978,0.00014275357397968902,285.36,379.51,387.4900000000001,15.8,782.1199999999999,222.62,1373.75,680.89,549.42,2673.36,188.48,6350.45,1.81,84.87,276.21,7.02,283.23,201.6,6067.22,432.15999999999997,135.26,-33.239999999999995,7.98,0.272324512393336,0.52,0.05,40.92,7.0,0.17,18.603172940534648,24.14545771958538,19.47676304782688,20.679739589016187,23.744465539188944,20.4,18.3,9.68,7.69,9,2002,0.002877572959363306,20.157624633431084,824.85
2002-12-31,-3327.6800000000003,-547.3,-27.153021077283366,-0.0005168020768220285,-540.14,-673.45,-702.5900000000001,20.0,-2654.23,-366.58,1464.59,804.71,555.96,2877.4,208.56,6698.99,11.79,86.07,508.62,5.58,514.19,201.6,6184.79,-543.55,-584.95,157.51999999999998,-29.14,-0.183833135391924,0.65,0.08,13.77,7.0,0.51,-32.654613583138165,-42.51409836065573,-35.41526932084309,-38.097049180327865,-42.51409836065573,26.62,23.51,5.66,4.56,12,2002,-0.010416733218733043,20.15613652868555,277.55
2003-03-31,2353.52,539.17,26.74,8.0,551.16,668.14,683.65,22.4,1685.39,419.07,1303.54,824.74,515.01,2835.48,253.36,6744.54,11.86,81.26,293.4,5.85,299.25,201.6,6445.29,259.06,-738.92,-152.35,15.51,0.21,0.7,0.05,26.74,8.0,0.3,31.96,43.04,33.48,36.16,41.44,25.57,22.91,9.66,7.91,3,2003,161.30740463724757,20.163425579655947,539.17
2003-06-30,1206.8400000000001,300.95000000000005,14.927137194686475,-0.0008564862568518854,326.2800000000001,389.57000000000005,399.2500000000001,29.6,817.26,263.89000000000004,540.88,782.36,607.23,3027.66,270.26,7077.18,0.74,85.76,242.3,5.27,247.57,201.6,6829.61,111.08999999999997,222.94999999999993,-11.700000000000017,9.680000000000001,0.4955019106163814,0.87,0.04,41.67,8.0,0.19,17.008410703232872,23.19849783364282,17.624553635194975,19.143417607008523,22.181145550635627,26.35,23.6,12.5,9.99,6,2003,-0.017267848190698487,20.16126709863211,840.12
2003-09-30,1242.94,139.12,6.900308810914586,5.9286952645276745e-05,187.3599999999999,194.77999999999997,205.83999999999992,42.8,1048.17,96.78999999999996,568.86,772.68,575.44,3209.23,312.78,7383.7,1.9,95.84,295.08,99.2,394.28,201.6,6989.42,243.46000000000004,-215.75,0.27000000000001023,11.059999999999999,1.5485393904542841,1.23,0.06,48.57,8.0,0.16,7.5353588497201915,10.365380499162614,7.961566929455497,8.524161594706099,10.041462358563786,22.77,20.39,10.88,8.93,9,2003,0.0011953089460234878,20.161416512250362,979.24
2003-12-31,-3566.75,-790.52,-39.207647308181436,9.00038751357934,-853.4,-1021.73,-1044.16,39.8,-2545.0200000000004,-640.79,1803.54,810.94,435.36,3370.02,306.84,7717.6,0.58,75.67,508.89,99.38,608.27,201.6,7109.33,-325.78000000000003,674.7,162.65,-22.43,-0.25364949653392704,1.13,0.09,9.36,17.0,1.82,-41.050741839762615,-53.61729546417975,-44.40182280627384,-47.58534972445951,-53.61729546417975,16.49,15.26,6.62,5.77,12,2003,181.46935166268088,20.162393162393162,188.72
2004-03-31,2464.76,478.36,23.73,0.0,530.36,599.45,627.56,34.2,1865.31,394.3,389.76,643.92,755.37,3346.84,301.39,7773.92,2.79,79.69,275.68,99.42,375.1,201.6,7398.82,286.39,-286.5,-178.98,28.11,0.36,0.93,0.05,23.73,0.0,0.0,24.6,33.04,25.88,27.64,31.96,21.19,19.41,12.14,9.4,3,2004,0.0,20.158449220396122,478.36
2004-06-30,1456.2399999999998,408.28999999999996,20.25217864997462,0.0,443.62,530.8499999999999,545.53,32.0,925.4000000000001,370.8,678.95,860.89,725.27,3417.12,294.48,8135.9,1.82,70.69,261.48,97.33,358.82,201.6,7777.08,113.98000000000002,176.94,-1.740000000000009,14.68,0.3963203237894634,0.83,0.05,43.98,0.0,0.0,20.07719393221677,27.371293746123044,20.99816613094231,22.36120498505611,26.431902103422996,24.94,22.61,13.07,10.29,6,2004,0.0,20.16030013642565,886.65
2004-09-30,1589.7299999999996,369.86,18.347147097914064,0.0,428.30999999999995,493.1100000000001,507.59000000000015,31.0,1096.6100000000001,342.57000000000005,1053.87,1246.3,648.3,3852.75,289.37,8743.93,6.24,65.09,421.0,108.51,529.51,201.6,8214.42,103.25,263.32,8.349999999999994,14.480000000000004,0.4246573027632077,0.76,0.06,62.33,0.0,0.0,16.919525351966957,23.701464532713626,18.014525948858346,19.46275254474696,22.97146413478604,25.16,22.8,9.15,7.61,9,2004,0.0,20.158992459489813,1256.51
2004-12-31,-3900.7299999999996,-815.29,-40.44852477222247,0.0,-1012.3799999999999,-1103.13,-1145.5,35.4,-2797.6000000000004,-792.4000000000001,1302.59,1016.09,775.27,4013.66,277.95,9260.36,1.15,76.96,692.39,106.77,799.17,201.6,8461.2,-85.54000000000002,-316.65999999999997,165.91,-42.370000000000005,-0.21917857449496503,0.84,0.09,21.89,0.0,0.0,-35.18227097593037,-45.30826073160781,-38.50832600516749,-41.908293368387646,-44.86478672770953,32.04,27.4,5.8,4.68,12,2004,0.0,20.15623572407492,441.22
2005-03-31,3133.62,815.14,40.43,11.0,734.67,980.76,1010.49,36.0,2152.87,580.74,1614.41,832.0,701.04,3872.94,278.1,9254.45,5.34,84.21,346.83,101.33,448.16,201.6,8806.29,762.32,23.83,-225.61,29.73,0.2225,0.82,0.05,40.43,11.0,0.27,35.24,46.08,37.04,40.24,44.04,30.06,26.01,11.17,9.15,3,2005,221.7793717536483,20.16176106851348,815.14
2005-06-30,1419.0900000000001,385.56000000000006,19.125471474972937,-0.001232099314810652,276.69000000000005,471.4200000000001,486.23,36.0,947.6700000000001,210.15999999999997,1433.33,714.7,756.4,4053.58,305.69,9577.28,1.93,107.56,296.65,102.29,398.94,201.6,9178.34,218.28999999999996,-397.32,-2.059999999999974,14.809999999999999,0.4671257391845626,0.79,0.04,59.56,11.0,0.18,16.107012242858335,21.0649920879487,16.80061564087616,18.187822436911805,20.10165403514617,30.86,26.37,13.66,11.11,6,2005,-0.02483850986052971,20.159503022162525,1200.7
2005-09-30,1694.5699999999997,330.8499999999999,16.41126603767425,0.00023382159867014625,223.39999999999998,387.8299999999999,404.3499999999999,37.6,1306.7399999999998,127.68000000000006,1153.5,811.93,579.0,4202.82,354.62,10060.67,2.52,108.47,371.98,114.25,486.24,201.6,9574.43,270.2900000000001,-553.81,3.7099999999999795,16.520000000000003,0.567069291219586,0.79,0.05,75.97,11.0,0.14,13.151479220397633,16.91027912898697,13.825470928144687,14.879663086415716,16.409105807841726,28.76,24.52,11.3,9.74,9,2005,0.004713827424552619,20.15993155192839,1531.55
2005-12-31,-4820.049999999999,-1300.1299999999999,-64.49525710828796,-0.0007611977249919326,-927.72,-1541.55,-1584.3799999999999,42.0,-3278.5,-696.9200000000001,2662.06,843.08,492.93,4931.91,370.22,10319.73,0.43,98.23,390.46,111.33,501.8,201.6,9817.93,-944.2,2134.16,218.95000000000002,-42.83,-0.16286779014406252,0.86,0.05,11.48,11.0,0.96,-50.33776164549304,-68.54025581194365,-53.03442744793017,-56.85470400138276,-67.64136721113127,17.14,16.21,12.63,11.37,12,2005,-0.015344632187947127,20.15853658536585,231.42
2006-03-31,2882.68,518.36,2.57,12.000000000000002,611.68,659.85,694.7,36.0,2222.83,450.29,2984.51,883.92,561.41,4822.99,396.93,10532.22,4.31,109.63,364.87,112.66,477.53,201.6,10054.69,336.95,1734.97,-240.91,34.85,3.5025,0.72,0.05,2.57,12.0,4.67,19.68,26.68,20.64,22.0,25.96,19.61,17.98,13.22,11.68,3,2006,2420.357976653697,201.69649805447472,518.36
