,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,204.94,-330.43,-2.36,0.0,-0.46,-574.57,-531.8,0.5,0.0,779.52,-315.15,371.24,206.78,257.48,852.79,833.05,1759.14,256.52,61.09,74.79,636.47,428.04,1064.52,3080.0,694.62,109.13,-200.31,413.2,42.77,-0.0525,2.21,1.53,-2.36,-75.12,0.0,-190.28,0.0,-204.72,-163.41,-161.23,1.34,0.94,3,2000,0.0,140.01271186440678,-330.43
2000-06-30,164.01999999999998,45.079999999999984,0.20063641142456623,0.0,9.450000000000001,-51.1099999999999,21.13999999999993,0.35,0.0,215.12,-53.31,177.48,152.97,243.16,599.16,797.65,1510.03,4.9,64.05,139.73,328.71,441.22,769.93,3080.0,739.69,11.100000000000009,-79.69999999999999,-125.26999999999998,72.25,0.44309006211180146,1.47,1.04,-1.27,11.94339582968284,-0.0,24.37969370947957,-0.0,33.466785351322926,-79.73,-77.34,1.82,1.08,6,2000,0.0,224.68503937007875,-285.35
2000-09-30,207.16000000000003,-32.60999999999996,-0.12614888665240895,0.0,40.85,-26.170000000000073,21.160000000000025,0.3,0.0,233.32000000000005,6.539999999999964,143.37,161.8,221.82,547.7,765.4,1447.12,2.02,47.4,76.94,210.8,435.24,646.03,3264.0,801.08,14.939999999999984,-64.13999999999999,16.439999999999998,47.33,-0.5850229990800375,1.22,0.81,-1.23,-9.012978991068048,0.0,-16.282436784501172,0.0,-21.631970059126903,-56.79,-55.19,2.6,1.55,9,2000,0.0,258.5040650406504,-317.96
2000-12-31,163.96000000000004,-225.45999999999998,-0.8256328438408597,0.0,1.3899999999999935,-221.27999999999997,-191.39,0.2,0.0,385.25,-164.12999999999994,105.08,148.64,123.68,390.3,668.96,1231.14,2.07,50.18,84.24,224.34,431.17,655.52,3264.0,575.63,-4.149999999999977,-32.629999999999995,-1.5199999999999818,29.890000000000015,-0.060256808303024934,1.13,1.14,-1.99,-73.25313311987045,0.0,-156.66279489161238,0.0,-143.9173471716168,-74.66,-73.43,1.74,1.19,12,2000,0.0,273.0753768844221,-543.42
2001-03-31,173.4,-22.5,-0.07,0.0,24.67,-13.88,29.14,0.16,0.0,187.29,-20.39,29.79,141.06,130.0,315.56,635.09,1164.55,0.0,74.87,82.9,260.94,350.47,611.41,3264.0,553.13,54.47,-52.96,-78.59,43.02,-0.56,0.93,1.11,-0.07,-7.72,-3.8000000000000003,-16.28,-14.44,-6.16,-13.84,-12.98,1.21,0.71,3,2001,0.0,321.4285714285714,-22.5
2001-06-30,155.79,-15.600000000000001,-0.04913385826771654,0.0,21.71,-11.13,30.57,0.12,0.0,166.9,-19.32,11.7,159.72,140.76,328.86,607.13,1175.2,0.0,107.29,90.26,302.0,335.67,637.67,3264.0,537.53,26.070000000000007,-37.62,-6.640000000000001,41.699999999999996,-0.6044711538461538,0.72,1.19,-0.12,-5.306456692913386,-3.0462992125984254,-11.611968503937007,-9.77763779527559,-4.684094488188976,-12.19,-11.57,1.09,0.62,6,2001,0.0,317.5,-38.1
2001-09-30,163.74,-9.579999999999998,-0.03013842281879194,0.0,47.300000000000004,-5.139999999999997,33.49999999999999,0.06,0.0,168.88000000000005,-5.789999999999999,13.32,160.4,162.56,353.8,578.38,1189.33,0.0,131.45,84.57,327.24,334.14,661.38,3264.0,527.95,48.980000000000004,-36.16,-11.920000000000002,38.64,-0.5101461377870564,0.38,1.25,-0.15,-3.222802013422818,-1.840453020134228,-7.2573322147651,-5.7705033557046965,-2.8129194630872476,-10.08,-9.67,1.08,0.58,9,2001,0.0,317.8666666666667,-47.68
2001-12-31,171.15000000000003,-172.92,-0.5330262919310971,0.0,10.83999999999999,-171.5,-137.7,0.07,0.0,342.65999999999997,-58.040000000000006,18.83,163.03,165.81,362.53,492.3,1073.53,0.0,181.68,86.06,385.73,332.77,718.5,3264.0,355.03,21.409999999999997,-16.17,4.8300000000000125,33.8,-0.03189336109183438,0.65,2.02,-0.68,-64.43347234814144,-54.87035358114234,-194.83678694469626,-148.65162647325474,-91.93135811423392,-34.77,-33.22,0.94,0.51,12,2001,0.0,324.4117647058823,-220.6
2002-03-31,139.84,-179.44,-0.55,0.0,-1.08,-175.15,-128.06,0.1,0.0,314.99,-68.95,7.36,128.91,165.89,316.24,475.72,913.25,0.0,173.51,384.07,703.67,34.0,737.66,3264.0,175.59,27.17,-39.75,1.12,47.09,-0.045,1.8,4.2,-0.55,-78.6,-67.44,-408.76,-197.0,-334.28,-135.64,-128.32,0.45,0.21,3,2002,0.0,326.25454545454545,-179.44
2002-06-30,120.54999999999998,-24.629999999999995,-0.07603714411721467,0.0,29.740000000000002,-20.349999999999994,15.230000000000004,0.14,0.0,140.89999999999998,-40.239999999999995,18.87,96.3,172.14,296.2,457.13,858.24,0.0,161.74,371.4,674.52,32.76,707.28,3264.0,150.96,31.409999999999997,-8.369999999999997,-11.530000000000001,35.58,-0.47641189606171347,3.09,4.69,-0.63,-11.480401822903904,-9.283773215073259,-65.2615945508894,-28.618932719164984,-51.372142892144836,-91.32,-78.37,0.44,0.18,6,2002,0.0,323.9206349206349,-204.07
2002-09-30,187.01,-37.73000000000002,-0.11546815550041362,0.0,43.08,-33.43000000000001,3.1599999999999966,0.1,0.0,220.44000000000005,-32.24000000000001,16.54,174.68,176.38,377.3,443.54,920.61,0.0,254.63,374.51,778.7,28.67,807.37,3264.0,113.23,21.510000000000005,-20.15,-3.6999999999999993,36.59,-0.20828253379273778,2.74,7.13,-0.74,-16.39647808105873,-13.544102564102568,-133.28770057899098,-47.0735583126551,-100.68823159636068,-59.36,-54.05,0.48,0.26,9,2002,0.0,326.7567567567568,-241.8
2002-12-31,210.57000000000005,6.930000000000007,0.018883637757057113,0.0,-23.109999999999992,8.939999999999998,45.89,0.07,0.0,201.64,-63.98999999999998,124.87,145.35,133.2,416.13,498.82,1032.93,0.0,129.44,80.8,337.82,239.88,577.7,6528.0,455.23,-89.18,-48.49000000000001,246.0,36.95,0.9320238095238086,1.0,1.27,-0.64,2.683837016221742,2.4654949546557696,6.088792949291103,6.841778004853755,3.7354195938178596,-43.63,-35.7,1.23,0.84,12,2002,0.0,366.984375,-234.87
2003-03-31,142.07,-41.44,-0.06,0.0,12.69,-38.18,-2.35,0.1,0.0,180.25,-43.15,6.9,124.23,174.98,335.1,497.85,996.99,0.0,175.01,315.12,581.21,1.99,583.2,6528.0,413.79,-34.48,-80.33,-3.16,35.83,-0.4175,1.58,1.41,-0.06,-16.64,-16.0,-40.04,-56.24,-36.72,-30.23,-29.17,0.58,0.28,3,2003,0.0,690.6666666666666,-41.44
2003-06-30,151.17000000000002,-42.0,-0.06543624161073826,0.0,-1.9699999999999989,-38.220000000000006,8.83,0.12,0.0,189.39,-60.49,2.24,148.48,207.92,381.92,498.45,1025.65,34.73,217.4,289.32,639.6,0.81,640.42,6528.0,385.23,-20.92,-12.310000000000002,28.580000000000002,47.05,-0.447,1.97,1.66,-0.13,-16.389261744966447,-16.328859060402685,-43.61073825503356,-62.65771812080537,-39.84563758389262,-31.53,-28.45,0.6,0.27,6,2003,0.0,641.8461538461538,-83.44
2003-09-30,97.94,-31.040000000000006,-0.04880503144654089,0.0,4.74,-26.099999999999994,-2.460000000000001,0.17,0.0,124.04000000000002,-35.019999999999996,0.94,110.86,216.37,354.17,515.33,1003.17,49.92,204.42,308.58,648.94,0.03,648.98,6528.0,354.19,-5.960000000000001,-29.810000000000002,34.46,23.64,-0.8759342783505153,3.14,1.83,-0.18,-12.374786862334034,-11.561369671558353,-35.05285814116004,-53.12156533892384,-31.387058001397627,-32.43,-29.27,0.55,0.21,9,2003,0.0,636.0,-114.48
2003-12-31,98.88,-46.540000000000006,-0.07225810458328158,0.0,7.390000000000001,-40.94,-16.049999999999997,0.12,0.0,139.82,-68.28,0.75,68.73,213.1,311.59,507.47,937.35,85.44,184.5,291.14,629.7,0.0,629.7,6528.0,307.65,-17.689999999999998,-7.279999999999987,24.779999999999994,24.89,-0.39787924366136657,2.44,2.05,-0.25,-19.862307787852444,-16.833248043721277,-60.511827102223336,-48.80023351136505,-53.898765370761396,-37.75,-32.86,0.49,0.16,12,2003,0.0,644.08,-161.02
2004-03-31,18.56,-56.84,-0.09,0.0,-9.6,-51.17,-30.66,0.09,0.0,69.73,-53.98,0.62,21.07,209.55,256.52,495.48,846.56,89.38,152.06,288.73,595.76,0.0,595.76,652.8,250.81,3.2,-3.37,0.03,20.51,-0.23749999999999996,0.22,2.38,-0.09,-26.84,-22.2,-90.64,-68.44,-81.6,-360.89,-306.25,0.43,0.08,3,2004,0.0,631.5555555555557,-56.84
2004-06-30,25.640000000000004,-73.47,-0.11276187552758807,0.0,-9.770000000000001,-67.67,-51.86,0.06,0.0,93.30999999999999,-16.580000000000005,0.45,2.69,165.1,189.64,483.9,740.79,89.4,109.68,288.47,563.45,0.0,563.45,652.8,177.34,-10.27,-0.8799999999999999,10.99,15.809999999999999,-0.13302368313597385,0.22,3.18,-0.2,-39.669627810605476,-30.355496892026707,-165.7148522753434,-104.48515386386308,-151.12346558207352,-321.04,-294.82,0.34,0.04,6,2004,0.0,651.55,-130.31
2004-09-30,43.08,-65.28999999999999,-0.09012423312883436,0.0,-4.149999999999999,-59.46000000000001,-46.17999999999999,0.05,0.0,102.53999999999999,-31.980000000000004,98.32,2.43,131.71,284.06,472.39,814.7,79.96,51.9,288.47,470.91,0.0,470.91,930.96,343.79,-87.32,-15.170000000000002,200.35999999999999,13.280000000000001,-0.1273242456731506,0.12,1.37,-0.27,-32.057523517382414,-26.19611042944785,-75.97139059304703,-74.83649284253578,-69.24211451942739,-258.94,-224.11,0.6,0.32,9,2004,0.0,724.4444444444443,-195.6
2004-12-31,55.28,-72.16999999999999,-0.09163759943234864,0.0,-22.69,-66.94999999999999,-54.56,0.03,0.0,122.23000000000002,-57.34999999999998,9.5,1.64,110.5,185.34,308.58,695.43,73.35,40.61,279.64,435.21,0.0,435.21,930.96,260.22,-67.11,-6.259999999999998,-15.439999999999998,12.39,-0.0834810170430927,0.11,1.67,-0.34,-41.50644209582851,-32.385805728797095,-110.93539978339619,-101.67461179370355,-101.60992642939836,-211.91,-187.83,0.43,0.17,12,2004,0.0,787.5588235294117,-267.77
2005-03-31,58.95,1.31,0.0,0.0,-1.28,1.79,15.38,0.06,-1.62,57.16,-56.77,9.45,44.22,108.62,476.74,448.3,1038.51,64.29,34.68,62.92,204.21,199.06,403.27,1861.92,635.61,-30.31,-315.39,345.66,13.59,0.0,0.18,0.63,0.0,0.52,0.76,0.84,1.2,0.84,2.38,2.22,2.33,1.8,3,2005,0.0,inf,1.31
2005-06-30,53.06,-82.24000000000001,-0.050809341406153466,0.0,-12.88,-82.73,-65.23,0.06,8.84,135.78,-57.63,62.0,46.37,101.49,371.9,438.56,936.71,60.0,40.16,64.17,207.16,184.3,391.46,1861.92,550.7,-54.739999999999995,125.64999999999998,-18.360000000000014,17.5,-0.28784077091439686,0.2,0.71,-0.05,-35.119416779933275,-39.22481156555048,-59.751785493636476,-90.35933275670332,-45.07804769553936,-77.93,-72.25,1.8,1.31,6,2005,0.0,1618.6000000000001,-80.93
