,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2000-03-31,140.87,-1.55,-0.1,0.4,,2.12,2.12,12.0,1.74,24.57,248.26,0.0,288.53,976.64,690.57,156.0,286.07,8.56,-17.68,-28.28,-30.0,0.65,2.41,-0.1,0.4,-4.0,-0.64,0.0,-2.16,0.0,-1.1,3,2000,,,6.2,,15.5,-1.55
2000-06-30,190.08999999999997,9.16,0.5898028909329829,0.0007884362680683691,,14.68,14.68,12.0,6.02,25.689999999999998,272.87,0.0,285.2,976.81,693.62,156.0,283.19,40.61,10.95,-15.07,5.086487445414847,0.66,2.45,0.49,0.4,0.82,3.755479632063075,0.0,12.951590013140605,0.0,2.3,6,2000,,,0.012244897959184264,,15.53061224489796,7.61
2000-09-30,149.0,3.5300000000000002,0.22498204667863556,0.004066976880518798,,5.309999999999999,5.309999999999999,11.0,6.02,26.03000000000001,278.1,0.0,281.55,961.2,675.71,156.0,285.5,9.659999999999997,-28.49,0.9100000000000037,12.220864022662889,0.6,2.37,0.71,0.4,0.56,1.4703052064631956,0.0,4.94326750448833,0.0,2.32,9,2000,,,0.06381144006898509,,15.690140845070424,11.14
2000-12-31,134.28000000000003,10.21,0.6551615925058549,-0.0027258633769832626,,13.980000000000004,13.980000000000004,12.0,6.02,47.41,266.33,0.0,278.25,958.43,662.68,156.0,295.76,-9.399999999999999,18.22,-1.1000000000000014,4.579480901077375,0.63,2.24,1.37,0.4,0.29,4.265723653395785,0.0,13.810997658079625,0.0,3.48,12,2000,,,-0.042479695692403396,,15.583941605839415,21.35
2001-03-31,181.35,4.6,0.29,0.45,,6.72,6.72,11.0,0.0,24.46,271.83,0.0,274.88,1004.8,698.21,156.0,306.59,9.75,2.55,2.55,9.4825,0.56,2.28,0.29,0.45,1.55,1.8399999999999999,2.7200000000000006,6.0,6.2,2.54,3,2001,,,7.137931034482759,,15.862068965517242,4.6
2001-06-30,170.15,8.23,0.5260015588464536,-0.0062044776520546715,,11.700000000000003,11.700000000000003,11.25,1.87,26.11,262.01,0.0,272.75,970.13,662.32,156.0,307.81,15.02,-8.64,-14.75,5.347132442284326,0.57,2.15,0.82,0.45,0.55,3.386936866718629,4.849477786438036,10.699641465315667,11.135837879968824,3.65,6,2001,,,-0.0970773759461725,,15.646341463414636,12.83
2001-09-30,149.33999999999997,2.4399999999999995,0.1565946299934512,-0.0018688006133500345,,4.27,4.27,11.0,5.65,26.740000000000002,262.38,0.0,269.4,921.82,610.53,156.0,311.29,-20.25,21.2,-1.9400000000000013,17.554241803278693,0.55,1.96,0.98,0.45,0.46,1.0610085134250162,1.5403798297314995,3.138284217419777,3.272508185985592,3.05,9,2001,,,-0.02911896465903574,,15.581632653061224,15.27
2001-12-31,155.2,10.760000000000002,0.6903265462927393,0.00014994472625780783,,10.2,10.2,12.5,7.45,14.989999999999995,312.05,0.0,266.74,974.0,651.84,156.0,322.16,-10.899999999999999,-19.369999999999997,80.43,4.529848977695167,0.61,2.02,1.67,0.45,0.27,4.414782942758356,5.621820975797158,13.360092201306186,13.938809066461776,3.97,12,2001,,,0.0023371624098746935,,15.58682634730539,26.03
2002-03-31,186.89,4.66,0.22,0.0,,11.54,11.54,10.8,0.0,26.81,280.59,0.0,263.26,1026.66,622.19,234.0,404.46,0.92,-27.52,1.6,12.2725,0.62,1.54,0.22,0.0,0.0,1.8,4.56,4.6,5.24,2.49,3,2002,,,0.0,,21.181818181818183,4.66
2002-06-30,143.98000000000002,-0.4299999999999997,-0.020330969267139464,0.5,,-0.6399999999999988,-0.6399999999999988,11.5,0.0,28.45,300.29,0.0,262.42,995.91,603.1,234.0,392.8,15.409999999999998,3.1400000000000006,-13.549999999999999,-141.40988372093034,0.69,1.54,0.2,0.5,2.5,-0.1707801418439715,-0.45134751773049614,-0.43914893617021244,-0.49200945626477505,1.28,6,2002,,,10.575000000000001,,21.150000000000002,4.23
