,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2007-03-31,16.77,,,,,,,10.2,6.19,-0.07,113.89,0.0,1053.82,0.74,-928.41,1042.3,0.0,3,2007,,,,,,,,,,,,
2007-06-30,7.719999999999999,,,,,,,10.1,3.29,-0.03,0.69,0.0,1045.32,0.63,-100.16999999999996,-13.029999999999973,0.13,6,2007,,,,,,,,,,,,
2007-09-30,6.440000000000001,,,,,,,10.0,3.3200000000000003,-0.04000000000000001,39.74,0.0,1048.39,0.64,39.049999999999955,0.0,0.13,9,2007,,,,,,,,,,,,
2007-12-31,6.57,,,,,,,10.1,3.41,-0.03999999999999998,2.49,0.0,1040.21,0.66,-25.779999999999973,-11.470000000000027,0.24,12,2007,,,,,,,,,,,,
2008-06-30,-30.08,,,,,,,10.0,-9.14,0.18,19.73,0.0,1040.55,0.63,1032.55,-1017.8,0.0,6,2008,,,,,,,,,,,,
2008-09-30,4.369999999999999,,,,,,,9.75,3.369999999999999,-0.21,54.3,0.0,1047.64,6.72,34.57000000000001,0.0,0.0,9,2008,,,,,,,,,,,,
2008-12-31,6.310000000000002,,,,,,,10.0,3.9400000000000013,-0.36,14.59,0.0,1051.24,12.42,-35.230000000000004,-4.48,0.04,12,2008,,,,,,,,,,,,
2009-03-31,8.16,,,,,,,9.85,9.13,-0.36,0.02,0.0,1054.28,16.43,-14.57,0.0,0.0,3,2009,,,,,,,,,,,,
2009-12-31,47.44,,,,,,,9.5,33.239999999999995,0.36,17.55,14.46,1028.93,42.54,35.04,-17.51,0.17,12,2009,,,,,,,,,,,,
2010-12-31,8.770000000000003,,,,,,,8.0,3.990000000000002,0.0,16.56,35.08,999.77,34.06,-10.309999999999999,6.360000000000001,0.03,12,2010,,,,,,,,,,,,
2011-12-31,106.78,,,,,,,7.5,-6.509999999999998,0.0,135.09,40.74,1161.54,53.59,126.09,-6.5699999999999985,0.17,12,2011,,,,,,,,,,,,
2012-12-31,-65.13000000000001,,,,,,,7.5,15.899999999999999,0.0,24.9,13.2,1069.01,60.69,-131.58,-97.14,1.1,12,2012,,,,,,,,,,,,
2013-12-31,-40.08,,,,,,,3.9,37.489999999999995,-2.71,21.38,1.85,984.71,363.79,-1.62,108.28999999999999,0.06,12,2013,,,,,,,,,,,,
2014-12-31,-10.699999999999996,,,,,,,2.2,-28.33999999999999,-0.41999999999999993,20.99,1.73,919.2,362.52,-3.44,6.57,0.0,12,2014,,,,,,,,,,,,
2015-12-31,8.54,,,,,,,1.85,-1.1200000000000045,1.2,32.96,2.35,851.44,368.1,12.360000000000001,0.0,0.0,12,2015,,,,,,,,,,,,
2016-12-31,23.099999999999994,,,,,,,1.96,14.480000000000004,-1.0000000000000002,28.16,46.27,762.0,479.19,-16.77,0.0,0.0,12,2016,,,,,,,,,,,,
