,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2015-06-30,,,,,,,,,,,861.36,514.75,610.09,2176.91,1560.55,5702.99,0.0,326.4,12.9,410.98,380.58,791.57,880.42,4761.6,,,,,,0.0,0.17,0.24,0.0,0.0,,,,,,7.83,7.64,,5.3,3.81,6,2015,,892.75,214.26
2015-09-30,1420.7999999999997,85.46000000000004,0.0969451488055519,0.0,272.14,112.81,112.81,,1307.98,86.94000000000003,1015.14,553.48,554.95,2178.54,1684.08,5812.18,20.0,343.5,9.15,415.51,402.53,818.04,880.42,4833.37,,,,,0.0,0.0,0.17,0.34,0.0,0.0,5.885140798078209,0.0,7.071293206993196,0.0,8.588199653009479,7.26,7.1,,5.24,3.91,9,2015,0.0,881.5294117647059,299.72
2015-12-31,-2802.7599999999998,-219.02000000000004,-0.24426022304832715,0.0,-563.92,-280.53999999999996,-250.29,6.8,-2522.21,-213.64000000000001,1218.53,517.65,671.82,2515.2,1744.45,5828.42,80.0,290.5,8.28,570.15,337.65,907.8,880.42,4742.06,,,,,-6.960199981736826,1.26,0.19,0.09,0.0,0.0,-14.981293680297398,-0.0,-18.455216852540275,-0.0,-26.054423791821566,5.79,5.68,94.71,4.41,3.23,12,2015,0.0,896.6666666666667,80.7
2016-03-31,1553.16,162.66,0.18,0.0,389.89,225.47,259.3,7.4,1327.7,198.88,1018.6,544.46,948.59,2589.39,1800.98,5983.94,80.0,359.06,8.14,556.72,334.71,891.44,880.42,4905.29,-146.13,-34.78,-12.48,33.83,10.2775,1.33,0.18,0.18,0.0,0.0,10.88,0.0,13.28,0.0,16.6,10.66,10.47,115.04,4.65,2.95,3,2016,0.0,903.6666666666666,162.66
2016-06-30,1357.6200000000001,106.78999999999999,0.12286101317498609,0.27,289.16999999999996,151.41,187.26,7.75,1206.2,127.57999999999998,939.38,501.73,805.38,2451.75,1856.19,5892.37,134.46,293.81,10.06,566.59,348.45,915.04,880.42,4775.96,268.35,-175.3,-170.68,35.85000000000001,15.769852046071732,1.43,0.19,0.31,0.27,0.87,7.2448365188346635,10.304472072740767,8.941111152347373,8.956964186305438,11.223948042308406,9.42,9.26,95.17,4.33,2.91,6,2016,234.68225806451613,869.1935483870967,269.45
2016-09-30,1561.6799999999998,184.61,0.2114196361714311,0.09123645731060126,398.78999999999996,252.47000000000003,290.34999999999997,7.85,1309.2199999999998,209.82,792.57,528.88,728.98,2443.78,1899.96,5986.54,40.0,304.73,32.95,540.12,352.17,892.29,880.42,4874.08,317.34000000000003,-306.11,-151.63000000000002,37.879999999999995,9.28485184984562,1.42,0.18,0.52,0.36,0.69,12.32739109368806,17.352673214993615,15.157161608597983,15.205950755406777,18.800084570321104,10.37,10.15,98.95,4.52,3.17,9,2016,79.66697270471462,873.1923076923076,454.06
2016-12-31,1848.6800000000003,214.97999999999996,0.24420782016022954,0.00291310626477432,485.4200000000001,291.98,334.47000000000014,9.35,1556.6999999999998,227.26,315.33,655.89,703.6,2797.05,2007.49,6403.01,140.56,454.97,32.84,750.17,308.09,1058.26,880.42,5099.56,231.27000000000004,-780.51,65.66000000000003,42.49000000000001,9.569718113312868,1.61,0.21,0.76,0.36,0.47,13.431430108812625,19.356683008489775,16.863192634222166,17.480138706205903,20.95046036111443,10.86,10.58,108.14,3.73,2.79,12,2016,2.564453441295541,880.3157894736842,669.04
2017-03-31,1441.87,134.63,0.15,0.0,380.86,183.13,226.15,11.7,1258.73,159.64,337.16,524.78,911.33,2736.94,2084.2,6433.68,225.14,281.92,2.93,641.08,314.63,955.71,880.42,5227.4,12.61,-26.59,50.78,43.02,19.5,1.97,0.18,0.15,0.0,0.0,8.36,11.8,10.32,10.64,12.64,9.49,9.34,59.07,4.27,2.85,3,2017,0.0,897.5333333333333,134.63
2017-06-30,1467.15,104.37,0.11790753138075315,0.21,349.21000000000004,153.16000000000003,197.72,9.45,1314.0,135.14,401.63,571.84,722.18,2638.17,2148.97,6296.06,177.84,261.2,43.53,581.14,323.31,904.45,880.42,5132.02,227.92000000000002,35.69,-190.53,44.559999999999995,20.036887994634473,1.62,0.18,0.27,0.21,0.78,6.637757322175732,9.64221589958159,8.139986610878662,8.419471129707114,10.271056066945608,8.33,8.22,55.22,4.54,3.3,6,2017,185.88888888888886,885.1851851851851,239.0
2017-09-30,1512.7199999999998,108.72000000000003,0.12193949154492123,0.0015084934238276575,336.69999999999993,155.96999999999997,205.90999999999997,10.2,1356.75,119.5,791.35,431.39,602.8,2652.1,2183.27,6360.29,60.0,348.25,43.38,545.58,313.16,858.74,880.42,5232.28,482.32000000000005,47.16,-131.51,49.94000000000001,20.908935798381158,1.72,0.16,0.39,0.21,0.54,6.841118141033015,9.96777177038997,8.3168986540895,8.60455078799034,10.593102496261363,8.01,7.86,59.31,4.86,3.76,9,2017,1.3449572649573156,891.5897435897436,347.72
