,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,249.71,11.5,0.43,0.0,23.63,17.08,34.99,8.18,232.62,14.94,0.23,143.15,235.07,416.96,676.99,1116.17,117.76,197.38,81.77,423.25,173.86,597.11,270.0,519.07,22.11,-33.18,-14.47,17.91,4.755,4.25,1.15,0.43,0.0,0.0,4.12,0.0,8.88,0.0,9.84,4.64,4.61,0.99,0.43,3,2000,0.0,26.74418604651163,11.5
2000-06-30,296.42999999999995,24.65,0.9137206085753804,0.0,40.08,33.36,51.160000000000004,6.81,263.08,33.04,12.06,236.65,264.18,551.04,663.57,1235.12,177.08,240.01,85.41,524.58,166.83,691.41,270.0,543.72,-39.79,-2.9100000000000037,54.519999999999996,17.8,1.8661612576064908,3.38,1.27,1.34,0.0,0.0,7.9916459197786995,0.0,18.138035961272475,0.0,19.365421853388657,6.67,6.62,1.05,0.55,6,2000,0.0,26.977611940298505,36.15
2000-09-30,235.64999999999998,6.399999999999999,0.23764982373678023,0.0,20.559999999999995,13.020000000000003,30.94999999999999,5.54,222.62000000000006,12.260000000000005,0.25,167.96,269.36,442.65,651.01,1112.82,115.38,199.92,88.08,420.4,142.31,562.71,270.0,550.12,48.78,27.260000000000005,-87.85,17.93,5.83400390625,2.72,1.02,1.58,0.0,0.0,2.298284371327849,0.0,4.6507168037602815,0.0,5.511069330199764,5.52,5.44,1.05,0.41,9,2000,0.0,26.930379746835442,42.55
2000-12-31,290.4200000000001,23.409999999999997,0.8659854457246815,0.0,37.81,29.520000000000003,47.870000000000005,7.27,260.9,27.160000000000004,4.84,216.52,260.29,485.75,638.35,1140.11,129.71,193.24,106.56,443.82,122.77,566.59,270.0,573.53,-4.48,-3.67,12.739999999999995,18.349999999999994,2.0991114908158908,3.42,0.99,2.44,0.0,0.0,8.219763493026075,0.0,16.32595512431777,0.0,18.952304426925405,6.23,6.15,1.09,0.51,12,2000,0.0,27.0327868852459,65.96
2001-03-31,362.71,36.8,1.36,0.0,53.26,42.82,62.93,6.18,319.89,42.87,1.0,275.74,308.54,591.82,625.27,1231.4,165.31,252.27,91.35,523.71,97.36,621.08,270.0,610.32,-6.75,-4.18,7.09,20.11,1.135,2.73,1.02,1.36,0.0,0.0,11.96,14.6,24.12,26.08,24.2,10.17,10.15,1.13,0.54,3,2001,0.0,27.05882352941176,36.8
2001-06-30,368.64000000000004,39.56,1.4661445783132532,0.0,53.38,44.6,62.68,11.59,324.03999999999996,43.089999999999996,5.73,300.27,295.0,605.76,615.08,1233.44,179.93,264.92,22.05,506.03,77.52,583.54,270.0,649.89,60.99,-6.01,-50.25,18.08,1.973662790697674,4.81,0.9,2.83,0.0,0.0,12.827469879518073,14.671807228915664,24.349397590361445,26.504578313253013,24.908915662650603,10.47,10.44,1.2,0.61,6,2001,0.0,26.98233215547703,76.36
2001-09-30,368.2399999999999,47.61,1.762764378478664,0.0,55.239999999999995,51.2,70.45,10.9,317.0300000000001,46.17999999999999,0.24,285.39,320.44,610.05,607.7,1228.64,154.15,244.11,42.51,479.48,51.66,531.13,270.0,697.5,32.63999999999999,-9.049999999999999,-29.08,19.25,1.5492995169082124,4.22,0.76,4.59,0.0,0.0,15.50003710575139,18.18834879406308,27.29788497217069,30.523858998144718,28.419294990723564,11.33,11.27,1.27,0.6,9,2001,0.0,27.008714596949893,123.97
2001-12-31,282.19000000000005,24.27000000000001,0.8988282514840802,0.0,33.66,27.22999999999999,46.02000000000001,13.63,254.98000000000002,23.230000000000018,2.94,228.41,280.55,543.83,610.86,1163.87,152.04,166.78,42.96,396.3,45.81,442.11,270.0,721.76,59.80000000000001,-49.59,-7.510000000000005,18.790000000000006,3.786930366707868,5.1,0.61,5.49,0.0,0.0,8.343221802482464,9.430329195898546,13.451316783594175,14.990294117647066,14.152042633567195,10.78,10.73,1.37,0.66,12,2001,0.0,27.001821493624774,148.24
2002-03-31,340.2,37.08,1.37,0.0,52.26,45.49,64.29,24.08,294.71,41.17,0.61,292.59,309.12,606.82,629.33,1244.06,300.0,127.42,5.85,465.27,19.95,485.22,270.0,758.84,-83.69,-5.46,86.82,18.8,4.395,8.57,0.64,1.37,0.0,0.0,11.92,14.72,19.56,21.68,23.36,10.94,10.9,1.3,0.64,3,2002,0.0,27.065693430656932,37.08
2002-06-30,331.47999999999996,47.84,1.7745642958078192,1.0,58.51,57.63999999999999,76.7,23.4,273.84,49.92999999999999,0.49,272.65,329.02,604.26,617.95,1230.29,272.09,121.58,0.0,430.66,19.95,450.61,270.0,779.68,59.98,-2.8400000000000007,-57.25999999999999,19.06,3.297217809364548,8.1,0.58,3.15,1.0,0.32,15.548563353744703,18.861083372585963,24.539689119170987,26.77056994818653,29.06905322656618,12.89,12.64,1.4,0.64,6,2002,26.95873015873016,26.95873015873016,84.92
2002-09-30,240.68000000000006,-5.140000000000001,-0.1900601654550013,0.0031555030301582765,14.450000000000003,-4.22999999999999,15.009999999999991,25.44,244.91000000000008,3.0,2.36,203.82,349.28,558.27,611.46,1177.6,232.66,123.34,19.95,403.06,0.0,403.06,270.0,774.54,58.95,-9.509999999999998,-47.57,19.240000000000002,-33.448618677042795,8.87,0.52,2.95,1.0,0.34,-1.7446878917021809,-2.118365505139133,-2.6543995988969673,-2.7935622963148665,-3.290940085234395,8.8,8.74,1.39,0.52,9,2002,0.08533763788000925,27.044067796610168,79.78
