,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,47.09,-0.51,-0.07,0.0,10.05,0.62,4.41,9.5,0.0,46.47,0.42,5.36,34.59,86.47,154.26,107.89,319.78,79.2,26.38,0.0,111.57,0.0,111.57,70.0,180.53,-20.94,-6.14,10.13,3.79,-33.9275,3.68,0.62,-0.07,-0.64,0.0,-1.12,0.0,1.2,-1.09,-1.08,1.38,0.61,3,2000,0.0,7.285714285714286,-0.51
2000-06-30,79.11,2.12,0.3028571428571429,0.0,12.71,4.36,8.18,9.5,0.0,74.75,2.02,4.34,58.25,69.92,158.85,119.57,336.03,75.41,30.58,0.0,114.52,0.0,114.52,70.0,188.89,4.550000000000001,-3.29,-2.280000000000001,3.8200000000000003,7.841155660377358,3.52,0.61,0.23,2.528198757763975,0.0,4.477018633540373,0.0,11.850931677018632,1.3,1.28,1.39,0.78,6,2000,0.0,7.0,1.61
2000-09-30,47.93999999999998,-2.0100000000000002,-0.30150000000000005,0.0,8.66,-1.5200000000000005,1.75,10.0,0.0,49.44999999999999,-1.73,1.88,36.36,74.2,138.06,116.75,312.42,53.48,29.26,1.57,90.72,3.18,93.9,70.0,186.74,-4.759999999999998,-0.7599999999999998,3.0600000000000005,3.2700000000000005,-8.292039800995022,3.75,0.5,-0.06,-2.6130000000000004,0.0,-4.221,0.0,31.356,-0.23,-0.23,1.52,0.7,9,2000,0.0,6.666666666666667,-0.4
2000-12-31,40.53,-4.89,-0.6932892249527409,0.0,8.75,-4.43,-1.0700000000000003,9.0,0.0,44.97,0.99,4.8,29.57,90.14,148.15,113.22,312.45,53.28,35.27,1.6,97.13,2.77,99.9,70.0,181.71,-1.6700000000000017,2.869999999999999,1.7300000000000004,3.3599999999999994,-3.2453987730061353,3.47,0.55,-0.75,-6.248846880907372,0.0,-10.75984877126654,0.0,-1.6638941398865785,-2.51,-2.46,1.53,0.6,12,2000,0.0,7.053333333333334,-5.29
2001-03-31,33.04,-1.37,-0.2,0.0,6.39,-1.02,2.22,5.0,0.0,34.06,-1.23,6.73,25.73,78.96,130.41,109.73,298.24,48.66,31.31,1.65,85.7,2.33,88.02,70.0,180.2,10.48,-3.54,-5.01,3.24,-6.249999999999999,1.94,0.49,-0.2,-1.84,-1.32,-3.04,-3.04,-1.92,-4.19,-4.15,1.52,0.6,3,2001,0.0,6.8500000000000005,-1.37
2001-06-30,46.96,-1.0099999999999998,-0.14428571428571427,0.0,6.44,-0.3799999999999999,2.85,9.0,0.0,47.33,-1.6600000000000001,3.31,40.58,95.87,159.57,106.38,324.3,67.23,39.36,1.68,113.9,1.9,115.8,70.0,179.31,-21.34,-0.29000000000000004,18.2,3.2299999999999995,-15.593712871287131,3.51,0.65,-0.34,-1.239159663865546,-0.7129411764705881,-2.257647058823529,-2.1897478991596637,-1.137310924369748,-3.04,-2.98,1.4,0.56,6,2001,0.0,6.999999999999999,-2.38
2001-09-30,42.31999999999999,0.8599999999999999,0.12447368421052629,0.0,8.97,1.88,-4.59,10.5,0.0,40.45,1.37,2.96,34.38,107.04,164.55,103.2,322.46,69.25,34.94,1.57,112.73,1.59,114.32,70.0,179.77,-5.280000000000001,3.23,1.7100000000000009,-6.47,21.090000000000003,4.09,0.64,-0.22,1.0636842105263156,-0.33947368421052626,1.9236842105263157,1.8784210526315785,-0.5205263157894736,-1.27,-1.24,1.46,0.51,9,2001,0.0,6.909090909090909,-1.52
2001-12-31,54.31999999999999,-1.4500000000000002,-0.20505050505050507,0.0,8.55,-2.64,9.73,10.5,0.0,56.97,-2.7899999999999996,19.44,48.04,89.93,158.45,100.08,313.25,75.85,23.71,1.75,108.65,1.0,109.65,70.0,178.19,-7.509999999999998,0.06999999999999995,6.08,12.37,-12.801724137931032,4.12,0.62,-0.42,-1.8552188552188553,-1.3474747474747475,-3.2612794612794618,-3.2222222222222223,-2.0700336700336703,-1.71,-1.68,1.46,0.63,12,2001,0.0,7.071428571428572,-2.97
2002-03-31,36.24,-1.0,-0.14,0.0,6.31,-0.24,2.04,8.9,0.0,36.48,-0.56,19.53,26.03,85.39,132.62,98.22,285.55,70.74,5.91,1.78,82.96,0.55,83.51,70.0,177.15,6.14,-0.49,-5.56,2.28,-15.8925,3.52,0.47,-0.14,-1.4,-0.32,-2.24,-2.24,-0.48,-2.78,-2.76,1.6,0.57,3,2002,0.0,7.142857142857142,-1.0
2002-06-30,35.12,-2.04,-0.29526315789473684,0.0,5.03,-1.27,1.1099999999999999,5.3,0.0,36.38,-2.12,18.96,27.34,74.54,122.47,103.49,277.16,63.28,7.41,1.81,77.52,0.08,77.61,70.0,175.06,10.899999999999999,-4.16,-7.320000000000001,2.3800000000000003,-4.489215686274511,2.12,0.44,-0.44,-2.9526315789473685,-1.342105263157895,-4.670526315789473,-4.616842105263157,-2.04,-4.33,-4.26,1.58,0.62,6,2002,0.0,6.909090909090909,-3.04
2002-09-30,53.239999999999995,-2.91,-0.41571428571428576,0.0,4.390000000000001,-1.93,0.43000000000000016,7.9,0.0,55.19000000000001,-3.9099999999999997,31.44,33.7,71.5,138.61,101.12,290.93,51.36,35.52,1.45,94.35,0.0,94.35,70.0,172.12,25.58,-0.08000000000000007,-13.01,2.3599999999999994,-4.748754295532645,3.21,0.55,-0.85,-4.010420168067227,-2.191058823529412,-6.768806722689075,-6.612302521008403,-3.423529411764706,-4.9,-4.78,1.47,0.71,9,2002,0.0,7.0,-5.95
2002-12-31,43.629999999999995,-2.79,-0.3990274599542334,0.0,4.039999999999999,-2.36,0.0,6.5,0.0,45.97999999999999,-2.1799999999999997,21.61,31.64,60.46,115.11,98.73,265.08,53.24,10.8,1.0,71.82,0.0,71.82,70.0,169.29,-11.339999999999996,-0.05999999999999961,1.5700000000000003,2.360000000000001,-4.0724014336917564,2.69,0.42,-1.25,-4.213729977116705,-2.566544622425629,-6.588741418764302,-6.422745995423341,-3.830663615560641,-5.3,-5.2,1.6,0.76,12,2002,0.0,6.992,-8.74
