,dividend,close_price,dividend_yield
2008-04-08,0.73,47.25,1.54
2009-05-11,1.5,29,5.17
2010-05-04,1.39,34,4.09
2010-11-04,0.56,41.75,1.34
2011-04-26,3.21,53.25,6.03
2011-12-29,16.46,88,18.7
2012-04-04,1.38,83.5,1.65
2012-08-01,2.27,82.25,2.76
2012-10-31,1.13,88,1.28
2013-02-21,1.66,87.25,1.9
2013-05-03,1.12,115,0.97
2013-07-30,1.28,119,1.08
2013-11-08,1.32,111.5,1.18
2014-05-12,1.42,118,1.2
2014-07-30,1.58,101.5,1.56
2014-11-03,1.57,103.5,1.52
2015-02-20,2.34,94.5,2.48
2015-05-06,0.89,86.75,1.03
2015-07-31,0.8,70.75,1.13
2015-10-30,0.72,66.5,1.08
2016-02-16,0.52,32,1.63
2016-07-25,0.42,32.25,1.3
