,dividend,close_price,dividend_yield
2002-04-04,2.5,35.5,7.04
2003-04-02,2.85,44.75,6.37
2004-03-17,4,154,2.6
2005-03-17,6.75,206,3.28
2006-03-15,9.25,252,3.67
2006-09-07,5,238,2.1
2007-04-03,5.5,210,2.62
2007-09-17,5,324,1.54
2008-03-18,6.5,328,1.98
2008-09-02,6,262,2.29
2009-03-05,2,150,1.33
2009-09-02,4,243,1.65
2010-03-04,4.5,242,1.86
2010-09-07,4.75,302,1.57
2011-03-15,5.5,349,1.58
2011-09-06,6,324,1.85
2012-03-05,7,365,1.92
2012-09-05,5,336,1.49
2013-03-06,8,346,2.31
2013-09-18,5,339,1.47
2014-03-06,8,304,2.63
2014-09-15,6,354,1.69
2015-03-03,5,350,1.43
2015-09-10,6,263,2.28
2016-03-03,4,273,1.47
2016-08-31,6,354,1.69
2017-03-29,10,404,2.48
