,dividend,close_price,dividend_yield
2001-03-20,2,19.75,10.13
2002-03-27,2.5,34,7.35
2003-04-01,3,45,6.67
2003-08-25,2.25,55,4.09
2004-04-30,4.25,71,5.99
2004-09-21,2.5,73.5,3.4
2005-04-26,2.5,68,3.68
2006-04-26,5,64.5,7.75
2007-05-03,7,79.5,8.81
2008-04-30,6,71.5,8.39
2009-05-04,4,54.5,7.34
2010-05-07,4.5,64.5,6.98
2011-05-09,4,64,6.25
2012-05-08,4.5,67.5,6.67
2012-08-22,2,78.5,2.55
2013-05-02,5,104,4.81
2014-05-07,0.25,7,3.57
2015-05-06,0.2,6,3.33
2016-05-04,0.4,7.15,5.59
2017-05-08,0.5,8.25,6.06
