,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,321.11,17.93,0.6,0.0,46.06,44.74,70.23
2000-06-30,296.06999999999994,-8.65,-0.2889547413793104,0.0,49.379999999999995,17.299999999999997,41.53999999999999
2000-09-30,324.5400000000001,-44.88,-1.500202247191011,0.0,44.77000000000001,-17.89,6.77000000000001
2000-12-31,369.6199999999999,-15.600000000000001,-0.521015625,0.0,49.29999999999998,11.980000000000004,36.760000000000005
2001-03-31,313.0,-6.67,-0.22,0.0,49.56,17.9,41.28
2001-06-30,368.86,31.409999999999997,1.0410751818916733,0.0,67.22,54.1,80.38
2001-09-30,356.2299999999999,41.22,1.3748332322619772,0.0,63.16999999999999,61.08000000000001,86.19
2001-12-31,359.33000000000015,86.34000000000002,2.879889691398556,0.0,117.88999999999999,101.41999999999999,89.10999999999999
2002-03-31,379.61,90.07,3.0,0.0,114.71,102.39,115.91
2002-06-30,394.36,107.93,3.597666666666667,0.0,127.61,118.67999999999999,131.56
2002-09-30,418.68000000000006,88.22000000000003,0.29281322059953885,0.0,107.24000000000001,97.87,113.13000000000002
2002-12-31,399.03,66.64999999999998,0.2228781137529401,0.0,94.81,73.10000000000002,89.94999999999999
2003-03-31,433.92,102.3,0.34,0.0,119.39,106.9,122.48
2003-06-30,431.50999999999993,81.57000000000001,0.2706134769130364,0.2,98.73,88.65,108.76
2003-09-30,396.23000000000013,44.25999999999999,0.14744926138605177,0.14916369225772186,58.420000000000016,53.14999999999998,77.37
2003-12-31,434.1399999999999,27.52000000000001,0.09150009778994724,0.10069083450852834,57.26999999999998,38.81,64.19
2004-03-31,468.18,68.33,0.23,0.0,88.06,77.69,102.77
2004-06-30,539.1299999999999,58.59,0.19388433658997795,0.05,92.57,65.83000000000001,90.06000000000002
2004-09-30,583.1400000000001,65.04,0.2168451760783497,-0.00037557427638694674,95.64999999999998,73.44999999999999,98.25999999999996
2004-12-31,609.9399999999998,48.95999999999998,0.1625767889755935,0.0002013116387182406,97.35000000000002,60.78999999999999,92.79000000000002
2005-03-31,688.85,28.11,0.09000000000000001,0.0,62.28,43.77,79.89
2005-06-30,736.4999999999999,45.230000000000004,0.14801199890919006,0.25,90.71000000000001,61.73,98.95
2005-09-30,607.2900000000002,44.75,0.13642137352866457,0.017105597425692235,86.31,62.28,103.55999999999997
2005-12-31,712.4599999999998,54.75,0.16471881508909975,0.00327695492298592,85.58999999999997,72.80000000000001,112.95000000000005
2006-03-31,693.61,16.96,0.05,0.0,77.25,42.0,85.81
2006-06-30,782.5200000000001,9.52,0.025166163141993957,0.15,75.53,39.91,89.62
2006-09-30,948.9099999999999,45.78999999999999,0.12671924726719247,-0.0070301844274447125,122.09,77.21000000000001,129.82999999999998
2006-12-31,919.8899999999999,29.799999999999997,0.0817478201234447,0.0013108650925835125,66.99000000000001,61.829999999999984,115.57
2007-03-31,938.85,18.18,0.05,0.0,97.38,47.01,101.01
2007-06-30,1011.39,20.729999999999997,0.05860447185813415,0.09999999999999999,91.91,48.1,103.39
2007-09-30,1060.66,44.13000000000001,0.1222290462427746,0.002026405675249623,55.82000000000002,68.92999999999999,124.87999999999997
2007-12-31,1212.7599999999998,46.59999999999998,0.1294045047824745,-0.0002589109641415007,96.76999999999998,70.78,126.91000000000003
2008-03-31,1216.62,55.82,0.16,0.0,90.71,79.2,134.83
2008-06-30,1198.83,103.63,0.28596550642834745,0.11,138.07999999999998,128.67000000000002,184.73999999999998
2008-09-30,1570.5100000000002,123.72000000000003,0.34515944485644673,-0.0012101387858883261,176.48999999999998,154.05,218.84999999999997
2008-12-31,1101.4899999999998,-122.86000000000001,-0.3448755536148712,0.0993211254460306,-46.45999999999998,-80.54000000000002,-12.92999999999995
2009-03-31,954.94,16.1,0.04,0.0,73.59,47.21,114.03
2009-06-30,1194.5,95.78,0.2653897032534859,0.03,165.85999999999999,122.16999999999999,190.24999999999997
2009-09-30,1189.8400000000001,96.9,0.2691924513842322,0.09992185013395795,159.82999999999998,119.81,189.05
2009-12-31,1239.5799999999995,79.27000000000001,0.2201562228779726,3.501547264902335e-05,127.75,100.88,170.26000000000005
2010-03-31,1324.85,79.43,0.22,0.0,123.08,99.89,167.87
