,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2013-09-30,,,,,,,
2013-12-31,447.06999999999994,17.619999999999997,0.036117130307467056,0.0,130.51999999999998,27.03,31.210000000000008
2014-03-31,363.69,-15.47,-0.029999999999999995,0.0,114.18,-9.65,-5.76
2014-06-30,397.43,11.49,0.028869346733668342,0.1,137.47,14.190000000000001,19.939999999999998
2014-09-30,289.68999999999994,1.1600000000000001,-0.0,,122.34,5.8999999999999995,10.629999999999999
2014-12-31,819.1100000000001,124.96,0.040923530374979526,inf,345.61,165.53,169.94
2015-03-31,446.94,10.28,0.0,,164.4,27.42,32.12
2015-06-30,517.4300000000001,7.01,0.004054366685945634,,212.80999999999997,27.92,32.88
2015-09-30,361.2299999999999,8.350000000000001,0.003256630265210609,0.0,165.02000000000004,33.0,37.879999999999995
2015-12-31,443.21000000000004,-19.26,-0.0,,158.91999999999996,5.609999999999999,10.590000000000003
2016-03-31,596.19,79.04,0.02,0.0,291.99,147.61,152.66
2016-06-30,692.78,126.58,0.03078007975877833,0.0,353.84000000000003,216.52999999999997,221.78
2016-09-30,710.8799999999999,104.18,0.026902517753389286,0.0,398.34000000000003,224.76,230.58999999999997
2016-12-31,558.2000000000003,45.65999999999997,0.011560794463512061,0.0,225.90999999999985,85.74000000000001,93.04000000000008
