,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2010-09-30,,,,,,,
2010-12-31,106.91,13.950000000000003,0.048401486988847595,0.0,32.19,15.75,18.14
2011-03-31,89.8,16.16,0.04,0.03,40.89,23.47,25.87
2011-06-30,55.47000000000001,4.09,0.010098765432098766,7.407407407407688e-05,21.22,6.09,8.489999999999998
2011-09-30,67.97999999999999,8.95,0.021455479452054796,0.040873287671232876,28.099999999999994,13.05,15.299999999999997
2011-12-31,16.629999999999995,-7.82,-0.018288119738072966,0.0017118802619270415,-6.529999999999987,-14.36,-12.18
2012-03-31,81.96,13.98,0.03,0.0,35.58,19.11,21.17
2012-06-30,58.41000000000001,6.359999999999999,0.012507374631268435,0.0,20.620000000000005,8.07,10.149999999999999
2012-09-30,35.079999999999984,2.09,0.004658938921087829,0.04,14.469999999999999,2.41,4.589999999999996
2012-12-31,76.94,8.879999999999999,0.019853082082401788,-0.00011753433407857098,25.439999999999998,11.440000000000001,13.900000000000006
2013-03-31,94.7,11.64,0.02,0.02,28.88,14.76,17.42
2013-06-30,129.07999999999998,7.030000000000001,0.011296197107659348,0.0012961971076593465,25.220000000000002,9.6,12.239999999999998
2013-09-30,155.67,4.25,0.009271378708551483,-0.007152414194299009,20.71,5.68,8.27
2013-12-31,151.07,10.219999999999999,0.021587205793602897,0.040634882317441154,30.61,13.230000000000004,15.660000000000004
2014-03-31,68.95,1.01,0.0,,16.03,1.38,3.53
2014-06-30,89.54,-7.33,-0.011598101265822785,-inf,5.959999999999997,-7.71,-5.6899999999999995
2014-09-30,55.139999999999986,-3.51,-0.007141403865717192,-0.008575788402848427,10.309999999999999,-3.6400000000000006,-1.5699999999999998
2014-12-31,63.06,-3.92,-0.008552727272727273,-0.0021709090909090892,9.14,-6.8199999999999985,-4.34
2015-03-31,86.19,0.56,0.0,,15.74,0.77,4.78
2015-06-30,94.49000000000001,-7.359999999999999,-0.010823529411764706,,5.389999999999999,-9.15,-5.33
2015-09-30,68.59,0.16999999999999993,0.0002564102564102563,0.0,13.690000000000001,0.3100000000000005,4.21
2015-12-31,76.68999999999997,-3.2299999999999995,-0.006551724137931034,0.0,9.229999999999997,-3.1799999999999997,1.3399999999999999
2016-03-31,45.54,-0.29,0.0,,10.02,-1.08,5.91
2016-06-30,29.279999999999994,-6.49,-0.00957227138643068,,2.860000000000001,-8.05,-1.0499999999999998
2016-09-30,31.63000000000001,0.03000000000000025,4.444444444444481e-05,0.0,9.9,0.09000000000000163,7.86
2016-12-31,71.89,8.6,0.0,,24.4,15.61,43.9
2017-03-31,43.41,0.15,0.0,,9.59,0.22,2.23
2017-06-30,-43.41,,,,-9.59,-0.22,1.8299999999999996
