,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,586.75,-155.82,-3.5500000000000003,0.0,217.99,19.18,92.53
2000-06-30,1023.0,166.95,3.7499999999999996,0.0,232.48000000000002,348.45,419.38
2000-09-30,627.6799999999998,490.42,9.758531751570132,0.0,237.83999999999992,-119.32999999999998,-65.18
2000-12-31,730.44,80.64000000000004,1.343561380305399,0.0,251.16000000000008,120.44,184.41999999999996
2001-03-31,713.09,-15.24,-0.17,0.0,267.85,24.92,91.56
2001-06-30,735.7599999999999,39.04,0.44289075630252106,0.0,257.37,74.87,121.05000000000001
2001-09-30,811.6199999999999,100.92,1.132841565105837,0.0,286.30999999999995,132.45999999999998,181.78999999999996
2001-12-31,809.4700000000003,75.97999999999999,0.8517937219730941,0.0,297.80999999999995,101.57,187.89999999999998
2002-03-31,850.49,108.22,1.21,0.0,309.88,133.78,182.36
2002-06-30,883.1800000000001,118.71000000000001,1.3287066496276385,0.0,331.20000000000005,139.92999999999998,197.66999999999996
2002-09-30,967.2599999999998,9.109999999999985,0.10189120488052857,0.0,347.9599999999999,29.110000000000014,112.17000000000002
2002-12-31,969.2200000000003,-9.73999999999998,-0.10932213875386633,0.0,323.53999999999996,24.230000000000018,91.66000000000003
2003-03-31,1074.91,164.47,1.84,0.0,379.47,198.31,256.84
2003-06-30,1049.36,135.98,1.5252208354135464,0.0,375.65999999999997,169.39999999999998,231.33000000000004
2003-09-30,1222.0500000000002,186.69,2.092473210986575,0.0,453.31000000000006,222.31,289.93
2003-12-31,1273.9900000000002,179.35000000000002,1.7975633542888867,0.0,460.65999999999985,213.60000000000002,286.61
2004-03-31,1361.84,182.62,1.38,0.0,494.85,277.85,342.6
2004-06-30,1380.61,151.43,0.2311908396946565,0.0,483.4599999999999,246.64999999999998,319.42999999999995
2004-09-30,1570.2799999999997,307.22999999999996,0.4551342627245508,0.3,551.3200000000002,289.24,355.47
2004-12-31,1496.5700000000006,293.27,0.4267799475683484,0.005298930811057367,493.4399999999998,312.79999999999995,349.68000000000006
2005-03-31,1590.44,227.12,0.31,0.0,585.22,296.06,363.81
2005-06-30,1638.13,244.94,0.33726856755497187,0.4,579.1600000000001,314.08,386.34999999999997
2005-09-30,1835.3699999999994,307.78000000000003,0.4222976508001642,0.30141393895394714,673.3799999999999,399.84000000000003,474.36
2005-12-31,1742.8400000000001,272.9,0.37588103425347186,-0.002694650488382926,663.1699999999998,361.8599999999999,439.1400000000001
2006-03-31,1923.03,267.12,0.37,0.0,704.16,401.52,482.3
2006-06-30,1918.22,266.03,0.36425377473506515,0.45,698.1999999999999,392.23,485.28000000000003
2006-09-30,2112.59,308.96000000000004,0.42559000605621594,0.29728151058259883,784.01,460.3599999999999,536.8100000000001
2006-12-31,1941.6800000000003,253.59000000000003,0.34947604271242133,-0.0003387654876586125,746.1600000000003,365.1500000000001,456.9599999999998
2007-03-31,2135.35,295.75,0.41,0.45,801.0,447.38,546.8
2007-06-30,2110.82,282.83000000000004,0.3861794393169484,0.006782311445431144,813.49,421.26,522.3199999999999
2007-09-30,2221.7799999999997,305.7199999999999,0.4183209318104715,0.3990435687528003,828.49,462.13,564.8800000000001
2007-12-31,2945.170000000001,721.1600000000001,0.9882226900701357,-0.001248523504450209,777.3800000000001,828.3800000000001,932.79
2008-03-31,2228.31,314.43,0.43,0.0,859.42,473.1,573.52
2008-06-30,2191.65,279.82,0.38612099284812784,0.4,797.33,419.53999999999996,526.3
2008-09-30,2310.51,305.1,0.41727136265080333,0.40354700617112355,842.3699999999999,451.88,576.0800000000002
2008-12-31,2151.3599999999997,291.69999999999993,0.40165232358003433,-0.005429383037376056,805.8800000000001,357.55999999999995,485.53999999999996
2009-03-31,2327.58,338.06,0.46,0.4,891.19,478.59,611.97
2009-06-30,2244.04,288.48999999999995,0.39598020908147785,-0.0034954703639322082,831.5699999999999,399.09,534.75
2009-09-30,2384.2300000000005,319.49,0.43902689104054804,0.3995473911816502,873.5699999999999,467.7800000000001,602.52
2009-12-31,2382.01,299.6100000000001,0.41129779633123287,0.000798643896143308,919.4099999999999,388.28,523.76
2010-03-31,2638.47,369.24,0.51,0.45,1079.91,548.55,689.39
2010-06-30,2225.8000000000006,167.41999999999996,0.23085529012782766,0.0007546677598478616,776.8199999999999,277.3900000000001,421.4699999999999
2010-09-30,2665.1499999999996,377.1,0.5158630274908073,0.4035653545552207,1035.1399999999999,522.28,676.47
2010-12-31,2539.539999999999,344.73,0.47388767491199774,-0.004156381059841594,970.2600000000002,485.80999999999995,642.54
2011-03-31,2813.58,415.82,0.57,0.5,1180.8,622.31,780.88
2011-06-30,2850.04,344.00000000000006,0.47084835882182624,0.0007441744051107066,1082.05,581.23,742.2299999999999
2011-09-30,3135.0600000000004,454.01999999999987,0.6246403150332827,0.4474232283813858,1218.7200000000003,678.97,841.49
2011-12-31,2590.1000000000004,374.19000000000005,0.5136768197074364,0.0020916040251883487,934.5099999999998,401.10000000000014,566.8200000000002
2012-03-31,3236.19,582.65,0.8,0.65,1320.84,743.51,917.0
2012-06-30,3377.2000000000003,500.16999999999996,0.6882522487578729,-0.001420047884228073,1260.7100000000003,763.56,938.8800000000001
2012-09-30,4176.249999999999,1179.7100000000003,1.6215909181314725,0.6006940246882263,1416.1899999999996,1502.3300000000002,1686.33
