,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2006-09-30,,,,,,,
2006-12-31,74.05000000000001,21.15,0.13093079814282557,0.0,39.67999999999999,31.71,32.160000000000004
2007-03-31,51.15,15.62,0.08,0.15,27.35,20.96,21.49
2007-06-30,48.64000000000001,12.980000000000002,0.013615384615384618,0.11927884615384615,26.199999999999996,17.689999999999998,18.24
2007-09-30,63.80999999999999,17.240000000000002,0.01880453752181501,-0.005977312390924945,31.510000000000005,22.950000000000003,23.510000000000005
2007-12-31,93.01000000000002,35.67,0.0350092013249908,0.015027603974972369,55.74000000000001,48.029999999999994,48.6
2008-03-31,58.12,17.94,0.02,0.04,32.61,24.05,24.65
2008-06-30,78.88,26.3,0.023779385171790235,0.00755877034358047,42.93000000000001,35.17,35.81
2008-09-30,89.37,26.359999999999992,0.026135977337110476,-0.0038640226628895223,42.89999999999999,35.239999999999995,35.88
2008-12-31,60.48000000000002,13.440000000000012,0.012793907663017622,0.0015965186645814959,23.05000000000001,18.11,18.709999999999994
2009-03-31,35.0,5.96,0.01,0.05,15.1,7.99,8.47
2009-06-30,25.39,3.8099999999999996,0.0038996929375639715,0.019498464687819853,10.660000000000002,5.109999999999999,5.6
2009-09-30,36.0,6.73,0.008157575757575758,-0.009212121212121204,15.109999999999996,9.020000000000001,9.5
2009-12-31,22.179999999999993,1.7699999999999996,0.0019376026272577992,0.004844006568144504,7.810000000000002,2.4599999999999973,2.91
2010-03-31,41.74,5.9,0.01,0.02,15.74,8.04,8.46
2010-06-30,27.029999999999994,3.9000000000000004,0.003979591836734694,0.007959183673469388,11.209999999999999,5.210000000000001,5.579999999999998
2010-09-30,15.990000000000009,1.2899999999999991,0.0011632100991884574,0.0023264201983769148,7.809999999999999,1.7300000000000004,2.1000000000000014
2010-12-31,19.72999999999999,2.6099999999999994,0.0019051094890510944,0.0038102189781021915,8.630000000000003,3.41,3.759999999999998
2011-03-31,24.76,3.08,0.0,,10.4,4.15,4.36
2011-06-30,32.120000000000005,6.4399999999999995,0.006764705882352942,-inf,13.520000000000001,8.61,8.719999999999999
2011-09-30,19.04,1.2599999999999998,0.0011688311688311686,0.0011688311688311686,6.659999999999997,1.6799999999999997,1.8000000000000007
2011-12-31,15.209999999999994,2.0700000000000003,0.0016108949416342414,0.0016108949416342414,7.5,2.76,2.889999999999999
2012-03-31,20.97,3.77,0.0,,9.96,4.88,4.94
2012-06-30,22.939999999999998,4.99,0.005696347031963471,-inf,11.989999999999998,6.489999999999999,6.55
2012-09-30,24.28,5.93,0.0040367597004765145,0.0040367597004765145,12.73,7.709999999999999,7.779999999999999
2012-12-31,55.46000000000001,15.97,0.015626223091976518,-0.004373776908023482,27.810000000000002,20.800000000000004,20.91
2013-03-31,12.09,-0.35,0.0,,5.61,-0.32,-0.21
2013-06-30,15.510000000000002,-2.4099999999999997,0.0,,7.3,-1.89,-1.78
2013-09-30,33.42,5.029999999999999,0.0,,14.579999999999998,6.87,6.98
2013-12-31,9.020000000000003,-17.77,-0.022929032258064516,,5.699999999999999,-17.48,-17.35
2014-03-31,9.06,-0.68,0.0,,3.95,-0.68,-0.55
2014-06-30,40.449999999999996,8.68,0.01085,,18.51,10.74,10.860000000000001
2014-09-30,16.470000000000006,1.08,0.0011894273127753304,0.0,6.07,1.3599999999999994,1.4900000000000002
2014-12-31,22.0,3.0600000000000005,0.0025205930807248767,0.0,9.32,3.8499999999999996,3.9799999999999986
2015-03-31,22.86,3.45,0.0,,10.18,4.31,4.43
2015-06-30,26.53,2.2299999999999995,0.003926056338028168,,10.280000000000001,2.8200000000000003,2.95
2015-09-30,16.11,1.25,0.0018037518037518038,0.0,4.16,2.0100000000000007,2.13
2015-12-31,15.540000000000006,1.33,0.0016101694915254237,0.0,7.209999999999997,1.2799999999999994,1.4000000000000004
2016-03-31,13.8,0.26,0.0,,3.98,0.35,0.54
2016-06-30,9.46,-2.7199999999999998,0.0,,0.94,-3.02,-2.75
2016-09-30,16.109999999999996,-0.8500000000000001,0.0,,5.6,-0.8300000000000001,-0.3999999999999999
2016-12-31,36.07,8.77,0.016062271062271063,inf,12.879999999999999,10.52,10.67
2017-03-31,24.68,0.74,0.0,,8.17,0.99,1.35
2017-06-30,-24.68,,,,-8.17,-0.99,-0.6300000000000001
