,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2004-09-30,,,,,,,
2004-12-31,155.41000000000003,9.82,0.08121001088139282,0.0,36.53,15.619999999999997,20.760000000000005
2005-03-31,171.29,12.51,0.08,0.0,31.19,18.74,24.95
2005-06-30,220.93000000000004,13.37,0.08265842349304482,0.0,31.400000000000002,20.16,27.099999999999998
2005-09-30,206.40999999999997,10.419999999999998,0.06315151515151514,0.0,28.14,16.65,23.840000000000003
2005-12-31,209.39999999999998,-0.23999999999999488,-0.0014642262895174396,0.15,17.64,3.260000000000005,10.25
2006-03-31,240.2,3.64,0.02,0.0,23.47,6.55,13.83
2006-06-30,304.10999999999996,8.09,0.04827791986359762,0.0,26.42,13.14,20.93
2006-09-30,270.25,10.54,0.061526717557251906,0.0,26.739999999999995,18.24,27.450000000000003
2006-12-31,224.92000000000007,-7.109999999999999,-0.042209762532981525,0.11,16.02000000000001,-0.7299999999999969,8.669999999999995
2007-03-31,335.57,22.83,0.14,0.0,42.07,34.29,43.8
2007-06-30,373.15000000000003,37.870000000000005,0.230838550247117,0.0,62.68,54.550000000000004,64.67
2007-09-30,292.89,26.019999999999996,0.15902444649446493,0.1,58.31,41.81,52.16
2007-12-31,307.86,20.39,0.11612267762113715,0.20681559955115794,48.44,32.099999999999994,44.0
2008-03-31,387.92,33.09,0.13,0.0,56.61,44.48,56.42
2008-06-30,320.8,27.61,0.1682981878088962,0.0,48.14,44.36000000000001,57.33
2008-09-30,492.30999999999995,74.52999999999999,0.297612955705095,0.0,50.97999999999999,87.22,102.50999999999999
2008-12-31,257.95000000000005,-151.95999999999998,-0.6358158995815899,0.0,-19.049999999999983,-148.69,-129.91
2009-03-31,228.14,-31.3,-0.13,0.05,5.91,-20.43,-1.44
2009-06-30,223.88,-13.720000000000002,-0.05485561972456686,0.0018675460479103342,23.2,-4.420000000000002,15.49
2009-09-30,281.90999999999997,25.720000000000002,0.10661139896373058,-0.0018364997121473915,3.3800000000000026,38.47,56.400000000000006
2009-12-31,187.30000000000007,-24.150000000000002,-0.05002301495972382,0.025014384349827393,15.909999999999997,-15.53,10.920000000000002
2010-03-31,325.05,-3.94,-0.01,0.0,39.81,6.0,28.84
2010-06-30,303.96,-30.109999999999996,-0.061900146842878125,0.0,27.239999999999995,-20.939999999999998,2.210000000000001
2010-09-30,309.35,-8.82,-0.016459062281315606,0.0,31.67,-0.3100000000000005,23.040000000000003
2010-12-31,274.9699999999999,-63.300000000000004,-0.1192427239333145,0.0,8.930000000000007,-57.56999999999999,-34.47
2011-03-31,307.34,-5.28,-0.01,0.0,25.43,3.2,25.62
2011-06-30,289.68,-9.23,-0.019083390764989664,0.0,21.270000000000003,-0.15000000000000036,22.349999999999998
2011-09-30,312.51,-36.96,-0.06462793860501263,0.0,25.569999999999993,-21.25,1.6700000000000017
2011-12-31,229.29999999999995,-82.35,-0.14769092811238976,0.0,-21.929999999999993,-71.85,-48.44
2012-03-31,281.05,-7.2,-0.01,0.0,18.46,6.77,29.92
2012-06-30,273.25999999999993,-12.740000000000002,-0.025556670010030095,0.0,28.869999999999997,2.030000000000001,25.25
2012-09-30,243.41000000000008,-26.219999999999995,-0.04544194107452339,0.0,-3.8200000000000003,-13.59,9.829999999999998
2012-12-31,234.18000000000006,-38.55,-0.06826230669342462,0.0,4.020000000000003,-25.630000000000003,-2.450000000000003
2013-03-31,297.27,13.73,0.02,0.0,17.45,22.75,45.39
2013-06-30,215.06000000000006,-23.14,-0.0491817215727949,0.0,19.98,-11.88,10.229999999999997
2013-09-30,255.62,-4.4,-0.006372194062273715,0.0,30.750000000000007,6.8000000000000025,28.79
2013-12-31,297.51,8.190000000000001,0.014572953736654806,0.0,38.42999999999999,19.239999999999995,42.010000000000005
2014-03-31,262.28,1.31,0.0,,30.58,11.21,32.57
2014-06-30,254.38,5.35,0.008033033033033033,,38.8,15.879999999999999,37.330000000000005
2014-09-30,262.99,9.96,0.017978339350180506,0.0,29.74000000000001,7.300000000000001,28.36
2014-12-31,375.18999999999994,77.08,0.12339381003201706,0.0,11.379999999999995,116.83,138.3
2015-03-31,305.99,-0.75,0.0,,40.94,8.44,30.66
2015-06-30,252.60000000000002,2.65,0.0,,34.120000000000005,6.130000000000001,26.01
2015-09-30,294.99,6.699999999999999,0.0077906976744186035,,47.72,10.5,30.039999999999992
2015-12-31,241.9699999999999,-15.84,-0.021878453038674032,0.0,29.620000000000005,-12.870000000000001,9.170000000000002
2016-03-31,236.71,-1.72,0.0,,30.04,0.3,20.78
2016-06-30,200.86999999999998,-8.69,-0.00834774255523535,,24.5,-6.87,12.549999999999997
2016-09-30,223.70999999999998,3.83,0.005820668693009119,0.0,42.6,9.39,28.510000000000005
2016-12-31,296.37,4.62,-0.0,,47.739999999999995,8.6,22.700000000000003
2017-03-31,194.77,-5.48,-0.01,0.0,28.54,-4.24,13.51
2017-06-30,-194.77,,,,-28.54,4.24,21.53
