,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,1593.87,3.46,0.03,0.0,324.76,205.2,453.51
2000-06-30,1271.4500000000003,16.34,0.1567979797979798,0.0,348.22,190.22000000000003,343.43000000000006
2000-09-30,842.6599999999999,-385.42,-3.6684579618182815,0.0,-44.05000000000007,-299.72,-127.99000000000001
2000-12-31,2183.8799999999997,-77.10000000000002,-0.7349159739790387,0.0,270.6,45.260000000000005,180.6099999999999
2001-03-31,1190.28,51.59,0.49,0.0,251.56,189.9,340.96
2001-06-30,1920.4599999999998,152.63,1.4499177357751443,0.0,392.47999999999996,312.57000000000005,416.69
2001-09-30,4559.37,2468.6800000000003,23.514756556549067,0.0,271.44000000000005,2587.95,2673.23
2001-12-31,2223.05,-54.26000000000022,-0.5167737451501564,0.0,-290.14,53.06999999999971,112.53999999999996
2002-03-31,1716.68,130.68,1.24,0.0,135.23,234.71,296.27
2002-06-30,1720.99,-119.9,-1.112244897959184,0.0,95.26000000000002,55.41,112.23000000000002
2002-09-30,1980.2399999999998,-59.85,-0.5732524964336662,0.0,117.82,92.18,141.71000000000004
2002-12-31,1877.3100000000004,-129.84,-1.2337376334469847,0.0,55.43000000000001,-5.759999999999991,38.42999999999995
2003-03-31,1410.2,-5.98,-0.060000000000000005,0.0,238.47,140.02,164.3
2003-06-30,1759.6699999999998,64.92,0.6168171021377673,0.0,332.66999999999996,243.34,262.15999999999997
2003-09-30,2208.1400000000003,285.53000000000003,2.718780735622841,0.0,490.62,498.71000000000004,520.3700000000001
2003-12-31,2690.8499999999995,-59.08000000000004,-0.05589403973509939,0.0,412.80999999999995,113.18999999999994,136.36
2004-03-31,1599.8,30.11,0.03,0.0,113.48,118.91,139.88
2004-06-30,1365.4800000000002,117.19000000000001,0.11138221317040056,0.0,358.79999999999995,248.89000000000001,272.62
2004-09-30,2164.14,-33.010000000000005,-0.03177093358999038,0.0,289.08000000000004,88.52999999999997,112.76999999999998
2004-12-31,2643.37,90.17999999999999,0.08379811219249768,0.0,719.9699999999999,391.39000000000004,414.69000000000005
2005-03-31,2421.38,166.68,0.16,0.1,385.33,357.93,382.92
2005-06-30,3269.2799999999997,143.42000000000002,0.1341238310222509,0.0025773943889068054,368.82,329.72999999999996,355.99999999999994
2005-09-30,4354.59,195.78999999999996,0.18189982011899816,0.0006551103858614403,553.92,493.58000000000004,521.7500000000001
2005-12-31,4909.719999999999,178.26999999999998,0.16415765318054254,0.0008846070596899147,527.46,534.0,584.46
2006-03-31,5599.95,811.01,0.7400000000000001,0.0,446.61,1353.65,1397.73
2006-06-30,5501.72,191.64999999999998,0.17393882273153413,0.35,691.7599999999999,539.3,588.9200000000001
2006-09-30,5134.049999999999,159.69999999999993,0.14426253484290577,0.0016394364780407073,586.7700000000002,536.0199999999998,618.21
2006-12-31,5369.5700000000015,-2375.2,-2.1150489759572575,0.004983674680914191,97.02999999999997,-2263.3799999999997,-2169.86
2007-03-31,4513.35,35.52,0.029999999999999995,0.0,471.03,313.61,409.27
