,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2004-06-30,,,,,,,
2004-09-30,183.82999999999998,29.729999999999997,0.27337931034482754,0.0,62.00000000000001,43.21,51.94
2004-12-31,168.19000000000005,18.54,0.15747269890795632,0.0,50.85000000000001,28.410000000000004,38.5
2005-03-31,68.06,-8.58,-0.06,0.0,11.25,-6.97,2.46
2005-06-30,143.1,20.29,0.13861656703672073,0.0,44.14,24.11,35.36
2005-09-30,196.22,20.58,0.14021678538247134,0.0,51.55,27.11,37.470000000000006
2005-12-31,153.83000000000004,-2.2399999999999984,-0.014908485856905148,0.21,24.210000000000008,-0.4799999999999969,9.349999999999994
2006-03-31,114.98,9.72,0.05999999999999999,0.16,34.04,13.5,25.38
2006-06-30,226.97999999999996,45.29,0.304622795855299,-0.014339211052535935,91.91,61.900000000000006,72.04
2006-09-30,200.62000000000006,10.830000000000005,0.07237545565006077,0.20102722406489115,42.469999999999985,16.289999999999992,31.249999999999986
2006-12-31,243.0,4.6499999999999915,0.031004397786920077,0.0008217800074800187,41.76000000000002,9.400000000000006,22.650000000000006
2007-03-31,188.03,9.67,0.05999999999999999,0.18,45.84,14.17,31.21
2007-06-30,114.09,-18.75,-0.12389867841409691,-0.011696035242290745,10.419999999999995,-17.56,-6.43
2007-09-30,160.40999999999997,2.13,0.015323741007194244,-0.015971223021582753,31.03000000000001,6.85,23.54
2007-12-31,225.46000000000004,7.48,0.0,,55.27999999999999,14.71,24.9
2008-03-31,132.58,-21.45,-0.14,0.1,12.73,-17.64,-4.87
2008-06-30,127.73999999999998,-18.570000000000004,-0.1252848575712144,-0.003367958877703987,10.759999999999998,-12.919999999999998,0.7800000000000002
2008-09-30,324.59999999999997,41.5,0.28040540540540543,-0.00015015015015014963,71.62,49.41,64.7
2008-12-31,218.14,-17.62,-0.12008674101610906,-0.0008674101610904686,31.620000000000005,-13.16,5.260000000000005
2009-03-31,122.25,-26.02,-0.17,0.0,8.23,-21.82,-9.02
2009-06-30,293.6,26.98,0.2810416666666667,0.0,55.39,30.259999999999998,42.120000000000005
2009-09-30,105.43999999999994,-35.12,-0.23646370023419208,0.0,11.600000000000001,-29.65,-18.150000000000002
2009-12-31,222.4000000000001,25.369999999999997,0.17317406143344707,0.0,59.71000000000001,34.77,45.64
2010-03-31,156.25,-9.3,-0.05999999999999999,0.0,26.56,-7.35,3.48
2010-06-30,129.07999999999998,-13.759999999999998,-0.08950563746747614,0.0,18.49,-7.74,3.5500000000000003
2010-09-30,179.71000000000004,-1.740000000000002,-0.011927419354838724,0.0,31.060000000000002,3.08,14.14
2010-12-31,407.07,62.32000000000001,0.4152452025586354,0.0,124.8,85.0,97.16
2011-03-31,236.74,5.25,0.03,0.0,54.82,14.04,28.5
2011-06-30,191.03999999999996,-3.27,-0.016515151515151514,0.2,40.77,8.600000000000001,23.67
2011-09-30,183.58000000000004,-26.92,-0.18349639133921414,-0.0699278267842823,29.200000000000003,-22.78,-7.810000000000002
2011-12-31,210.91999999999996,-14.789999999999996,-0.09678832116788319,0.007986260197509669,46.749999999999986,-5.21,6.270000000000003
2012-03-31,510.99,67.41,0.45,0.0,129.33,89.79,106.01
2012-06-30,187.18999999999994,1.6200000000000045,0.010795306388526759,0.0,39.56999999999999,5.219999999999999,21.049999999999997
2012-09-30,180.0200000000001,-2.8100000000000023,-0.018671096345514965,0.0,34.109999999999985,0.29999999999999716,16.52000000000001
2012-12-31,365.03,18.64,0.12081074711289183,0.03,65.87,26.00999999999999,37.66
2013-03-31,227.13,5.15,0.03,0.0,47.24,8.81,26.15
2013-06-30,277.67,1.2299999999999995,0.005783699059561127,0.1,56.410000000000004,12.06,26.090000000000003
2013-09-30,208.65000000000003,-2.54,-0.013229166666666667,-0.01076388888888887,41.829999999999984,2.0599999999999987,16.85
2013-12-31,390.0899999999999,29.419999999999998,0.15921828021647624,-0.003908598917618776,101.91,51.440000000000005,62.870000000000005
2014-03-31,231.45,-28.79,-0.15,0.0,22.22,-28.08,-10.26
2014-06-30,245.57,-11.990000000000002,-0.06174350171652772,0.1,42.69,-5.920000000000002,14.03
2014-09-30,176.84000000000003,-22.619999999999997,-0.11773817034700315,-0.0010770617395223238,26.510000000000005,-20.54,0.9999999999999996
2014-12-31,440.58000000000004,30.949999999999996,0.1621417565485362,-0.0006490171359200502,106.64,52.37,74.57000000000001
2015-03-31,211.94,-16.69,-0.09,0.0,35.16,-12.25,10.91
2015-06-30,381.14000000000004,-4.91,-0.02500462962962963,0.0,54.510000000000005,10.11,34.56
2015-09-30,214.76,-40.93,-0.20946105869182793,0.0,21.58,-30.17,-4.460000000000001
2015-12-31,569.1899999999999,89.47,0.4649517446176689,0.0,185.39,119.52,145.57000000000002
2016-03-31,264.84,-22.61,-0.1,0.0,31.44,-17.19,9.34
2016-06-30,269.52000000000004,-28.119999999999997,-0.11640449438202247,0.0,40.510000000000005,-14.439999999999998,14.440000000000001
2016-09-30,248.39,-38.95000000000001,-0.1606991525423729,0.09,22.47,-28.91,0.029999999999997584
2016-12-31,430.5,48.220000000000006,0.19771828268210326,0.0005550123205694829,107.21999999999998,60.69,90.03
2017-03-31,319.59,7.69,0.029999999999999995,0.0,68.58,20.08,47.6
2017-06-30,-319.59,,,,-68.58,-20.08,7.670000000000002
