,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2010-09-30,,,,,,,
2010-12-31,1800.82,78.66,0.0444532353772252,0.0,238.98,148.03,155.77
2011-03-31,883.83,62.43,0.03,0.0,126.9,94.34,99.94
2011-06-30,1081.9499999999998,93.22999999999999,0.0419253501220609,0.0,194.07000000000002,148.6,154.31
2011-09-30,1347.7500000000002,111.6,0.05010850856843523,0.0,206.07999999999993,162.57999999999998,168.63
2011-12-31,1395.7499999999995,128.05,0.05506690951405228,0.0,259.4000000000001,221.09000000000003,227.56000000000006
2012-03-31,1918.96,262.68,0.10000000000000002,0.0,391.62,375.98,404.21
2012-06-30,2442.04,364.52000000000004,0.145296556122449,0.0,532.48,512.1999999999999,611.47
2012-09-30,2856.42,325.12,0.12631720430107526,0.0,505.87,491.97000000000014,547.0300000000001
2012-12-31,3227.4300000000003,328.11,0.12812492678240903,0.0,697.5400000000002,476.01,586.3299999999999
2013-03-31,3023.53,368.2,0.14,0.09999999999999999,615.62,504.36,619.6
2013-06-30,4155.76,308.21,0.10935734244023594,0.006683816028739998,601.6899999999999,482.03,650.83
2013-09-30,3830.88,262.86,0.09235235874668626,0.0009801494777859276,469.57000000000016,401.9599999999999,528.01
2013-12-31,2511.9799999999996,171.32999999999993,0.060164505672609385,4.985020382101271e-05,540.2799999999997,267.70000000000005,419.77
2014-03-31,2650.13,209.72,0.07,0.03,520.22,334.11,490.16
2014-06-30,4357.38,366.88,0.12089351370100589,0.000382934443288247,676.22,543.66,632.31
2014-09-30,4151.9,294.04999999999995,0.0979434904956067,-0.00032471202700946265,539.81,416.3299999999999,489.6700000000001
2014-12-31,3757.880000000001,171.38,0.057563601815686684,0.04974795880851932,485.0100000000002,266.20000000000005,272.29999999999995
2015-03-31,3541.74,272.33,0.09,0.05,566.02,415.32,421.36
2015-06-30,4018.9800000000005,206.87,0.06907178631051752,-0.0005156742719347083,450.19000000000005,444.14000000000004,448.74
2015-09-30,5105.8,442.04,0.14874777473839607,-0.00039132039425122456,583.6499999999999,719.03,723.35
2015-12-31,4501.560000000001,105.6400000000001,0.03497740729199131,0.05080280762774053,408.74,266.5999999999999,270.77
2016-03-31,3737.69,111.89,0.03,0.1,483.27,362.26,366.2
2016-06-30,3797.1299999999997,177.46000000000004,0.04906445481251081,-0.0031184839582973417,472.26,314.78,318.59999999999997
2016-09-30,5792.050000000001,288.22,0.07984348217532074,-0.00019564728084906196,725.74,543.27,547.01
2016-12-31,5175.6900000000005,294.3299999999999,0.0843932790457621,0.046495799403601316,609.1199999999999,669.44,680.29
2017-03-31,7861.99,-68.93,-0.02,0.10000000000000002,830.8,375.62,386.09
