,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2004-06-30,,,,,,,
2004-09-30,81.76999999999998,12.019999999999996,0.3853740458015266,0.0,0.0,17.160000000000004,18.019999999999996
2004-12-31,94.66999999999999,13.620000000000005,0.3937755102040818,0.0,0.0,22.269999999999996,23.090000000000003
2005-03-31,97.7,17.91,0.4,0.0,0.0,27.99,28.79
2005-06-30,113.77999999999999,23.81,0.5307598274209012,0.0,0.0,31.73,32.58
2005-09-30,121.82000000000002,23.129999999999995,0.5136037008481109,0.0,0.0,30.840000000000003,31.839999999999996
2005-12-31,125.45999999999998,17.30000000000001,0.3853804017041999,0.5,0.0,22.5,23.450000000000003
2006-03-31,120.77,26.93,0.6,0.0,0.0,35.89,36.81
2006-06-30,118.53000000000002,16.25,0.3612783696155627,1.2,0.0,22.78,23.759999999999998
2006-09-30,122.80000000000001,17.18,0.38139827700463885,0.0017478462557984687,0.0,22.739999999999995,23.79
2006-12-31,121.94999999999999,20.39,0.4519888544891641,0.0017810637216395487,0.0,27.27000000000001,28.25
2007-03-31,125.96,21.01,0.47,0.0,0.0,28.65,28.83
2007-06-30,133.83000000000004,23.74,0.5251977653631285,0.0,0.0,31.050000000000004,33.43
2007-09-30,156.43,31.870000000000005,0.7071130253197598,0.0,0.0,42.480000000000004,43.38
2007-12-31,175.12,30.789999999999992,0.6851140489712316,0.0,0.0,41.03999999999999,42.2
2008-03-31,187.52,50.92,1.01,0.0,0.0,67.67,69.03
2008-06-30,200.24999999999997,38.349999999999994,0.7346084910944325,1.5,0.0,51.19,54.17999999999999
2008-09-30,229.98000000000002,47.38000000000001,0.8980182949140141,0.01580552185439818,0.0,63.13000000000001,64.78000000000002
2008-12-31,182.89,47.01999999999998,0.8857690423041321,0.2591326499830884,0.0,62.69,62.98999999999998
2009-03-31,219.41,23.27,0.43,0.0,0.0,31.02,32.85
2009-06-30,215.03,44.36,0.8199024101730001,0.0,0.0,59.14,60.910000000000004
2009-09-30,207.69,57.08,1.0435602598027423,0.84,0.0,76.12,77.83
2009-12-31,216.13,56.42,1.024798763319163,0.7054521759596916,0.0,75.19999999999999,76.96000000000001
2010-03-31,209.24,70.18,1.25,0.0,0.0,90.19,92.05
2010-06-30,223.06,60.73999999999998,1.080997555759242,0.7,0.0,86.77000000000001,88.69000000000001
2010-09-30,243.67000000000002,61.25,1.0868631940469378,0.8620619037909254,-174.01,87.51000000000002,89.43
2010-12-31,251.89999999999998,71.08000000000001,1.2609443494776829,1.5004320191158904,-68.83000000000001,101.52999999999997,103.66999999999996
2011-03-31,262.81,79.5,1.41,0.0,-57.95,113.57,115.64
2011-06-30,247.88,70.16,1.2376212748897502,0.89,-50.91,100.24000000000001,102.08
2011-09-30,236.92000000000002,62.34,1.0821283018867924,0.014202344196683805,-52.89,89.02999999999997,91.01000000000002
2011-12-31,210.76,3.0800000000000125,0.05226892319137086,1.6898965602283482,-40.03,39.52000000000004,41.52999999999997
2012-03-31,213.16,55.8,0.8099999999999999,0.64,-71.02,72.96,74.88
2012-06-30,259.86,88.71,1.2891218600788874,-0.0006938389500150693,-60.08,114.34000000000002,116.49000000000001
2012-09-30,304.33000000000004,105.97,1.5399664643883746,1.4499897796231234,119.53999999999999,136.57999999999998,138.76999999999998
2012-12-31,300.7499999999999,106.9,1.5524399798533774,0.0014009774432857326,-257.62,135.89999999999998,138.12
2013-03-31,367.75,90.63,0.11,1.0,-70.41,113.58,115.76
2013-06-30,434.80999999999995,90.84,0.10512150768722102,0.0565591607929186,-73.47,109.60000000000001,111.87999999999998
2013-09-30,448.78999999999996,45.66,0.0482472592788271,0.19776062796007315,129.73,61.69999999999999,69.15000000000003
2013-12-31,433.45000000000005,13.180000000000007,0.013711456035953567,0.01732012816778345,-86.97999999999999,20.090000000000032,28.20999999999998
2014-03-31,415.48,10.76,0.01,0.0,-62.56,17.41,26.12
2014-06-30,422.15999999999997,6.9399999999999995,0.00784180790960452,0.060000000000000005,-51.25999999999999,12.739999999999998,22.499999999999996
2014-09-30,589.0600000000001,3.8500000000000014,0.0035730858468677506,0.010719257540603239,-469.34,6.480000000000004,28.65
2014-12-31,650.7,93.15,0.08933304272013949,-0.0020008718395815098,356.66999999999996,97.21000000000001,111.05
2015-03-31,662.63,110.24,0.1,0.0,-17.4,139.33,154.63
2015-06-30,740.11,129.47000000000003,0.11882441283217224,0.060000000000000005,51.48,159.04,173.29000000000002
2015-09-30,798.8799999999999,150.27,0.13101133391455974,0.003003091067607191,68.89,184.45,201.02000000000004
2015-12-31,603.6100000000001,192.90999999999997,0.1621676474120331,0.002147231896241153,-141.47,243.15000000000003,263.43999999999994
2016-03-31,738.67,222.16,0.15,0.0,1.64,271.42,287.97
2016-06-30,653.0600000000001,256.48,0.1661139896373057,0.16,-103.54,306.03000000000003,322.9
2016-09-30,755.8000000000002,260.34000000000003,0.16910227611031423,-0.0004633413624184534,-49.69999999999999,297.78999999999996,312.57000000000005
2016-12-31,838.3899999999999,324.8599999999999,0.21375582794405168,-0.0020813906853161,-16.870000000000005,389.6099999999999,400.40999999999985
2017-03-31,809.3,328.13,0.22,0.0,-37.43,347.79,367.12
2017-06-30,-809.3,,,,37.43,-347.79,-330.71000000000004
