,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,3503.22,-237.58,-0.95,0.0,319.22,86.45,378.52
2000-06-30,3809.43,-152.77,-0.6105320865889586,0.0,300.85,20.129999999999995,297.6
2000-09-30,4042.7000000000007,-481.03,-1.9265931051894696,0.0,403.6099999999999,-168.29,77.33000000000004
2000-12-31,3811.449999999999,-3095.4,-12.383847352260522,0.0,-380.9799999999999,-2781.73,-2437.51
2001-03-31,3632.36,-337.53,-1.35,0.0,286.1,-22.41,215.95
2001-06-30,4549.02,-2342.95,-9.37012176923536,0.0,-163.01000000000002,-2059.63,-1788.97
2001-09-30,5663.669999999999,315.90999999999985,1.263869794508092,0.0,742.7199999999999,779.04,1060.4499999999998
2001-12-31,5791.43,-163.41999999999962,-0.6535532972836112,0.0,646.54,173.8699999999999,488.19000000000005
2002-03-31,5521.74,251.28,1.01,0.0,617.11,587.0,795.92
2002-06-30,5666.59,5820.1,22.028912372475453,0.0,658.08,164.0,454.22000000000014
2002-09-30,4662.1,-4.550000000000182,-0.015112093135954635,0.0,305.0999999999999,17.940000000000055,360.75
2002-12-31,5571.23,269.5100000000002,0.844300258508856,0.0,592.3400000000001,477.05999999999995,828.7699999999998
2003-03-31,4375.56,130.13,0.35,0.0,291.66,203.13,520.79
2003-06-30,5384.429999999999,303.58,0.8119545318300245,0.0,569.49,462.66999999999996,752.01
2003-09-30,4245.0,134.62000000000006,0.36004152517023574,0.0,369.82000000000005,287.4200000000001,733.26
2003-12-31,4337.750000000002,352.28999999999996,0.9413584323608002,0.0,664.0899999999999,511.72,419.19000000000005
2004-03-31,5059.61,278.35,0.07,0.5,303.21,381.7,605.34
2004-06-30,6100.88,340.52,0.09353886922940198,-0.046150934075700256,590.4200000000001,501.83,712.0400000000001
2004-09-30,5292.5700000000015,404.15,0.10666507008660632,0.01960314731354801,562.41,564.1200000000001,784.3800000000001
2004-12-31,14813.329999999998,194.5,0.05271781983047507,-0.013485518832453592,695.1399999999999,387.6999999999998,912.1599999999999
2005-03-31,7734.4,274.97,0.07,0.0,504.14,426.11,676.25
2005-06-30,9205.56,252.05999999999995,0.06217444927233743,0.07,460.13,383.28999999999996,653.8299999999999
2005-09-30,10306.41,262.95000000000005,0.06324274032253982,0.0017460909429060695,402.3399999999999,453.80000000000007,747.5
2005-12-31,11870.250000000004,472.01,0.11220611890743984,0.0008127806501094023,1060.09,742.72,1224.0
2006-03-31,9037.62,197.08,0.05,0.06,569.49,379.43,726.01
2006-06-30,9353.159999999998,178.31999999999996,0.04275119872136387,0.003301438465636662,596.44,420.22999999999996,815.1600000000001
2006-09-30,9863.07,-1795.63,-0.42986995064179756,8.669957213501897e-05,40.5,-1502.23,-1053.5900000000001
2006-12-31,12276.130000000005,-725.31,-0.1724079252775525,0.00042492799015632967,840.28,-370.52999999999986,112.93
2007-03-31,10699.05,238.31,0.06,0.0,776.01,579.35,1142.07
2007-06-30,12162.32,522.95,0.12365157764758426,0.0,858.3700000000001,910.61,1268.0200000000002
2007-09-30,11237.41,132.09000000000003,0.03105042816365367,0.0,738.8299999999999,519.23,994.73
2007-12-31,12454.720000000001,117.38,0.027872132023389035,0.0,810.0900000000001,527.0499999999997,1134.9699999999998
2008-03-31,11563.48,66.81,0.02,0.0,782.72,373.13,880.83
2008-06-30,10695.55,-468.27,-0.11664175758481543,0.07,232.07999999999993,-56.30000000000001,472.4599999999999
2008-09-30,10106.870000000003,-1997.44,-0.4746095293676268,0.003226670557338795,-1290.36,-1471.6799999999998,-926.41
2008-12-31,11332.939999999995,-257.02999999999975,-0.06096881318408236,0.00011897705769432314,1238.52,325.9799999999999,911.09
2009-03-31,11203.94,8.64,0.0,,543.03,594.03,1193.56
2009-06-30,11270.460000000001,47.5,0.008460990381189882,,445.57000000000005,603.45,1237.54
2009-09-30,9452.5,-1.8800000000000026,-0.0003464799115370443,0.0,724.14,522.3,1138.37
2009-12-31,9528.580000000002,-1828.37,-0.43284542672100373,0.0,435.7900000000002,-1249.03,-632.52
2010-03-31,9559.49,189.97,0.05,0.0,863.95,748.06,1282.39
2010-06-30,9380.960000000001,-256.24,-0.07733212615059606,0.0,912.73,352.44000000000005,941.6299999999999
