,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,12575.51,-9110.66,-0.41,0.0,0.0,-9103.04,-8765.72
2000-06-30,11910.499999999998,-1493.6399999999994,-0.06760910196806953,0.0,0.0,-1463.7699999999986,-1106.1100000000006
2000-09-30,12025.140000000003,88865.63,7.948490141938554,0.0,0.0,-16290.460000000001,-13178.679999999998
2000-12-31,15253.760000000002,-2000.5,-0.17890455690031173,0.0,0.0,-2023.9199999999983,-4667.0
2001-03-31,13019.57,2202.94,0.2,0.0,0.0,2227.57,2453.29
2001-06-30,11817.599999999999,-9249.65,-0.8269503782616284,0.0,0.0,-9243.53,-8989.779999999999
2001-09-30,11599.0,1350.6099999999997,0.12092679201558958,0.0,0.0,1368.54,1643.33
2001-12-31,12156.07,1280.54,0.11310243774289104,0.0,0.0,1266.87,1542.23
2002-03-31,12488.98,2512.71,0.21999999999999997,0.0,0.0,2518.49,2851.22
2002-06-30,12604.41,2283.3500000000004,0.20471814364290689,0.0,0.0,2337.9800000000005,2549.97
2002-09-30,12480.29,2679.5599999999995,0.2401546895107028,0.0,0.0,2685.16,2972.05
2002-12-31,12437.010000000002,533.54,0.047963681584585645,0.0,0.0,484.5500000000002,789.7800000000007
2003-03-31,11451.83,2208.62,0.2,0.26,0.0,2231.01,2501.78
2003-06-30,12152.12,-620.9699999999998,-0.054757534721128695,0.006815204862532712,0.0,-599.4900000000002,-389.0300000000002
2003-09-30,12701.41,4391.799999999999,0.38927560227111185,-0.0013453100679350675,0.0,4423.860000000001,4640.23
2003-12-31,12850.519999999997,2725.4700000000003,0.24421437531878526,-0.0028382309756902722,0.0,2729.4800000000005,2948.5600000000013
2004-03-31,16155.15,5194.67,0.45999999999999996,0.0,0.0,5235.15,5460.83
2004-06-30,13677.430000000002,1571.04,0.14164579918441672,0.47,0.0,1556.2600000000002,1814.58
2004-09-30,12956.839999999997,3794.4800000000005,0.33776013499757107,0.0059791204079646726,0.0,3883.8999999999996,4126.58
2004-12-31,15471.75,533.75,0.04763073353560592,-0.001184633232197086,0.0,445.5600000000013,772.7000000000007
2005-03-31,14714.55,4317.61,0.39,0.47000000000000003,0.0,5100.51,5392.7
2005-06-30,13425.010000000002,3301.13,0.2946377484990957,0.005589081524551101,0.0,3787.5499999999993,3934.4299999999994
2005-09-30,15275.289999999997,4618.870000000001,0.4114012703460889,0.0009685250921496203,0.0,6162.140000000001,6642.990000000002
2005-12-31,15660.010000000002,786.4599999999991,0.07004673654241715,2.0152454069892807e-05,0.0,2252.6399999999994,2628.6900000000005
2006-03-31,18788.12,4804.21,0.43,0.5,0.0,6523.97,6763.18
2006-06-30,19114.829999999998,3767.9000000000005,0.33845610940596893,-0.0017952216209663897,0.0,5597.19,5825.09
2006-09-30,20394.22,5078.48,0.4538811582503027,0.0025202326300666875,0.0,6483.290000000001,6700.73
2006-12-31,21365.089999999997,427.3600000000006,0.03824943262335786,-0.0007174456461648348,0.0,-4487.230000000001,-4287.68
2007-03-31,20255.67,4525.25,0.4,0.0,0.0,4552.21,4796.06
2007-06-30,20764.97,377.09000000000015,0.033844980152335426,0.51,0.0,412.09000000000015,798.46
2007-09-30,19832.949999999997,1075.92,0.09538521241966727,0.006241950759159734,0.0,1105.42,1548.7199999999993
2007-12-31,17997.22,428.6700000000001,0.03813712651769256,-0.0017925763697674104,0.0,1406.2399999999998,1888.460000000001
2008-03-31,20660.14,4277.65,0.38,0.0,0.0,6263.15,6763.1
2008-06-30,18061.83,1779.5500000000002,0.1586470646503335,0.3,0.0,2782.300000000001,3280.6399999999994
2008-09-30,19265.29,3882.6799999999994,0.34764858328269554,-0.0013063426207247067,0.0,4300.0,4838.08
2008-12-31,21884.77999999999,2331.870000000001,0.209021288732251,-0.00032990267452217284,0.0,2391.449999999999,2957.7999999999993
2009-03-31,19175.13,2650.93,0.24,0.0,0.0,3682.88,4245.03
2009-06-30,17641.600000000002,2570.36,0.23137370266734847,0.43999999999999995,0.0,4442.0,5184.88
2009-09-30,18441.589999999997,4250.37,0.38143414142821847,0.0013426004859918002,0.0,5600.3,6250.290000000001
2009-12-31,17393.18,2717.5,0.24300895221655966,0.001557575265042524,0.0,3889.5200000000004,4619.130000000001
2010-03-31,18870.35,3074.3,0.27,0.0,0.0,3907.98,4574.73
2010-06-30,18851.46,3373.42,0.30345356187923794,0.4,0.0,4765.040000000001,5517.93
2010-09-30,19107.660000000003,4992.089999999999,0.44510632606660416,0.003521604183864931,-20527.03,6514.359999999999,7242.700000000001
2010-12-31,21025.64,3473.4300000000003,0.3097691648494895,-9.05235884354915e-05,-7568.610000000001,5261.000000000002,6044.049999999999
2011-03-31,22934.6,5488.77,0.49,0.0,-6196.29,7278.86,7536.81
2011-06-30,23479.72,5241.109999999999,0.46892095717752663,0.51,-7360.099999999999,7449.38,8775.11
2011-09-30,26901.04,5492.360000000001,0.49092616062886507,0.0004920228340846692,-6773.43,7405.8200000000015,8214.15
2011-12-31,26592.14,805.1400000000012,0.07187323005653258,0.000658860226780345,-8662.64,670.5799999999981,1439.6399999999994
2012-03-31,27567.42,6376.56,0.57,0.0,-8094.86,8346.49,9163.19
2012-06-30,29835.67,7383.599999999999,0.6600088952454041,0.62,-7692.38,9553.070000000002,10283.38
2012-09-30,31510.23000000001,8899.43,0.7972713937012982,0.358624604955126,-7062.83,11399.449999999997,12113.900000000001
2012-12-31,32096.939999999988,867.4300000000003,0.07373904557398261,0.05008091855295688,-8429.39,2091.2800000000025,2870.510000000002
2013-03-31,31846.33,8546.39,0.61,0.0,-8741.09,10497.26,11220.24
2013-06-30,32378.799999999996,6447.310000000001,0.46010135590281265,0.44,-8567.07,8092.17,8833.53
