,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,20.75,153.19,1.7300000000000002,0.0,-1.85,-31.4,-25.95
2000-06-30,18.54,-9.370000000000005,-0.06124183006535951,0.0,-5.1899999999999995,-9.370000000000005,-3.9400000000000013
2000-09-30,23.130000000000003,5.319999999999993,0.029963792409816243,0.0,-10.66,24.210000000000004,29.6
2000-12-31,22.230000000000004,4.180000000000007,0.022355857031046214,0.0,-4.710000000000001,4.179999999999998,9.36
2001-03-31,28.19,0.34,0.0,0.0,-3.62,0.34,5.29
2001-06-30,22.389999999999997,-1.54,-0.012833333333333334,0.0,-3.17,-1.54,3.3899999999999997
2001-09-30,18.560000000000002,-5.2,-0.024375,0.0,0.79,-5.2,-0.23000000000000043
2001-12-31,33.36,7.87,0.053537414965986393,0.0,0.4400000000000004,7.87,12.73
2002-03-31,20.61,0.18,0.0,0.0,-0.73,0.18,3.99
2002-06-30,19.509999999999998,-0.32,0.0,-0.0,0.69,-0.32,3.51
2002-09-30,29.589999999999996,0.32,0.0,0.0,-1.13,0.32,4.199999999999999
2002-12-31,37.61,0.16000000000000003,0.0,0.0,-3.46,0.16000000000000003,4.010000000000002
2003-03-31,41.6,0.04,0.0,0.0,-5.58,0.04,3.88
2003-06-30,23.880000000000003,0.30000000000000004,0.0,0.0,-0.16000000000000014,0.29000000000000004,4.1499999999999995
2003-09-30,31.58,0.42,0.0,0.0,0.7200000000000006,0.39999999999999997,4.290000000000001
2003-12-31,31.400000000000006,-0.29000000000000004,-0.0,0.0,1.2499999999999996,0.08999999999999997,4.039999999999999
2004-03-31,9.86,-14.26,-0.06,0.0,2.57,-14.0,-10.06
2004-06-30,10.620000000000001,-13.549999999999999,-0.06334052499101042,0.0,4.050000000000001,-13.350000000000001,-9.409999999999998
2004-09-30,18.31,-14.430000000000003,-0.06490767045454547,0.0,5.840000000000001,-13.649999999999999,-9.650000000000002
2004-12-31,37.059999999999995,-9.89,-0.045532323038557455,0.0,10.61,-4.719999999999999,-0.7199999999999989
2005-03-31,76.41,0.82,0.0,0.0,24.84,5.3,9.27
