,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,805.04,-47.96,-0.96,0.0,128.09,-31.84,-0.93
2000-06-30,739.74,-77.22,-1.5421792618629173,0.0,113.47,-61.69,-28.82
2000-09-30,733.5000000000002,-87.98999999999998,-1.7583965848853025,0.0,143.99,-72.32,-38.870000000000005
2000-12-31,831.0099999999998,-94.85,-1.896876826180118,0.0,185.62999999999994,-74.4,-41.06999999999999
2001-03-31,666.65,8.95,0.18,0.0,157.66,26.84,64.22
2001-06-30,781.65,-57.61,-1.1484114262227703,0.0,118.54999999999998,-38.79,-1.75
2001-09-30,714.9600000000003,-65.39,-1.3072266549758877,0.0,101.57,-49.019999999999996,-12.449999999999996
2001-12-31,849.9299999999998,-133.18,-2.661122032115844,0.0,133.56,-104.19,-63.830000000000005
2002-03-31,617.97,-48.89,-0.98,0.0,95.82,-32.34,5.56
2002-06-30,682.22,-60.519999999999996,-1.2113956676720592,0.0,108.44,-39.66,-3.5999999999999996
2002-09-30,655.3999999999999,-41.110000000000014,-0.8220907520595272,0.0,111.97000000000003,-26.099999999999994,10.600000000000001
2002-12-31,843.6099999999999,5.590000000000003,0.11185399848202587,0.0,172.85999999999996,21.33,58.209999999999994
2003-03-31,762.57,-11.17,-0.22,0.0,145.42,1.6,36.64
2003-06-30,841.2199999999999,-27.28,-0.5463094928478543,0.0,137.84,-14.78,18.659999999999997
2003-09-30,800.3600000000001,-39.83,-0.798838783852836,0.0,138.97000000000003,-26.340000000000003,5.850000000000001
2003-12-31,861.9899999999998,-19.22,-0.38439999999999996,0.0,160.36,-4.919999999999995,46.74
2004-03-31,711.61,-20.38,-0.41,0.0,125.42,-9.95,22.43
2004-06-30,841.41,10.989999999999998,0.22237486687965916,0.0,154.40999999999997,21.229999999999997,51.93
2004-09-30,842.0,7.0,0.14644351464435149,0.0,166.44,17.42,45.95
2004-12-31,942.1799999999998,24.23,0.4881501831501832,0.0,182.56000000000006,34.55,64.78
2005-03-31,766.47,-14.18,-0.28,0.0,137.09,-2.76,28.19
2005-06-30,969.9200000000001,2.0299999999999994,0.040098765432098754,0.0,166.79999999999998,13.66,44.980000000000004
2005-09-30,1025.3299999999997,7.04,0.13776908023483367,0.0,165.14,18.659999999999997,50.05
2005-12-31,968.5,9.68,0.1906345733041575,0.0,163.94000000000005,20.84,51.610000000000014
2006-03-31,977.66,7.54,0.13,0.0,183.28,20.21,53.09
2006-06-30,1008.9499999999999,15.25,0.24089512944273803,0.0,189.65,29.22,61.42
2006-09-30,1075.0600000000002,19.17,0.29239275500476647,0.0,194.83999999999997,36.910000000000004,65.58
2006-12-31,1101.1000000000004,-16.7,-0.2512272367379256,0.0,180.87,0.37999999999999545,31.049999999999983
2007-03-31,980.25,-24.68,-0.35,0.0,147.15,-7.87,26.74
2007-06-30,1079.71,-61.77,-0.8788559861191441,0.0,133.48999999999998,-46.24,-7.809999999999999
2007-09-30,926.3499999999999,-28.569999999999993,-0.40736219787862965,0.0,169.88,-12.39,18.82
2007-12-31,1081.85,22.5,0.32101167315175105,0.0,215.99,37.71,72.97
2008-03-31,956.66,4.68,0.06,0.0,169.36,18.6,53.82
2008-06-30,981.91,-85.41,-1.2166666666666666,0.0,143.32,-72.08,-41.019999999999996
2008-09-30,953.3599999999999,-206.02999999999997,-2.9457490584460864,0.0,179.84999999999997,-121.12,-91.59
2008-12-31,856.4700000000003,-7.889999999999986,-0.11273341252333258,0.0,167.06000000000006,9.329999999999984,37.95
2009-03-31,794.58,5.13,0.07,0.0,175.03,19.69,47.44
2009-06-30,735.9599999999999,2.51,0.03613874345549738,0.0,153.02,14.959999999999997,37.56
2009-09-30,928.21,119.64,1.710754242614708,0.0,214.14000000000004,128.07,150.22
2009-12-31,687.5500000000002,3.6500000000000057,0.052130909646376004,0.0,192.55999999999995,-70.08,-46.06
2010-03-31,711.69,28.66,0.41,0.0,200.26,35.52,54.48
2010-06-30,699.6399999999999,30.709999999999997,0.4396749199932626,0.0,191.01999999999998,41.779999999999994,45.080000000000005
2010-09-30,716.9900000000002,34.190000000000005,0.4896814878153058,0.0,216.64999999999998,41.480000000000004,53.109999999999985
2010-12-31,760.23,12.799999999999997,0.18292591199699132,0.0,197.37,20.539999999999992,32.43000000000001
2011-03-31,806.87,30.34,0.43,0.0,230.95,38.6,50.28
2011-06-30,845.6899999999999,39.11,0.5575075593952483,0.0,238.66000000000003,47.26,59.209999999999994
2011-09-30,869.1100000000001,52.14999999999999,0.7462253289473684,0.0,267.64,60.86999999999999,74.10000000000001
2011-12-31,1204.5499999999997,106.13,1.5146116014578668,0.0,351.78,114.71000000000001,127.9
2012-03-31,1507.65,176.86,2.5300000000000002,0.0,425.98,213.4,226.59
2012-06-30,1654.3600000000001,170.2,2.432409381663113,0.0,418.74,205.67999999999998,220.82000000000002
2012-09-30,1559.58,173.76000000000005,2.482190392074038,0.0,432.5999999999999,199.32,215.82999999999998
2012-12-31,1564.12,125.07999999999993,1.787410435051865,1.0,377.94000000000005,171.17000000000007,187.38
2013-03-31,1440.59,83.64,1.19,0.0,366.16,123.12,139.86
2013-06-30,1419.39,91.2,0.6520247083047357,2.0,362.3999999999999,124.57999999999998,144.25
2013-09-30,1233.8000000000002,83.20000000000002,0.5932723608742831,0.505235777398853,370.9100000000001,117.46000000000004,148.59999999999997
2013-12-31,1111.3799999999997,24.75999999999999,0.1768571428571428,-0.0042701863354039915,351.75,38.39999999999998,48.450000000000045
2014-03-31,1164.88,84.69,0.61,0.0,363.1,110.18,130.04
2014-06-30,1191.0,80.71000000000001,0.5806825876662637,0.55,385.61,110.79999999999998,130.51000000000002
2014-09-30,1123.7799999999997,66.32999999999998,0.47801795192681124,0.49908392736113133,364.49,92.71000000000001,113.32999999999998
2014-12-31,1372.4300000000003,75.22999999999999,0.5440793588741204,-0.0037225587917208143,471.47,103.92000000000002,125.48000000000002
2015-03-31,1321.38,85.04,0.61,0.0,416.03,117.58,137.65
2015-06-30,1274.02,82.12999999999998,0.5895555422623675,0.61,420.11,109.08999999999999,135.33
2015-09-30,1345.88,58.440000000000026,0.4196303355347725,0.49981208723017617,452.5200000000001,80.53999999999999,100.85999999999996
2015-12-31,1571.1299999999997,105.14999999999998,0.7534330027814728,0.0023522426465647046,490.8899999999999,140.58000000000004,165.60000000000008
2016-03-31,1556.7,109.79,0.7800000000000001,0.0,486.26,145.64,176.28
2016-06-30,1761.09,142.57999999999998,1.0169354519158378,0.7,587.27,184.24,217.38000000000002
2016-09-30,1776.8199999999997,161.01,1.1490142242004935,0.7496166427446364,636.5699999999999,206.61,244.78000000000003
2016-12-31,1484.1600000000008,116.63999999999999,0.8340545639787178,-0.0029223329596133776,393.5,144.61,187.1099999999999
2017-03-31,1540.47,118.5,0.85,0.0,473.56,151.23,196.15
2017-06-30,-1540.47,,,,-473.56,-151.23,-105.54
