,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2006-09-30,,,,,,,
2006-12-31,362.4799999999999,6.68,0.07158009444242644,0.0,39.19,16.570000000000007,31.67
2007-03-31,373.46,17.67,0.18,0.0,51.05,27.74,44.42
2007-06-30,405.37000000000006,18.58,0.14863999999999997,0.38,45.019999999999996,26.8,43.81
2007-09-30,400.9999999999999,14.060000000000002,0.11178692108924668,0.18234148280659912,38.360000000000014,22.380000000000003,40.719999999999985
2007-12-31,431.3800000000001,-6.710000000000001,-0.05386467889908257,-0.005410550458715534,26.20999999999998,2.549999999999997,22.82000000000002
2008-03-31,421.54,2.29,0.02,0.2,24.2,11.59,31.57
2008-06-30,431.47999999999996,-8.39,-0.0687704918032787,0.012295081967213087,39.099999999999994,1.040000000000001,22.04
2008-09-30,468.78999999999996,26.6,0.207609756097561,0.009560975609756108,62.09,36.12,56.72
2008-12-31,447.68000000000006,12.369999999999997,0.09784606023729844,-0.002692424703376962,52.86,21.849999999999994,42.47000000000001
2009-03-31,300.12,10.97,0.09,0.0,41.51,18.97,39.18
2009-06-30,361.36,11.03,0.08523181818181819,0.11,49.32,17.730000000000004,38.410000000000004
2009-09-30,363.23,4.129999999999999,0.03161117489475698,0.12104252493190157,33.120000000000005,10.779999999999994,31.83
2009-12-31,372.49,2.34,0.01808219178082192,-0.0022054794520547432,28.61,8.660000000000004,29.540000000000006
2010-03-31,342.3,-6.8,-0.049999999999999996,0.0,19.83,-0.17,20.61
2010-06-30,370.7,-10.279999999999998,-0.07824355971896955,0.08,26.050000000000004,-3.34,17.68
2010-09-30,378.3699999999999,4.899999999999999,0.04022988505747126,-0.006295313881520768,30.229999999999997,11.62,33.93
2010-12-31,299.33000000000015,-19.06,-0.14642765685019207,0.0051421254801536425,-21.72,-12.95,9.370000000000005
2011-03-31,340.09,4.07,0.03,0.0,35.72,10.68,25.5
2011-06-30,342.12000000000006,2.3499999999999996,0.018302180685358257,0.0,29.260000000000005,9.04,23.92
2011-09-30,297.79999999999995,-9.81,-0.0868141592920354,0.0,17.319999999999993,-3.4499999999999993,11.839999999999996
2011-12-31,309.6600000000001,-13.71,-0.1042280701754386,0.0,26.340000000000003,-7.59,7.770000000000003
2012-03-31,317.0,14.97,0.12,0.0,31.49,20.96,36.03
2012-06-30,347.54999999999995,16.700000000000003,0.131828228607515,0.0,48.22,22.729999999999997,37.8
2012-09-30,443.59000000000015,21.71,0.17081678531285124,0.1,40.36,27.230000000000004,42.0
2012-12-31,391.40999999999985,11.43999999999999,0.09000925640234489,2.203905320213459e-06,25.810000000000002,16.709999999999994,31.230000000000004
2013-03-31,338.75,17.58,0.14,0.0,11.18,22.39,36.58
2013-06-30,330.75,-21.599999999999998,-0.16119402985074624,0.11999999999999998,18.98,-16.23,-0.519999999999996
2013-09-30,391.3900000000001,5.01,0.050606060606060606,-0.04242424242424242,34.900000000000006,10.309999999999999,27.439999999999998
2013-12-31,419.04999999999995,8.53,0.06272058823529413,0.032647058823529404,41.39,13.830000000000002,31.290000000000006
2014-03-31,386.67,17.24,0.13,0.0,40.47,22.58,39.15
2014-06-30,429.57,12.55,0.0968949311849614,0.1,36.61,17.950000000000003,34.43
2014-09-30,471.8699999999999,9.810000000000002,0.07679545454545456,0.09860671936758894,33.45,14.409999999999997,30.650000000000006
2014-12-31,471.68000000000006,2.8799999999999955,0.02237288135593217,0.0015308911973756028,34.33000000000001,13.049999999999997,29.08999999999999
2015-03-31,409.79,8.55,0.07,0.0,29.32,13.56,28.95
2015-06-30,425.44,23.919999999999998,0.18417000307976594,0.2,51.800000000000004,28.519999999999996,44.31
2015-09-30,467.5899999999999,22.630000000000003,0.172497277676951,0.17199782214156084,64.44999999999999,26.739999999999995,43.47
2015-12-31,428.8800000000001,20.82,0.15357218124341415,0.011956445381102817,40.96000000000001,24.80000000000001,39.88000000000001
2016-03-31,363.87,18.33,0.13,0.0,37.02,21.98,37.94
2016-06-30,360.5,6.950000000000003,0.04673655063291142,0.33,27.46999999999999,10.370000000000001,26.61
2016-09-30,403.40999999999997,21.439999999999998,0.14684931506849314,0.11388396454472204,40.19000000000001,24.68,41.25
2016-12-31,407.94000000000005,11.36,0.07628099173553719,0.008832644628099084,39.379999999999995,14.409999999999997,31.209999999999994
2017-03-31,368.61,17.19,0.11,0.0,24.29,20.43,37.32
2017-06-30,-368.61,,,,-24.29,-20.43,-2.8900000000000006
