,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,455.11,88.74,0.65,0.0,312.61,164.01,215.16
2000-06-30,354.76,26.840000000000003,0.19738709119224782,0.75,90.84999999999997,80.95000000000002,133.64000000000001
2000-09-30,344.40999999999997,5.570000000000007,0.040918695831613755,0.0008106139690709658,350.68,51.52000000000001,105.17000000000002
2000-12-31,478.52,85.46000000000001,0.6287169062484875,-0.0010812587793644812,313.5300000000001,161.38,217.14999999999998
2001-03-31,539.38,128.3,0.9499999999999998,0.0,363.66,215.49,272.85
2001-06-30,449.26,56.53999999999999,0.4160051936810214,0.8,282.2,122.44,181.79999999999995
2001-09-30,494.7299999999999,38.06999999999999,0.28008972230945217,5.2777829089612604e-05,321.12,96.24000000000001,167.30000000000007
2001-12-31,593.77,38.91,0.2868241539989305,-0.001549193171253418,411.94000000000005,110.40000000000003,212.2199999999999
2002-03-31,766.64,149.45,1.1,0.0,519.45,273.7,361.82
2002-06-30,589.66,53.19,0.19686389656533754,1.0,365.8499999999999,124.32999999999998,220.04000000000002
2002-09-30,559.9100000000001,43.70000000000002,0.16143135503775277,0.001908473383670254,355.48,104.11000000000001,203.46000000000004
2002-12-31,832.3600000000001,99.18999999999997,0.3617034700315456,0.012860956078621718,534.45,224.51999999999998,350.58000000000004
2003-03-31,799.37,121.88,0.41000000000000003,0.0,535.58,229.16,335.48
2003-06-30,503.44999999999993,24.460000000000008,0.08190105234385679,0.7,296.03,60.359999999999985,171.26999999999998
2003-09-30,1489.53,44.25,0.14626947898630568,0.008956398551865235,925.4799999999999,141.22000000000003,361.76
2003-12-31,1877.8799999999997,209.98,0.6814639139226603,0.01273768213628911,1150.03,350.89,588.4200000000001
2004-03-31,1993.14,160.07,0.37,0.0,1268.33,288.24,496.43
2004-06-30,1782.82,85.37,0.03826067470664929,0.49000000000000005,1081.25,178.65999999999997,382.72999999999996
2004-09-30,1918.5299999999997,160.26999999999998,0.07110645534988046,0.004928755649467528,1166.48,260.22,486.55000000000007
2004-12-31,2542.2199999999993,306.19,0.13763281359741536,-0.006444007429258197,1702.4500000000003,486.57000000000005,774.4499999999998
2005-03-31,2635.89,300.45,0.13,0.0,1702.94,487.1,761.65
