,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,22.93,-35.69,-4.46,0.0,3.19,-0.83,3.19
2000-06-30,19.479999999999997,25.879999999999995,3.2448929663608554,0.0,1.2200000000000002,-2.79,-0.25
2000-09-30,23.310000000000002,-2.039999999999999,-0.2547848101265822,0.0,3.34,-0.08000000000000007,3.27
2000-12-31,23.22,0.5700000000000003,0.07125000000000004,0.0,4.1899999999999995,1.62,4.95
2001-03-31,25.28,-3.44,-0.43,0.0,3.62,-0.17,3.14
2001-06-30,30.259999999999998,-3.7600000000000002,-0.47000000000000003,0.0,4.749999999999999,0.25,3.5799999999999996
2001-09-30,30.580000000000005,-0.7199999999999998,-0.08999999999999997,0.0,6.98,1.71,5.090000000000001
2001-12-31,31.849999999999994,-3.6400000000000006,-0.4565743944636678,0.0,5.4,-0.55,6.99
2002-03-31,34.94,-0.57,-0.07000000000000002,0.0,8.69,2.65,7.36
2002-06-30,16.54,7.3100000000000005,0.9110385756676559,0.0,3.2700000000000014,7.529999999999999,8.440000000000001
2002-09-30,26.21,4.01,0.49985116279069763,0.0,9.379999999999999,5.68,7.710000000000001
2002-12-31,18.290000000000006,-3.55,-0.44375,0.0,1.6600000000000001,-2.0,1.7899999999999991
2003-03-31,21.2,-2.93,-0.37,0.0,3.29,-1.32,1.56
2003-06-30,19.44,-4.15,-0.5216807909604521,0.0,2.45,-2.6500000000000004,0.07999999999999985
2003-09-30,25.560000000000002,-1.9800000000000004,-0.246953642384106,0.0,4.629999999999999,-0.6699999999999995,1.9600000000000002
2003-12-31,23.489999999999995,-8.209999999999999,-1.0268442385639838,0.0,-0.5399999999999991,-6.840000000000001,-3.98
2004-03-31,20.56,-10.45,-1.31,0.0,0.49,-9.11,-6.34
2004-06-30,27.48,-8.990000000000002,-1.1237500000000002,0.0,7.46,-8.870000000000001,-6.07
2004-09-30,24.660000000000004,0.7100000000000009,0.08870261612386557,0.0,6.419999999999999,1.2899999999999991,3.9700000000000006
2004-12-31,16.75999999999999,-7.780000000000001,-0.9713994718973973,0.0,-3.0199999999999996,-6.799999999999997,-4.35
2005-03-31,21.59,-1.87,-0.23,0.0,2.87,-1.73,0.53
2005-06-30,27.62,4.11,0.51375,0.0,7.8999999999999995,4.24,6.529999999999999
2005-09-30,28.940000000000005,4.74,0.5908022922636103,0.0,6.760000000000002,4.87,7.22
2005-12-31,30.709999999999994,195.88000000000002,24.48741398008479,0.0,2.4599999999999973,-7.39,-2.4799999999999986
2006-03-31,30.73,0.85,0.11,0.0,5.02,2.55,6.77
2006-06-30,34.47,2.48,0.29789789789789795,0.0,7.9,4.24,8.58
2006-09-30,31.36999999999999,-2.91,-0.34642857142857153,0.0,4.360000000000001,-1.13,3.2200000000000006
2006-12-31,33.77000000000001,-5.36,-0.5859109311740891,0.0,2.539999999999999,-3.6,0.8000000000000007
2007-03-31,33.06,-2.09,-0.21,0.07,5.3,-0.4,3.75
2007-06-30,37.25999999999999,8.629999999999999,0.8577217125382263,0.0007594291539245672,12.91,10.38,9.28
2007-09-30,34.040000000000006,-1.5999999999999996,-0.1587044534412955,0.00013952039862971338,7.399999999999999,-0.2400000000000002,1.540000000000001
2007-12-31,41.85000000000001,2.8999999999999995,0.28852040816326524,-0.00021137026239067422,13.32,4.369999999999999,6.23
2008-03-31,38.62,2.57,0.26,0.0,9.68,3.81,5.65
2008-06-30,43.970000000000006,5.74,0.5733092659446449,0.17,12.48,7.039999999999999,9.33
2008-09-30,37.55,-4.15,-0.4189903846153846,-0.0018414040778498872,3.8500000000000014,-2.719999999999999,-0.20000000000000107
2008-12-31,44.8,-2.9000000000000004,-0.29920634920634925,-0.003726379440665174,8.620000000000001,-1.370000000000001,1.3400000000000016
2009-03-31,42.3,0.15,0.01,0.0,7.32,1.59,4.52
2009-06-30,45.25,2.73,0.27489583333333334,0.05,10.079999999999998,4.15,6.9
2009-09-30,52.14999999999999,4.45,0.4431787175989086,0.0005480547584325189,13.060000000000002,5.85,9.03
2009-12-31,50.22,1.7300000000000004,0.1737637969094923,-0.000427137197979988,14.869999999999997,3.8000000000000007,7.080000000000002
2010-03-31,50.16,2.36,0.23999999999999996,0.0,12.61,4.37,7.63
2010-06-30,52.290000000000006,0.69,0.06786885245901639,0.25,11.09,2.3899999999999997,5.79
2010-09-30,62.760000000000005,6.2700000000000005,0.6256545064377683,-0.0036212446351931186,20.400000000000002,10.19,13.69
2010-12-31,51.03,-1.3200000000000003,-0.13200000000000003,-0.0005376344086021501,18.54,-0.07000000000000028,3.469999999999999
2011-03-31,46.53,-2.14,-0.21,0.0,8.26,-0.73,2.86
2011-06-30,55.379999999999995,1.9700000000000002,0.23176470588235296,0.15,12.750000000000002,4.41,8.14
2011-09-30,53.47,-1.9300000000000002,-0.193,0.02250000000000001,9.099999999999998,-0.43000000000000016,4.140000000000001
2011-12-31,57.59,1.2000000000000002,0.10666666666666669,0.016666666666666666,12.689999999999998,3.9299999999999997,8.45
2012-03-31,53.45,-3.31,-0.33,0.0,7.36,-1.83,2.3
2012-06-30,64.84,7.540000000000001,0.7486524822695035,0.0,18.17,10.74,14.759999999999998
2012-09-30,68.39999999999999,4.789999999999999,0.4779379157427937,0.0,16.04,7.68,11.760000000000002
2012-12-31,67.64000000000001,-4.71,-0.46990719257540603,0.0,13.829999999999998,-4.43,-0.17999999999999972
