,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2013-09-30,,,,,,,
2013-12-31,66.71000000000001,3.4999999999999982,0.015104808877928479,0.0,23.72,3.6799999999999997,5.259999999999998
2014-03-31,77.96,4.11,0.01,0.02,24.12,5.86,7.43
2014-06-30,78.17999999999999,5.31,0.011273885350318471,0.0025477707006369412,-129.1,7.179999999999999,8.719999999999999
2014-09-30,83.68,7.729999999999999,0.018029154518950437,-0.0019708454810495645,186.34,10.330000000000002,11.91
2014-12-31,82.05000000000001,4.850000000000001,0.011022727272727276,0.0005113636363636395,30.33,7.009999999999998,8.599999999999998
2015-03-31,72.67,3.55,0.01,0.0,27.7,5.22,6.74
2015-06-30,79.21,-2.9899999999999998,-0.0,,20.099999999999998,-2.5599999999999996,-0.7300000000000004
2015-09-30,70.91,3.8400000000000003,0.008727272727272728,,29.570000000000007,6.3100000000000005,8.42
2015-12-31,73.91999999999999,-8.13,-0.02179624664879357,0.0,8.569999999999993,-9.58,-7.38
2016-03-31,90.65,2.17,0.0,,26.43,3.66,5.86
2016-06-30,83.98999999999998,2.12,0.004941724941724942,,23.71,3.5,5.679999999999999
2016-09-30,79.34,1.2299999999999995,0.0022282608695652164,0.02,29.870000000000005,3.0199999999999996,5.32
2016-12-31,77.97,-3.9499999999999993,-0.0,,21.309999999999988,-3.7199999999999998,-1.42
2017-03-31,68.5,-4.68,-0.01,0.0,3.22,-4.64,-2.48
2017-06-30,-68.5,,,,-3.22,4.64,6.76
