,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,75.72,-90.09,-4.5,0.0,-36.05,-41.14,-27.14
2000-06-30,60.650000000000006,-146.77,-7.336641053787047,0.0,-4.670000000000002,-89.80999999999999,-76.27
2000-09-30,58.889999999999986,-260.27,-13.010096956530486,0.0,3.4499999999999957,-200.97000000000003,-188.41
2000-12-31,111.32,-184.28999999999996,-9.214229550057233,0.0,-14.649999999999999,-139.81,-118.23000000000002
2001-03-31,45.46,-73.8,-3.69,0.0,-12.96,-18.3,-8.03
2001-06-30,38.160000000000004,-99.61999999999999,-4.980425556452543,0.0,-14.899999999999999,-46.519999999999996,-40.01
2001-09-30,39.91,-104.09,-5.206187885121258,0.0,-24.1,-51.57000000000001,-43.220000000000006
2001-12-31,106.21000000000001,-2.3500000000000227,-0.11747480883298905,0.0,-10.170000000000002,46.510000000000005,54.260000000000005
2002-03-31,39.74,-50.35,-2.52,0.0,-4.74,-0.44,5.99
2002-06-30,35.74,-63.839999999999996,-3.192279534109817,0.0,-13.589999999999998,-13.700000000000001,-7.54
2002-09-30,28.11,-94.86000000000001,-4.741865582396556,0.0,0.2699999999999996,-42.68,-37.040000000000006
2002-12-31,18.08,-46.41999999999999,-2.389411672603436,0.0,-4.5,5.689999999999998,19.660000000000004
2003-03-31,84.01,-9.97,-12.46,0.0,-1.36,54.42,59.01
2003-06-30,47.769999999999996,-26.590000000000003,-33.237500000000004,0.0,7.45,24.010000000000005,28.07
2003-09-30,30.55000000000001,-58.14,-72.6780696937698,0.0,2.9000000000000004,-7.610000000000014,-3.569999999999993
2003-12-31,27.78,-86.39,-107.98630736098073,0.0,11.42,-34.66,-31.070000000000007
2004-03-31,34.01,2990.14,109.04,0.0,-1.06,-3.58,-0.4
2004-06-30,37.50000000000001,1.2200000000002547,0.03712578893881819,0.0,11.290000000000001,-9.54,-6.43
2004-09-30,98.26,21.409999999999854,0.6172633822030846,0.0,14.36,21.81,25.14
2004-12-31,76.25,-19.509999999999764,-0.5466627356126699,0.0,1.1000000000000014,4.120000000000001,7.310000000000002
2005-03-31,70.82,11.08,0.31,0.0,10.12,11.94,15.03
2005-06-30,53.290000000000006,-62.339999999999996,-1.6296449473273509,0.0,2.9800000000000004,-58.47,-56.04
2005-09-30,49.480000000000004,6.030000000000001,0.15731594074729166,0.0,7.040000000000001,7.270000000000003,9.7
2005-12-31,81.44,1.7099999999999937,0.0447931985294116,0.0,5.759999999999998,2.3900000000000006,5.059999999999999
2006-03-31,164.55,5.12,0.13,0.0,12.97,7.03,9.73
2006-06-30,151.97999999999996,7.010000000000001,0.18492992580379228,0.0,16.439999999999998,9.919999999999998,12.690000000000001
2006-09-30,169.53000000000003,3.799999999999999,0.009541745134965472,0.0,-3.66,7.289999999999999,10.030000000000001
2006-12-31,152.39000000000004,-8.19,-0.02116279069767442,0.0,7.219999999999999,-7.27,-4.6200000000000045
2007-03-31,89.2,-4.51,-0.01,0.0,11.86,-2.72,-0.16
2007-06-30,114.71,-4.6,-0.010098792535675083,0.0,8.010000000000002,-3.61,-0.9600000000000001
