,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2011-06-30,,,,,,,
2011-12-31,-132628.41,-17486.99,-3.8888661613293967,0.0,-24856.37,-22913.75,-19719.780000000002
2012-03-31,136113.1,9852.19,2.19,1.3,13399.38,12239.0,16156.4
2012-06-30,140378.99999999997,851.3500000000004,0.18850768063649978,0.005050221382396941,5953.85,1955.1399999999994,6057.710000000001
2012-09-30,147417.57,12909.91,2.8648049480275013,0.9471503934328065,15660.09,15236.84,19555.870000000003
2012-12-31,148107.89000000007,10387.819999999996,2.303565802100921,0.0015311173143269597,14030.650000000001,12754.439999999999,17229.979999999996
2013-03-31,145272.13,12074.99,2.68,2.45,14794.44,14824.8,18794.44
2013-06-30,112193.35999999999,4171.630000000001,0.9243687610099827,0.003993830027782264,9526.69,4935.32,9139.66
2013-09-30,143613.68,9609.97,2.1296361237115957,1.6197523619703909,15500.709999999995,11845.560000000001,16010.71
2013-12-31,157438.98000000004,7420.820000000003,1.645730590211198,-0.0030325476161290094,12386.190000000002,9295.989999999998,13694.0
2014-03-31,149011.76,6295.58,1.4,1.78,9720.06,7929.97,12152.38
2014-06-30,154628.47999999998,6085.17,1.3516319689841085,0.002074931994080475,10852.910000000002,6627.259999999999,11066.590000000002
2014-09-30,148247.37,7590.720000000001,1.6837463441599443,1.3724249064017093,11457.84,9443.05,13760.14
2014-12-31,128142.93000000005,-4935.4400000000005,-1.093042192653247,0.004947425088549006,-1667.670000000002,-4421.309999999998,-29.410000000003492
2015-03-31,101254.09,5631.15,1.25,1.0,9026.51,7574.5,11564.54
2015-06-30,112849.70000000001,8973.880000000001,1.9907779169231425,0.000622333538513715,13969.35,11241.82,15204.099999999999
2015-09-30,95515.49000000002,1207.2699999999986,0.2679886986712872,1.4993792279849654,6310.68,2410.959999999999,6586.9000000000015
2015-12-31,100734.38999999996,4690.200000000001,1.040868674551884,0.0006187140682932653,7965.68,6715.450000000001,10972.019999999997
2016-03-31,82983.88,4707.14,1.06,1.3,7617.87,6452.38,10579.58
2016-06-30,67212.69,4924.400000000001,1.1043617116265936,0.005349268976010969,8323.099999999999,6350.160000000001,10495.4
2016-09-30,92677.91999999998,6225.9,1.3937902334803094,1.052281159039075,9164.520000000002,8362.349999999999,12854.890000000003
2016-12-31,110161.71000000002,9744.19,2.1846909981903497,-0.003514409648641983,16932.01,11960.309999999998,16499.689999999995
2017-03-31,110548.28,13181.75,2.96,1.8,16297.21,15848.19,20854.05
2017-06-30,-110548.28,,,,-16297.21,-15848.19,-11004.72
