,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,3868.32,2559.63,33.99,0.0,393.46,2745.18,2975.61
2000-06-30,1268.9299999999998,-247.20000000000027,-3.281846369403618,0.0,332.41,-46.07999999999993,136.78999999999996
2000-09-30,1399.33,-438.8499999999999,-5.827660414820824,0.0,404.33000000000004,-239.0899999999997,-33.690000000000055
2000-12-31,1531.5100000000002,-45.74000000000001,-0.607334230567227,0.0,367.53999999999996,157.25,430.1300000000001
2001-03-31,1488.66,-168.97,-2.24,0.0,389.89,23.77,246.25
2001-06-30,1777.55,-287.03999999999996,-3.80823227560799,0.0,420.44000000000005,-78.94,147.63
2001-09-30,1836.7399999999998,-144.99,-1.9251584026622297,0.0,259.94999999999993,-16.760000000000005,213.14
2001-12-31,3677.830000000001,821.99,10.749586406624733,0.0,325.8900000000001,728.1800000000001,1076.76
2002-03-31,2283.62,67.68,0.72,0.0,398.09,169.36,371.07
2002-06-30,1910.3100000000004,-6.580000000000005,-0.07000000000000006,0.0,359.67,63.19999999999999,280.96999999999997
2002-09-30,2276.6099999999997,-161.08,-1.7077895579115825,0.0,251.97000000000003,-96.33000000000001,119.05000000000007
2002-12-31,1781.7300000000005,-585.28,-6.234923970463766,0.0,377.1299999999999,-643.51,-350.64000000000004
2003-03-31,3348.4,95.06,1.01,0.0,584.99,278.26,515.21
2003-06-30,2824.32,144.47,1.5380056777856634,0.0,425.89,269.79999999999995,537.9200000000001
2003-09-30,3106.3599999999997,1502.76,15.999746310889691,0.0,463.87,19.860000000000014,287.2299999999998
2003-12-31,2879.49,47.809999999999945,0.05074520976481755,0.0,456.9100000000001,133.66000000000008,378.0200000000002
2004-03-31,2665.02,116.85,0.12,0.0,494.82,262.92,528.38
2004-06-30,3512.6699999999996,137.37,0.14589686098654708,0.0,626.4000000000001,309.04,539.16
2004-09-30,4446.240000000001,153.44000000000003,0.16184859932296522,0.0,750.3199999999999,298.01,559.71
2004-12-31,4033.42,138.89999999999992,0.1473982728337236,0.0,652.0500000000002,266.75,556.56
2005-03-31,4235.73,137.6,0.14,0.0,739.52,287.36,575.98
2005-06-30,4221.110000000001,114.72,0.11821179454660748,0.0,753.8700000000001,298.29999999999995,595.4200000000001
2005-09-30,5320.16,179.93,0.18731868131868132,0.0,836.49,416.48,703.9099999999999
2005-12-31,5081.669999999998,151.45000000000005,0.15827394209354123,0.1,887.1599999999999,302.2199999999999,643.4700000000003
2006-03-31,8425.19,1438.39,1.49,0.0,823.77,1804.97,2108.32
2006-06-30,9155.109999999999,195.3499999999999,0.2032728585943907,0.2,850.69,379.66999999999985,669.6299999999997
2006-09-30,6852.940000000002,163.08999999999992,0.16973130457527974,0.1999683887735623,856.7799999999997,364.6600000000003,642.1300000000001
2006-12-31,6568.41,193.46000000000004,0.2002359455154777,0.0021895070621343413,793.6200000000003,374.50999999999976,599.3000000000002
2007-03-31,6286.82,143.8,0.15,0.22,778.38,349.39,568.01
2007-06-30,4475.360000000001,122.0,0.12392776523702032,0.005760722347629773,765.6899999999999,313.1,539.6600000000001
2007-09-30,4478.1900000000005,265.36999999999995,0.26978142590884274,0.17982190259239036,714.01,393.04999999999995,641.5799999999999
2007-12-31,4409.089999999998,42.460000000000036,0.04367170475742207,-0.004687626105613245,775.6300000000001,114.93000000000006,321.7800000000002
2008-03-31,4221.96,144.2,0.15,0.0,855.29,323.7,526.6
2008-06-30,3662.54,124.5,0.12973576479344998,0.18,744.1100000000001,316.84,520.9799999999999
2008-09-30,4075.9300000000003,53.920000000000016,0.05515343128138369,0.003312920109460946,642.02,182.06000000000006,409.8000000000002
2008-12-31,4325.879999999999,-60.89999999999998,-0.06282668500687755,0.09845817181443044,712.0099999999998,1.4700000000000273,264.6899999999998
2009-03-31,3805.51,43.38,0.05,0.0,531.62,155.54,373.42
2009-06-30,4405.08,122.32,0.1328762824381412,0.1,794.9599999999999,280.86,504.32
2009-09-30,4493.49,139.48000000000002,0.14625335867356973,0.0034740881519831693,725.29,288.19000000000005,520.8799999999999
2009-12-31,4601.370000000001,149.83999999999997,0.15806601907608453,0.07939563096127641,878.02,321.6,559.72
2010-03-31,4532.64,147.8,0.16,0.0,840.56,308.99,561.63
2010-06-30,4336.56,144.59999999999997,0.15330369357045143,0.17,856.54,307.03,562.63
2010-09-30,3750.369999999999,192.86,0.20269257717512262,0.0014765745799059811,777.19,370.32000000000005,608.75
2010-12-31,3646.790000000001,142.86,0.15011080685219388,3.6935617397915844e-05,869.9099999999999,270.05000000000007,480.91999999999985
2011-03-31,3518.95,162.39,0.17,0.4,781.05,336.21,570.89
2011-06-30,5771.929999999999,264.0,0.2724266516569338,0.005709768604550129,1067.19,551.28,819.2800000000001
2011-09-30,6239.160000000002,259.18000000000006,0.2684157708184431,0.21855979165313005,993.3799999999999,574.94,857.0799999999999
2011-12-31,4434.239999999998,150.20999999999992,0.15456292325731644,0.003984524534558102,938.3900000000003,335.3299999999999,631.2199999999998
2012-03-31,4319.26,268.17,0.28,0.3,830.77,494.54,781.46
2012-06-30,3704.7799999999997,232.34999999999997,0.23675077918964274,0.00723297770318865,821.28,448.2,725.73
2012-09-30,4104.71,284.4200000000001,0.28987693326878494,0.19992760780516763,866.2300000000002,543.71,847.2999999999997
2012-12-31,4970.82,286.3499999999999,0.2913510814065285,0.0008444258790802766,1173.8199999999997,561.7099999999998,879.3700000000003
2013-03-31,5306.69,353.55,0.36,0.4,1267.07,701.89,1032.31
2013-06-30,5535.64,356.98999999999995,0.35671869282517515,0.007465214250194697,1404.55,732.7500000000001,1080.12
2013-09-30,5935.980000000001,393.05999999999995,0.3953394345777456,0.34737432933957485,1349.48,763.6299999999999,1114.1800000000003
2013-12-31,5655.25,364.5500000000002,0.36500936552804564,0.0033847064378687937,1361.1700000000005,631.9000000000001,991.52
2014-03-31,6364.45,403.29,0.4,0.45,1327.38,739.19,1114.95
2014-06-30,6562.410000000001,411.85999999999996,0.4092579279887137,-0.0008348310126970906,1385.88,781.6599999999999,1144.55
2014-09-30,5553.48,350.90999999999997,0.3490863248889422,0.4194924027160791,1212.2199999999998,636.71,1019.54
2014-12-31,5715.470000000001,318.08000000000015,0.3171927176681446,-0.002105461748891608,1301.0899999999997,592.73,966.2700000000004
2015-03-31,4801.18,273.16,0.27,0.43,1158.11,553.49,931.13
2015-06-30,4914.77,275.22999999999996,0.27101916519265484,0.0016231149364502597,1082.1500000000003,515.6700000000001,900.9
2015-09-30,4971.15,242.10000000000002,0.2419499297903832,0.293589758907157,1046.8999999999996,468.9599999999998,854.1099999999999
2015-12-31,3899.33,17.200000000000045,0.017036239151159524,0.006501841240944935,743.81,96.24000000000001,513.8000000000002
2016-03-31,4126.61,114.15,0.11,0.2,860.44,307.56,762.06
2016-06-30,3265.87,88.15,0.08714780029658922,-0.005185817642565051,746.25,252.06,670.1400000000001
2016-09-30,3288.2800000000007,10.099999999999994,0.009985875706214684,0.10998587570621468,570.8600000000001,105.35000000000002,532.3799999999999
2016-12-31,3202.9699999999993,-141.22,-0.1388788985670132,0.0016549592582185888,457.7999999999997,-145.97000000000003,267.8800000000001
2017-03-31,2971.3,35.12,0.030000000000000002,0.08,635.35,113.01,558.04
2017-06-30,-2971.3,,,,-635.35,-113.01,380.4100000000001
