,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,405.07,84.89,2.36,0.0,186.72,121.06,137.08
2000-06-30,346.01000000000005,58.02999999999999,1.6119444444444444,4.5,152.29,82.69,99.48999999999998
2000-09-30,369.67999999999995,-74.26999999999998,-2.0663612527312445,-0.007210487982518078,149.07999999999998,-49.34,-31.72
2000-12-31,378.0,48.50999999999999,1.3456597814953908,0.013334563732594755,163.79000000000002,71.11000000000001,89.54999999999998
2001-03-31,417.34,79.67,2.21,0.0,183.87,113.7,129.27
2001-06-30,372.68,63.14,1.7552398291436173,4.5,163.2,89.85000000000001,106.26999999999998
2001-09-30,407.3600000000001,71.07,1.9737974565176732,0.004304421745473524,178.10999999999996,102.39999999999998,119.72999999999999
2001-12-31,406.1099999999999,54.629999999999995,1.5177825779300584,-0.0016798652045017582,174.47000000000003,81.47000000000003,100.21000000000004
2002-03-31,412.64,85.65,2.38,0.0,184.76,114.75,131.6
2002-06-30,423.59000000000003,90.85999999999999,2.52231601608974,4.5,191.59000000000003,121.47999999999999,139.82000000000002
2002-09-30,418.3299999999999,60.81,1.6885972526546438,-0.0012882373579796722,164.48000000000002,82.54999999999998,110.65999999999997
2002-12-31,437.71000000000004,72.94999999999999,2.026715441389757,-0.0022428700676921693,186.99,103.97000000000003,124.38
2003-03-31,443.6,94.23,2.62,0.0,193.4,125.53,143.12
2003-06-30,432.40999999999997,83.58999999999999,2.3222056011697223,5.25,190.55999999999997,112.09,130.38
2003-09-30,443.1600000000001,79.32,2.2024764719607997,0.0026318780959920436,187.28000000000003,108.98000000000002,128.44
2003-12-31,477.91999999999985,81.24000000000001,2.256800047284119,-0.002352906408736262,198.68999999999994,116.09999999999997,136.06
2004-03-31,439.99,84.27,2.34,0.0,192.26,112.66,130.06
2004-06-30,468.85,86.98,2.4176630656934304,8.45,202.0,116.77000000000001,138.13
2004-09-30,497.26999999999987,82.00999999999999,2.279674642659717,-0.0005775776313844087,201.66999999999996,112.44999999999999,140.10000000000002
2004-12-31,463.0500000000002,54.35000000000002,1.5088878775072334,0.010667977973883086,171.96000000000004,79.06,107.75999999999993
2005-03-31,529.54,89.26,2.48,0.0,211.35,119.64,144.9
2005-06-30,451.45000000000005,61.219999999999985,1.7005555555555552,8.45,174.60999999999999,81.86,109.46000000000001
2005-09-30,466.96000000000004,61.85000000000002,1.718621956388641,-0.0027857580181793926,176.76000000000005,81.94,110.82999999999998
2005-12-31,535.8799999999999,59.73999999999998,1.6599933840555732,-9.47537803419078e-06,194.62,85.35000000000002,115.69999999999999
2006-03-31,545.73,89.6,2.49,0.0,221.86,121.17,149.67
2006-06-30,514.3499999999999,87.07,2.419843210505462,8.0,208.64,118.49,144.81000000000003
2006-09-30,512.6100000000001,72.17000000000002,2.0040777206236946,0.0066439439897257755,190.15999999999997,99.47999999999999,127.37
2006-12-31,543.6999999999998,70.22,1.9499442111201655,-6.458915176157487e-05,209.12,101.19,129.41999999999996
2007-03-31,587.91,105.22,2.92,0.0,240.08,150.67,174.18
2007-06-30,507.66999999999996,86.34,2.3978325328878682,8.5,211.06999999999996,122.82000000000002,147.37
2007-09-30,546.1500000000001,97.80000000000001,2.7174177495161733,-0.0041257761489689,232.5,138.39,163.84999999999997
2007-12-31,587.3499999999999,92.80000000000001,2.578857023236341,-0.0012083709566060314,244.52999999999997,131.24,158.32000000000005
2008-03-31,634.14,118.28,3.29,0.0,261.36,168.58,192.06
2008-06-30,595.67,94.47999999999999,2.6244444444444444,8.72,233.3,134.65,158.99
2008-09-30,573.72,93.47000000000003,2.597491101459688,-0.00370179277013912,211.99999999999994,113.40999999999997,138.59999999999997
2008-12-31,529.0699999999999,69.04999999999995,1.9172377957791504,0.007416401785450914,195.95000000000005,98.09000000000003,123.29000000000008
2009-03-31,637.83,114.25,3.17,0.0,253.55,152.55,174.55
