,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,1340.42,-9.67,-0.08,0.0,248.89,144.73,202.04
2000-06-30,1428.8199999999997,6.9399999999999995,0.05084249084249084,0.0,245.83000000000004,-10.389999999999986,46.51000000000002
2000-09-30,1198.3700000000003,-208.85000000000002,-1.8261295963701676,0.0,224.10000000000002,-135.73,-81.87
2000-12-31,1052.5300000000002,-106.16,-0.9288248253288851,0.0,151.2299999999999,-426.21000000000004,-369.68
2001-03-31,825.6,0.36,0.0,,169.01,20.49,73.51
2001-06-30,1056.35,78.44,0.6868477157360405,,214.78000000000003,140.98,191.36
2001-09-30,1093.9199999999998,48.33,0.4219798631322269,0.0,231.94,69.28999999999999,116.61000000000001
2001-12-31,1022.8000000000002,-10.670000000000002,-0.09345182895414736,0.0,268.5,69.62,115.07
2002-03-31,1138.42,78.61,0.69,0.0,285.76,126.14,169.2
2002-06-30,1245.1,90.08999999999999,0.790356846473029,0.0,249.93000000000006,117.99,160.3
2002-09-30,993.2800000000002,-43.06999999999999,-0.37711533869298736,0.0,137.42999999999995,8.490000000000009,49.5
2002-12-31,1069.4099999999999,-216.67000000000002,-1.9039543057996486,0.0,144.88,-39.22,0.4700000000000273
2003-03-31,1129.52,-39.24,-0.34,0.0,130.77,-5.17,34.79
2003-06-30,1242.3899999999999,1.9500000000000028,0.01725663716814162,0.0,173.60999999999999,38.33,77.28999999999999
2003-09-30,1144.5100000000002,108.63999999999999,0.9440336370007006,0.0,141.44,4.380000000000003,45.61999999999999
2003-12-31,1146.3400000000001,-76.72,-0.7143389199255121,0.0,133.55,-45.68,-3.9099999999999966
2004-03-31,1064.15,-7.44,-0.07,0.0,90.77,19.21,60.1
2004-06-30,1354.7799999999997,45.78,0.4059780907668232,0.0,140.64999999999998,78.55000000000001,121.58000000000001
2004-09-30,1394.77,-3.3400000000000034,-0.02958285714285717,0.0,127.08000000000001,30.570000000000007,69.72999999999999
2004-12-31,1342.9499999999998,-4.84,-0.04172413793103448,0.0,138.81,29.20999999999998,64.15
2005-03-31,1323.15,39.86,0.35,0.0,179.64,70.48,112.18
2005-06-30,1721.65,81.63,0.7122215820232117,0.0,216.28000000000003,125.02,161.61
2005-09-30,2156.96,61.89999999999999,0.5400512568842357,0.0,239.69,131.45,168.95
2005-12-31,2234.75,30.640000000000015,0.25338877727421405,0.0,177.72000000000003,64.48000000000002,116.34000000000003
2006-03-31,2219.87,53.74,0.38,0.75,242.23,121.72,168.02
2006-06-30,2115.63,54.87,0.38395359543320134,0.007803148881318489,219.07000000000002,95.36000000000001,150.27
2006-09-30,2649.55,99.41000000000001,0.6977146428228055,-0.002255286688020884,308.19,156.59,220.62999999999994
2006-12-31,2657.0099999999993,135.39000000000001,0.9343766925832095,0.012522273587265185,357.78999999999996,174.05,223.74
2007-03-31,2798.62,83.84,0.55,1.15,265.96,159.54,206.96
2007-06-30,3228.8500000000004,103.31,0.678981031258349,-0.0021305710052703744,273.26000000000005,174.82000000000002,223.74999999999997
2007-09-30,2277.7599999999993,59.51999999999998,0.39089633923865885,0.0008380407515914525,193.39,109.25999999999999,153.24000000000007
2007-12-31,2251.01,59.49000000000004,0.3905634308858115,0.0003999663695578028,239.93999999999994,73.86000000000001,123.64999999999998
2008-03-31,2741.95,43.49,0.29,0.8,237.7,89.07,138.82
