,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,13.04,0.96,0.08,0.0,3.43,3.11,3.98
2000-06-30,10.830000000000002,-3.42,-0.2919512195121951,0.0,1.9199999999999995,-2.44,-1.7799999999999998
2000-09-30,15.039999999999996,-2.4400000000000004,-0.20416326530612244,0.0,2.3000000000000007,-1.35,-0.6900000000000002
2000-12-31,17.050000000000004,4.800000000000001,0.4800000000000001,0.0,4.08,5.949999999999999,6.6
2001-03-31,13.13,0.86,0.07,0.0,2.16,1.85,2.49
2001-06-30,11.78,-0.75,-0.06818181818181818,0.0,0.79,0.1299999999999999,0.7799999999999998
2001-09-30,11.739999999999998,-0.88,-0.06857142857142857,0.0,2.62,-0.16999999999999993,0.48
2001-12-31,20.690000000000005,4.38,0.36398891966759,0.0,7.24,4.92,5.619999999999999
2002-03-31,15.4,4.33,0.36,0.0,5.36,4.76,5.4
2002-06-30,13.49,0.8899999999999997,0.07501915708812258,0.0,5.6499999999999995,1.3200000000000003,1.9699999999999998
2002-09-30,29.6,0.41000000000000014,0.034227353463587934,0.0,10.090000000000002,0.54,7.8500000000000005
2002-12-31,21.729999999999997,2.0,0.16775884665792923,0.0,0.9699999999999989,-0.7199999999999998,2.089999999999998
2003-03-31,19.18,3.31,0.28,0.0,8.84,3.97,6.61
2003-06-30,20.71,1.5699999999999998,0.131905737704918,0.0,-1.62,2.8799999999999994,5.499999999999999
2003-09-30,19.060000000000002,2.1100000000000003,0.17507868383404865,0.0,12.040000000000003,4.18,6.789999999999999
2003-12-31,32.03999999999999,4.33,0.3595583038869258,0.0,18.169999999999998,8.290000000000001,10.880000000000003
2004-03-31,23.99,2.16,0.18,0.0,5.48,4.68,7.01
2004-06-30,23.52,-2.17,-2.17,0.0,23.78,-6.34,-3.92
2004-09-30,29.699999999999996,1.15,0.10087719298245615,0.0,19.999999999999996,4.5,6.98
2004-12-31,35.870000000000005,3.4300000000000006,0.28520787746170684,0.0,-9.909999999999997,5.6899999999999995,8.169999999999998
2005-03-31,33.07,-3.52,-0.29,0.0,7.8,-4.03,-3.4
2005-06-30,30.409999999999997,-3.0500000000000003,-0.12534246575342467,0.20000000000000004,9.559999999999999,-2.45,-1.77
2005-09-30,52.470000000000006,7.91,0.3541791044776119,-0.017910447761194003,1.3599999999999994,-1.4799999999999995,5.02
2005-12-31,13.200000000000003,2.58,0.10530612244897959,0.017687074829931947,4.25,2.58,3.19
2006-03-31,11.14,0.66,0.029999999999999995,0.0,2.19,0.66,1.26
2006-06-30,10.509999999999998,0.58,0.02338709677419355,0.1,1.7200000000000002,0.58,1.1900000000000002
2006-09-30,11.64,1.47,0.05966789667896679,-0.0006642066420664114,2.84,1.47,2.26
2006-12-31,11.649999999999999,-0.25,-0.010162601626016262,-0.00014781966001479197,3.08,0.8500000000000001,1.5300000000000002
2007-03-31,11.4,0.56,0.02,0.0,2.85,1.04,1.71
2007-06-30,7.290000000000001,-2.26,-0.09305882352941178,0.06,-1.07,-2.74,-1.98
2007-09-30,9.91,-0.6100000000000001,-0.026406926406926413,-0.003079777365491643,1.2699999999999998,-0.6100000000000001,0.32
2007-12-31,11.93,2.0300000000000002,0.0725,0.010500000000000008,4.03,2.37,3.31
2008-03-31,11.47,0.41,0.02,0.0,3.47,0.86,1.76
2008-06-30,9.53,-0.29,-0.024166666666666666,0.0,1.6699999999999995,-0.29000000000000004,0.6300000000000001
2008-09-30,9.89,-0.53,-0.025853658536585368,0.0,2.0600000000000005,-0.42999999999999994,0.33000000000000007
2008-12-31,11.350000000000001,0.95,0.03518518518518518,0.0,3.9400000000000004,1.46,2.6299999999999994
2009-03-31,10.33,0.28,0.01,0.0,3.17,0.49,1.36
2009-06-30,8.409999999999998,-0.67,-0.03435897435897436,0.02,0.4500000000000002,-0.88,0.04999999999999982
2009-09-30,8.560000000000002,-1.94,-0.08326180257510729,0.0032618025751072967,1.96,-1.94,-0.8999999999999999
2009-12-31,14.959999999999997,1.9500000000000002,0.10263157894736843,-0.004526315789473686,7.33,1.9500000000000002,2.75
2010-03-31,10.23,-0.82,-0.03,0.0,3.1,-0.81,0.09
2010-06-30,10.45,-0.21000000000000008,-0.008155339805825246,0.0,2.8800000000000003,-0.19999999999999996,0.7000000000000001
2010-09-30,9.3,-0.11999999999999988,-0.005217391304347822,0.0,2.1799999999999997,-0.1399999999999999,0.78
2010-12-31,11.629999999999999,1.16,0.0,,4.539999999999999,1.69,2.5999999999999996
2011-03-31,10.77,0.08,0.0,,3.46,0.31,1.13
2011-06-30,8.25,-0.33,-0.0132,,1.25,-0.56,0.2100000000000002
2011-09-30,8.690000000000001,-0.5,-0.02,0.0,1.6799999999999997,-0.5,0.30999999999999983
2011-12-31,11.719999999999999,1.67,0.07260869565217391,0.0,4.36,2.12,3.0000000000000004
2012-03-31,10.89,1.22,0.05,0.02,3.54,1.46,2.23
2012-06-30,19.82,8.399999999999999,0.34927234927234924,-0.00029106029106029365,6.170000000000001,10.91,11.77
2012-09-30,10.369999999999997,0.8100000000000005,0.006989453499520618,0.015849472674976033,2.9399999999999995,1.0900000000000016,2.039999999999999
2012-12-31,10.850000000000001,0.75,0.006037567084078712,0.001341681574239716,3.1799999999999997,1.0,2.0100000000000016
2013-03-31,11.47,0.03,0.0,,2.43,0.28,1.3
2013-06-30,20.78,-1.59,0.0,,-0.16000000000000014,-2.1,2.0999999999999996
2013-09-30,50.22,-1.2599999999999998,0.0,,2.61,-0.21999999999999997,10.19
2013-12-31,50.94,-18.04,-0.03459252157238734,,13.84,-14.04,-8.44
2014-03-31,45.88,-3.02,0.0,,10.26,-2.09,6.16
2014-06-30,45.37,-3.8000000000000003,-0.005571847507331379,,7.99,1.65,10.84
2014-09-30,62.28999999999999,30.68,0.05143336127409891,0.0,4.739999999999998,32.919999999999995,36.12
2014-12-31,17.439999999999998,-2.759999999999998,-0.003924170616113741,0.0,3.700000000000003,-2.7199999999999953,-1.5799999999999983
