,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2008-03-31,858.42,303.16,0.09,0.0,589.87,513.46,699.8
2008-06-30,874.63,307.67,0.09066450567260939,0.0,586.16,487.52,676.74
2008-09-30,936.5000000000002,358.01,0.09977158251104414,0.0,602.97,521.3699999999999,720.06
2008-12-31,969.2399999999998,389.57000000000005,0.10611001096870606,0.15,649.3699999999999,575.8200000000002,779.27
2009-03-31,956.51,305.77,0.08,0.2,650.91,564.77,754.21
2009-06-30,1012.8599999999999,398.1,0.10180573117194937,0.004514327929873455,725.7600000000001,631.77,828.9300000000001
2009-09-30,1034.04,484.7600000000001,0.12234925923121578,0.1126102880346842,736.25,651.8,858.1400000000001
2009-12-31,1063.67,405.0,0.10165471282543626,0.0017098699196174641,736.98,607.8900000000001,613.5899999999997
2010-03-31,1068.79,516.68,0.13,0.17,769.89,668.29,880.1
2010-06-30,1105.69,540.8100000000001,0.1380804546615098,-0.0025101746734102646,796.4,695.23,802.42
2010-09-30,1123.33,508.78999999999996,0.12668750159613862,0.1542106491531243,766.4099999999999,668.01,831.8899999999999
2010-12-31,1121.9699999999998,496.6099999999999,0.1251822443271333,-0.0039530302956855235,768.25,666.28,827.1600000000003
2011-03-31,1110.17,511.47,0.13,0.2,796.87,685.29,892.57
2011-06-30,1153.5,545.9300000000001,0.13939956497068282,-0.000923746198949497,818.4799999999999,726.1000000000001,939.84
2011-09-30,1188.46,553.3199999999999,0.13740935730604947,0.15548841281929587,837.7200000000003,755.3199999999999,973.74
2011-12-31,1182.96,502.2499999999998,0.12598025528048196,-0.0035172766295783445,770.0799999999999,686.8200000000002,900.8800000000001
2012-03-31,1331.47,665.93,0.17,0.25,827.01,837.77,1049.78
2012-06-30,1256.99,567.43,0.1426212135953817,0.0038547258755613927,870.1300000000001,769.71,988.44
2012-09-30,1383.27,628.1400000000001,0.1585956486704271,0.21886745860518314,880.4100000000001,902.6399999999999,1126.0600000000002
2012-12-31,1317.4999999999995,559.8200000000002,0.14103472486081975,0.0010347248608197836,852.23,796.7400000000002,795.1899999999996
2013-03-31,1684.16,873.8,0.22,0.3,888.23,1172.82,1390.82
2013-06-30,1329.36,522.4300000000001,0.1309601569941915,0.0013093049920793424,909.8899999999999,813.25,1018.9600000000003
2013-09-30,1470.5400000000004,824.81,0.20796275618629112,0.24825379101682093,919.3299999999999,974.0699999999999,1216.0899999999997
2013-12-31,1368.3099999999995,352.72000000000025,0.08907901280616691,-0.0009045409939431299,914.7200000000003,768.31,993.8299999999999
2014-03-31,1412.44,717.29,0.18,0.35,961.77,908.59,1130.05
2014-06-30,1466.3400000000001,760.19,0.19037164631670142,0.0007226456158083163,962.03,944.7399999999999,1168.0600000000002
2014-09-30,1423.9199999999996,742.0,0.18721502333880008,0.2973655626177839,969.6200000000001,924.6800000000003,1148.7799999999997
2014-12-31,1430.0100000000002,754.4299999999998,0.19026214646710893,0.0003042771493228916,954.2999999999997,935.29,1156.4600000000005
2015-03-31,1391.84,715.98,0.18,0.35,963.85,893.72,1111.1
2015-06-30,1454.5800000000002,751.03,0.18942004485313663,-0.0011276905633453896,990.9399999999999,955.8799999999999,1179.83
2015-09-30,1410.6099999999997,593.01,0.14969039135542375,0.2997071269578333,1002.52,870.0799999999999,1097.27
2015-12-31,1420.96,620.5,0.15509490695835138,0.006368633697939177,962.3800000000001,905.7000000000003,1126.46
2016-03-31,1390.1,619.34,0.16,0.3,959.01,894.52,1115.39
2016-06-30,1378.08,644.4499999999999,0.16317900917082742,0.0059606421953014,977.99,903.24,1138.8700000000001
2016-09-30,1440.9100000000003,643.3600000000001,0.16192370815090582,0.3018034763914742,966.8800000000001,902.5800000000002,1140.3799999999997
2016-12-31,1303.9300000000003,568.4099999999999,0.14235736560616583,0.0029467070077073007,977.6099999999997,831.9899999999998,1034.7800000000002
2017-03-31,1354.06,593.25,0.15,0.3,967.72,857.07,1088.36
2017-06-30,-1354.06,,,,-967.72,-857.07,-612.5799999999999
