,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,1809.72,95.86,4.79,6.999999999999999,175.87,160.25,188.92
2000-06-30,2180.0199999999995,105.64,5.284621339950372,-0.00786025476981041,179.06,172.66000000000003,201.91
2000-09-30,2121.16,70.70999999999998,3.535370118658388,5.003729249068326,187.86999999999995,127.63,159.26000000000005
2000-12-31,2375.1800000000003,133.41000000000003,6.6701710960998,0.00015085622318550046,234.45000000000005,205.44,232.43999999999994
2001-03-31,2231.76,118.62,5.93,8.5,282.9,193.17,226.8
2001-06-30,2415.87,107.79999999999998,5.38952389364897,-0.0006824458657264472,180.8,174.94000000000003,210.86
2001-09-30,2220.6899999999996,103.06000000000003,0.516113269394197,14.1485832853225,231.47999999999996,171.97000000000003,206.62999999999994
2001-12-31,2235.550000000001,25.909999999999968,0.12904330453867566,0.08221185944250528,119.22000000000003,52.539999999999964,76.91000000000008
2002-03-31,2077.14,55.85,0.27,0.0,152.35,91.84,123.82
2002-06-30,2047.1799999999998,98.34,0.4783384136455023,0.6,213.08,146.02,177.82
2002-09-30,2190.16,113.75999999999999,0.5519238663929837,0.5015390931143872,250.08999999999997,177.11,210.96000000000004
2002-12-31,2388.49,164.12,0.7900793852847919,0.008528710625592928,289.06000000000006,256.94999999999993,290.94999999999993
2003-03-31,2639.47,185.3,0.86,0.0,321.56,268.39,310.29
2003-06-30,3190.86,175.12,0.8016980189778591,1.0,338.54,265.86,317.96999999999997
2003-09-30,3347.66,67.51999999999998,0.1530457540776744,1.6148762145925297,174.76,114.89999999999998,161.49
2003-12-31,3495.09,213.7,0.4729349791160152,0.04988949065442491,413.59000000000003,346.30000000000007,383.3399999999999
2004-03-31,3084.48,189.92,0.39,0.5,313.09,277.99,326.01
2004-06-30,3878.72,210.09,0.43067373315667107,0.0008637604572706406,403.46999999999997,320.03999999999996,371.29999999999995
2004-09-30,4312.69,-26.19999999999999,-0.053267702843690624,0.504105059241652,45.42000000000007,-20.16999999999996,35.48000000000002
2004-12-31,4144.620000000001,19.350000000000023,0.03937328314172352,-0.0008246274451007248,141.04999999999995,55.27999999999997,115.56000000000006
2005-03-31,3591.82,188.47,0.38,0.0,319.05,269.82,323.23
2005-06-30,3547.52,224.21,0.4509409227488611,0.15,421.05,341.76000000000005,399.53
2005-09-30,3465.2999999999993,85.57,0.1717410938283994,0.5003146555111565,242.88,157.66999999999996,213.22000000000003
2005-12-31,3825.5,8.639999999999986,0.01738602063564084,-0.0016990865868334913,145.6199999999999,61.85000000000002,118.04999999999995
2006-03-31,3654.26,31.84,0.060000000000000005,0.0,156.93,81.27,139.11
2006-06-30,3825.46,157.85,0.3162159312562602,0.2,338.09999999999997,247.52000000000004,315.7
2006-09-30,3831.8,183.53000000000003,0.3688106210813997,-0.0006259889045264365,426.0400000000001,310.60999999999996,369.34
2006-12-31,4034.1499999999996,98.13999999999999,0.19571367956551253,0.25152364788413667,541.88,244.55000000000007,314.92999999999995
2007-03-31,3679.45,159.24,0.32,0.0,452.62,291.52,354.39
2007-06-30,4121.66,251.12,0.5017993956525977,0.45,396.40999999999997,345.97,405.28
2007-09-30,4830.250000000001,297.87,0.47525959081089475,0.09069123885963734,544.31,470.0,529.4900000000001
2007-12-31,5824.239999999998,548.1600000000001,0.8769582693271992,0.498788691324991,915.4600000000003,848.76,908.3700000000001
2008-03-31,5857.63,584.55,0.94,0.0,972.9,930.52,985.44
2008-06-30,6548.669999999999,608.73,0.974351619066774,0.8,1040.2600000000002,930.0,990.73
2008-09-30,6678.98,476.6100000000001,0.7620554048470259,1.3008609025537283,842.1099999999999,684.9499999999998,736.1999999999998
2008-12-31,4821.18,-920.2600000000001,-1.4731427504235424,-0.0024718261758200208,-564.0999999999999,-1061.5599999999997,-1007.6099999999999
2009-03-31,5914.92,321.05,0.51,0.0,-235.11,371.67,426.99
2009-06-30,5579.1,545.21,0.8748434650105049,0.0,764.67,662.6099999999999,718.8199999999999
2009-09-30,5023.25,456.49,0.7316263844263845,0.9499999999999998,674.1200000000001,687.01,744.4000000000001
2009-12-31,6343.130000000001,301.77,0.47368668899120964,0.01957658233096684,530.9199999999998,430.59000000000015,488.25
2010-03-31,5020.75,271.41,0.38999999999999996,0.7999999999999999,444.51,399.57,456.79
2010-06-30,5294.469999999999,353.23999999999995,0.5032956055391019,0.006760216490465395,503.32000000000005,490.00000000000006,564.97
2010-09-30,5169.640000000001,329.62,0.4628572626195941,0.6115570899951405,460.87,431.7299999999999,517.79
2010-12-31,5788.07,570.6700000000001,0.7896138208716409,0.020492051656938595,898.6400000000001,723.0800000000002,810.8999999999999
2011-03-31,5371.02,391.78,0.51,0.9,558.39,580.55,663.19
2011-06-30,6436.4,232.45000000000005,0.3016268042228026,0.00287083098141611,517.9699999999999,289.69000000000005,368.49
2011-09-30,6419.1799999999985,50.319999999999936,0.0656461344600103,0.5951623716222337,164.46000000000004,61.210000000000036,141.79999999999995
2011-12-31,5431.200000000001,50.75,0.06577278367572038,0.009839972174523622,290.25,98.22000000000003,178.71000000000004
2012-03-31,5741.3,301.22,0.38,0.3,465.55,352.9,434.04
2012-06-30,7160.19,551.0,0.6982703996620591,-0.0013654739510059913,838.71,661.46,742.47
2012-09-30,7200.780000000001,687.3199999999999,0.8616389311092923,0.803233036419248,926.6499999999999,830.64,913.97
2012-12-31,7369.27,235.76999999999998,0.29482704429085627,0.0027511651398661277,707.1100000000001,308.3800000000001,394.1700000000001
2013-03-31,6736.28,65.56,0.08,1.0,121.62,112.67,198.3
2013-06-30,5948.340000000001,228.12,0.27963497684554617,-0.004562789430672779,613.67,232.21999999999997,309.28999999999996
2013-09-30,6166.949999999999,219.42000000000002,0.2694106412005457,0.2983628922237381,488.85000000000014,276.18000000000006,355.26000000000005
2013-12-31,7190.689999999999,446.02,0.5533862290432896,-0.013647463878926024,632.7199999999998,514.34,599.0300000000001
2014-03-31,6707.61,519.07,0.64,0.7,874.48,599.9,688.86
