,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2012-06-30,,,,,,,
2012-09-30,737.7900000000001,253.10000000000002,1.078612072931548,0.0,424.47,333.66999999999996,360.05999999999995
2012-12-31,775.1600000000001,270.65,1.0570409864841144,1.2,439.04999999999995,347.76,375.87
2013-03-31,2871.84,907.99,3.4,1.2,1548.46,1188.98,1288.7
2013-06-30,-2010.42,-600.1700000000001,-1.8132613215515565,0.43179012180533294,-1066.8600000000001,-804.1500000000001,-882.04
2013-09-30,860.2800000000001,327.8,0.09798621818067399,1.261484629519294,508.9599999999999,409.32,426.87999999999994
2013-12-31,816.7299999999998,317.28,0.09322950991709518,0.20379638886280663,490.57000000000016,395.67999999999995,416.44000000000005
2014-03-31,3195.64,1145.73,0.33,1.5800000000000003,1807.11,1419.3,1509.69
2014-06-30,-2415.84,-888.45,-0.2417269123134329,-1.4925106710764366,-1386.37,-1097.3799999999999,-1154.08
2014-09-30,807.79,264.4200000000001,0.0760264519838988,0.13,434.16999999999996,331.34,369.93999999999994
2014-12-31,861.51,300.8399999999999,0.08777883142461154,-0.001925012765336664,421.93999999999994,375.1200000000001,420.3700000000001
2015-03-31,3077.93,837.58,0.12,0.28,1638.14,1065.12,1225.42
2015-06-30,-2459.14,-597.9200000000001,-0.07484603187849453,-0.24464074104982061,-1309.75,-761.2599999999999,-882.74
2015-09-30,637.3800000000001,259.17999999999995,0.036369577419613504,0.03,345.05000000000007,307.79999999999995,350.53000000000003
2015-12-31,550.5799999999999,232.06,0.03492488712546176,-0.0021750483748020984,340.55999999999995,287.84000000000003,335.39999999999986
2016-03-31,2423.42,940.52,0.14,0.08,1336.65,1155.98,1336.12
2016-06-30,-1655.18,-627.25,-0.10011332077760399,-0.08577904044434513,-998.1600000000001,-763.38,-888.2499999999999
2016-09-30,723.95,197.54000000000002,0.027070339265088787,0.06,438.40999999999997,263.23,331.6
2016-12-31,682.5799999999999,124.26000000000005,0.01760971231517786,-0.0020488180155618305,398.14,172.58999999999992,254.17000000000007
2017-03-31,3358.28,826.4,0.12,0.1,1782.67,1009.81,1356.47
2017-06-30,-3358.28,,,,-1782.67,-1009.81,-1255.33
