,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,2767.94,-60.94,-0.18,0.0,63.95,-60.94,-35.52
2000-06-30,2881.39,-623.0,-1.8855601368541097,0.0,-30.410000000000004,-623.0,-597.3000000000001
2000-09-30,3468.0300000000007,6.900000000000091,0.01803881602268723,0.0,437.35999999999996,6.900000000000091,32.07000000000005
2000-12-31,2898.24,18.730000000000018,0.03983229785359485,0.0,4.960000000000036,18.730000000000018,43.59000000000003
2001-03-31,2103.92,32.08,0.03,0.0,133.38,32.08,56.3
2001-06-30,2269.54,8.36,0.008269040553907023,0.0,114.06,8.36,32.07000000000001
2001-09-30,552.5299999999997,-135.05,-0.11419511679526478,0.0,22.569999999999993,-135.05,-112.62
2001-12-31,588.7600000000002,52.69,0.0502767175572519,0.0,31.220000000000027,52.69,74.02000000000001
2002-03-31,57.96,-64.29,-0.05000000000000001,0.0,-20.76,-64.29,-43.17
2002-06-30,73.28,-184.02999999999997,-0.1333980347938144,0.0,21.840000000000003,-184.02999999999997,-162.51
2002-09-30,16.53,53.22,0.03818964633521271,0.0,3.05,102.22,123.68
2002-12-31,-626.45,-574.61,-0.41059035221057283,0.0,-2.01,-705.18,-684.69
2003-03-31,41.24,-21.68,-0.02,0.0,-30.19,-21.68,-4.97
2003-06-30,40.1,-85.28999999999999,-0.06378610825465084,0.0,2.580000000000002,-85.28999999999999,-69.1
2003-09-30,15.200000000000003,-38.620000000000005,-0.02652654715296381,0.0,-9.39,-38.620000000000005,-23.450000000000003
2003-12-31,30.779999999999987,-14.990000000000009,-0.010268402042595597,0.0,15.39,-41.44999999999999,-28.200000000000003
2004-03-31,21.81,-11.92,-0.01,0.0,4.41,-11.92,1.89
2004-06-30,88.62,-83.22,-0.06122976665965945,0.0,0.25,-83.21,-75.8
2004-09-30,-1.720000000000013,-16.840000000000003,-0.012030719771387751,0.0,0.0,-16.680000000000007,-13.200000000000003
2004-12-31,15.300000000000011,8.25,0.005567338282078474,0.0,14.5,8.579999999999998,12.679999999999993
2005-03-31,20.25,6.68,0.01,0.0,19.26,6.92,10.3
2005-06-30,26.6,9.7,0.0059218559218559225,0.0,23.149999999999995,9.72,12.98
2005-09-30,16.92,1.1600000000000001,0.0006613454960091222,0.0,13.600000000000001,1.379999999999999,4.719999999999999
2005-12-31,18.859999999999992,1.370000000000001,0.0036224219989423614,1.0,10.68,2.16,6.549999999999997
2006-03-31,17.12,-2.38,-0.01,0.0,10.96,-0.68,4.9
2006-06-30,18.249999999999996,-0.41999999999999993,-0.0014999999999999998,0.0,11.599999999999998,1.2200000000000002,7.039999999999999
2006-09-30,20.93,-15.34,-0.04228224917309813,0.0,10.190000000000001,-13.48,-7.47
2006-12-31,4.68,-14.159999999999997,-0.035071207430340555,0.0,-0.4200000000000017,-12.139999999999999,-5.47
2007-03-31,10.02,-37.58,-0.08,0.0,-18.87,-35.64,-24.84
2007-06-30,23.09,-36.620000000000005,-0.07402964959568734,0.0,-20.27,-34.31999999999999,-22.81
2007-09-30,30.67,-38.67999999999999,-0.07881289865343727,0.0,-21.04,-35.74000000000001,-23.589999999999996
2007-12-31,39.14,-34.99000000000001,-0.07098803002637454,0.0,-15.199999999999996,-27.040000000000006,-14.690000000000012
2008-03-31,35.84,-26.31,-0.05,0.0,-13.14,-20.52,-8.24
2008-06-30,41.66,-18.790000000000003,-0.03749667405764967,0.0,1.2700000000000014,-12.379999999999999,-0.2599999999999998
2008-09-30,36.230000000000004,-22.589999999999996,-0.046721820062047566,0.0,-0.010000000000001563,-16.42,-4.140000000000001
2008-12-31,22.89,-25.900000000000006,-0.052580403889304426,0.0,-7.040000000000001,-19.589999999999996,-8.52
2009-03-31,23.12,-18.56,-0.04,0.0,-2.53,-13.18,-1.63
2009-06-30,24.470000000000002,-17.640000000000004,-0.03411049723756907,0.0,-0.08000000000000007,-11.990000000000002,-1.8200000000000003
2009-09-30,30.450000000000003,-13.79,-0.027585517103420682,0.0,3.3,-8.25,2.96
2009-12-31,16.179999999999993,-19.740000000000002,-0.03963286964004016,0.0,0.3500000000000001,-11.32,0.8300000000000001
2010-03-31,7.38,-16.84,-0.03,0.0,2.37,-12.73,-5.05
2010-06-30,8.89,-96.94,-0.19595886799085957,0.0,2.92,-94.39999999999999,-87.74000000000001
2010-09-30,9.010000000000002,-13.36,-0.027321063394683025,0.0,4.31,-10.579999999999998,-5.959999999999994
2010-12-31,153.05,129.49,0.0,,5.140000000000001,134.74,140.37
2011-03-31,10.46,-2.36,-0.01,0.0,7.84,-0.7,2.31
2011-06-30,10.169999999999998,-5.42,-0.013933161953727506,0.0,5.73,-3.33,-0.33000000000000007
2011-09-30,9.43,-2.6800000000000006,-0.0051242829827915885,0.0,7.23,-0.8300000000000001,2.14
2011-12-31,17.24,2.4800000000000004,0.006215538847117796,0.0,14.260000000000002,4.36,7.329999999999999
2012-03-31,17.89,5.47,0.01,0.0,14.81,7.29,10.16
2012-06-30,13.030000000000001,1.8200000000000003,0.004993141289437586,0.0,10.040000000000001,3.6100000000000003,6.440000000000001
2012-09-30,11.329999999999998,0.04999999999999982,0.0001362397820163483,0.0,8.71,1.8499999999999996,4.719999999999999
2012-12-31,41.31999999999999,26.45,0.05479431784551643,0.0,9.239999999999995,28.240000000000002,31.25
2013-03-31,12.56,1.04,0.0,,8.48,2.75,5.71
2013-06-30,12.450000000000001,-2.08,0.0,,8.3,-0.31000000000000005,2.6900000000000004
2013-09-30,10.629999999999999,-3.1100000000000003,-0.007493975903614458,,6.549999999999997,-1.44,1.6199999999999992
2013-12-31,12.259999999999998,-2.6799999999999997,-0.003923865300146412,0.0,7.080000000000002,-1.05,2.09
2014-03-31,12.42,-0.85,0.0,,7.84,0.67,3.85
2014-06-30,13.33,-1.8900000000000001,-0.006897810218978103,,8.530000000000001,-0.43000000000000005,2.7899999999999996
2014-09-30,13.93,-2.05,-0.0042797494780793316,0.0,8.829999999999998,-0.63,2.6800000000000006
2014-12-31,14.259999999999998,0.9500000000000002,0.0024739583333333337,0.0,8.52,2.31,5.619999999999999
2015-03-31,12.52,0.37,0.0,,7.9,1.63,4.88
2015-06-30,14.14,-5.96,-0.010661896243291592,,8.72,-4.8,-1.3399999999999999
2015-09-30,15.279999999999998,-0.6699999999999999,-0.0010702875399361022,0.0,9.14,0.16999999999999993,4.3
2015-12-31,58.0,2.0299999999999994,0.0047990543735224565,0.0,14.830000000000002,4.88,8.899999999999999
2016-03-31,24.88,-0.8,0.0,,10.22,2.26,4.66
2016-06-30,16.210000000000004,-0.10999999999999999,0.0,,10.92,1.7999999999999998,4.91
2016-09-30,18.979999999999997,4.59,0.012472826086956521,,13.030000000000001,6.930000000000001,9.280000000000001
2016-12-31,26.199999999999996,4.4,0.010891089108910892,0.0,13.350000000000001,7.549999999999999,9.349999999999998
2017-03-31,35.52,5.0,0.01,0.0,12.29,7.66,9.66
2017-06-30,-35.52,,,,-12.29,-7.66,-4.5
